# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf10_model
# start_datetime = 2023-07-05 12:39:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf10.data.r
# init = 2 (Default)
# random
#   seed = 758770126 (Default)
# output
#   file = examples\cf\cf10_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mean
# Adaptation terminated
# Step size = 0.00115335
# Diagonal elements of inverse mass matrix:
# 26.9334, 21.0976, 23.3178, 19.5507, 27.7658, 16.8963, 26.1204, 25.9459, 28.472, 22.7872, 31.3942, 33.4077, 28.4282, 24.8712, 31.0135, 31.6516, 35.3865, 36.2015, 26.031, 27.042, 27.6938
-14819.6,0.916592,0.00115335,10,1023,0,14831,-3.16264,4.06733,1.24459,-2.8274,5.96193,3.00864,-3.69062,-2.43638,1.20012,5.99324,5.94266,6.6623,1.44454,4.15555,5.62332,8.22352,-3.85954,-1.95934,-6.00745,0.182758,-5.8978,149.736
-14820.8,0.941936,0.00115335,10,1023,0,14830.3,-1.08313,1.82558,0.939148,-2.19506,6.23264,6.57588,-1.16354,-1.64369,-1.12726,6.5984,2.78124,11.9489,3.53228,3.88366,-1.3415,0.766839,-3.66503,-7.30432,-6.64594,-2.65588,-5.10683,149.89
-14822.1,0.951466,0.00115335,10,1023,0,14829.1,-1.7653,1.27165,0.798679,-1.47619,10.3665,7.91735,-1.09781,2.84371,-0.184781,4.43337,3.30797,6.1727,0.848992,-0.282159,-3.14057,3.09255,-2.17459,-7.76767,-12.1353,-2.78144,-6.57335,149.668
-14823.4,0.897796,0.00115335,10,1023,0,14834.6,-0.350036,4.76032,-0.315951,-2.65777,6.34039,7.69157,3.26323,8.90109,3.94868,2.37785,-3.43427,1.89518,-5.07055,-1.70863,-5.0967,-6.39602,-3.37886,-9.12232,-8.34588,-1.48807,-8.27321,149.591
-14823.6,0.976643,0.00115335,10,1023,0,14832.2,1.15196,7.94896,-0.547534,-2.95428,8.21333,9.26077,5.47175,7.97984,2.93912,-3.9294,-3.34091,1.01132,-2.72936,1.30868,-1.63017,-3.28795,-2.60942,-4.0886,-12.0332,-2.77465,-8.2935,149.745
-14821.9,0.999937,0.00115335,10,1023,0,14832.6,1.87173,4.26622,-3.0516,-6.0532,9.7175,2.24808,-2.72659,5.26275,-1.54412,-4.1207,-0.756787,0.406629,-2.77081,-2.653,-1.74204,-2.85809,-4.6551,-0.502177,-12.6237,-8.07827,-6.60295,149.743
