# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-01-12 08:53:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\clickgraph\clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 2891521876 (Default)
# output
#   file = examples\clickgraph\clickgraphMCMC20k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
# Adaptation terminated
# Step size = 0.00273203
# Diagonal elements of inverse mass matrix:
# 2.55711, 2.85045, 2.56929, 3.03555, 3.17062, 2.66839, 0.37612, 3.10391
-21.2729,0.729029,0.00273203,10,1023,0,24.3834,0.133162,0.765898,0.501131,0.264907,0.481405,0.289444,0.263003,0.410801
-22.3964,0.83622,0.00273203,10,1023,0,23.6266,0.0446408,0.683332,0.456441,0.625367,0.797595,0.137971,0.304032,0.705571
-23.696,1,0.00273203,10,1023,0,25.671,0.0255912,0.136022,0.168547,0.443761,0.271027,0.296114,0.254674,0.459403
-22.478,0.999906,0.00273203,10,1023,0,25.4806,0.0449727,0.368949,0.180679,0.246698,0.783146,0.385281,0.276988,0.679192
-23.866,0.868024,0.00273203,10,1023,0,27.6624,0.992207,0.864365,0.673597,0.629538,0.136823,0.544917,0.712458,0.222732
-22.7218,0.972558,0.00273203,10,1023,0,28.3053,0.986268,0.846795,0.557266,0.502951,0.116295,0.434964,0.679689,0.324312
-23.8685,0.928479,0.00273203,10,1023,0,26.9532,0.968137,0.126515,0.0625241,0.523855,0.241907,0.925684,0.568843,0.607419
-24.209,0.88127,0.00273203,10,1023,0,27.0652,0.907785,0.0477739,0.120552,0.398036,0.403104,0.973442,0.630183,0.682056
-22.4403,0.96605,0.00273203,10,1023,0,27.4442,0.450275,0.91717,0.908716,0.564168,0.556236,0.947664,0.660147,0.385724
-22.2501,0.949059,0.00273203,10,1023,0,25.7866,0.815832,0.289336,0.399375,0.409739,0.340612,0.10091,0.421528,0.959533
-22.965,1,0.00273203,10,1023,0,25.3842,0.0758565,0.557428,0.76736,0.375915,0.447538,0.651767,0.833943,0.224249
-20.58,0.999993,0.00273203,10,1023,0,27.3487,0.603792,0.628388,0.0542414,0.902858,0.248907,0.406103,0.496074,0.716926
-20.9762,0.529622,0.00273203,10,1023,0,27.7781,0.914717,0.290666,0.449841,0.197805,0.235054,0.149115,0.676333,0.625028
-20.9087,0.848797,0.00273203,10,1023,0,23.3688,0.753326,0.0796563,0.639008,0.636679,0.830787,0.701926,0.544658,0.0741519
