# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = unif_model
# start_datetime = 2024-03-21 15:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 50000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1758954680 (Default)
# output
#   file = examples\randomwalk\unifMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,step,x
# Adaptation terminated
# Step size = 0.297629
# Diagonal elements of inverse mass matrix:
# 0.0870014
0,0.5,0.297629,1,2,1,0.205049,0.938578,10
0,0,0.297629,0,1,1,1.58138,0.938578,10
0,0,0.297629,0,1,1,0.315308,0.938578,10
0,0.75,0.297629,2,4,1,0.214875,0.881027,10
0,0.875,0.297629,3,8,1,0.256907,0.629317,-10
0,0.961538,0.297629,4,26,1,0.0825659,0.129878,-10
0,0.833333,0.297629,2,6,1,0.0675433,0.0976123,-10
0,0,0.297629,0,1,1,1.68767,0.0976123,-10
0,0.857143,0.297629,2,7,1,0.0344021,0.143667,-10
0,0.5,0.297629,1,2,1,0.430383,0.0622191,-10
0,0.75,0.297629,2,4,1,0.0740805,0.129802,-10
0,0.8,0.297629,2,5,1,0.373015,0.357279,-10
0,0.857143,0.297629,2,7,1,0.175811,0.253166,-10
0,0.857143,0.297629,2,7,1,0.181136,0.358844,-10
0,0.973684,0.297629,5,38,1,0.021517,0.850553,10
0,0,0.297629,0,1,1,1.67951,0.850553,10
0,0.8,0.297629,2,5,1,0.646264,0.551133,-10
0,0.916667,0.297629,3,12,1,0.131264,0.641095,-10
0,0.833333,0.297629,2,6,1,0.722922,0.535535,-10
0,0.9,0.297629,3,10,1,0.501187,0.359749,-10
0,0.989899,0.297629,6,99,1,0.0032361,0.691691,-10
0,0.96,0.297629,4,25,1,0.0567219,0.455143,-10
0,0.982759,0.297629,5,58,1,0.0151413,0.149606,-10
0,0.75,0.297629,2,4,1,2.87704,0.570775,-10
0,0.8,0.297629,2,5,1,1.4931,0.267366,-10
0,0.947368,0.297629,4,19,1,0.084347,0.447651,-10
0,0.933333,0.297629,3,15,1,0.154461,0.545238,-10
0,0.857143,0.297629,2,7,1,0.437378,0.709453,-10
0,0.857143,0.297629,2,7,1,0.679105,0.504831,-10
0,0.928571,0.297629,3,14,1,0.304159,0.915654,10
0,0.75,0.297629,2,4,1,0.518631,0.736836,-10
0,0.979167,0.297629,5,48,1,0.00382859,0.798292,10
0,0.975,0.297629,5,40,1,0.0158828,0.594887,-10
0,0.982143,0.297629,5,56,1,0.0159782,0.186859,-10
0,0.666667,0.297629,1,3,1,1.59385,0.343598,-10
0,0.962963,0.297629,4,27,1,0.0152162,0.282339,-10
0,0.875,0.297629,3,8,1,0.454584,0.53346,-10
0,0.833333,0.297629,2,6,1,1.10491,0.272455,-10
0,0.916667,0.297629,3,12,1,0.464225,0.526225,-10
0,0.857143,0.297629,2,7,1,0.879608,0.409786,-10
0,0.833333,0.297629,2,6,1,0.474978,0.238658,-10
0,0.857143,0.297629,2,7,1,0.82193,0.463772,-10
0,0.967742,0.297629,4,31,1,0.0438818,0.723845,-10
0,0.941176,0.297629,4,17,1,0.186392,0.187841,-10
0,0.75,0.297629,2,4,1,0.254154,0.0626617,-10
0,0,0.297629,0,1,1,0.481393,0.0626617,-10
0,0.5,0.297629,1,2,1,0.0797209,0.0276075,-10
0,0.833333,0.297629,2,6,1,0.0106252,0.0532024,-10
0,0.5,0.297629,1,2,1,0.202489,0.109069,-10
0,0.8,0.297629,2,5,1,0.133983,0.199958,-10
0,0.75,0.297629,2,4,1,0.303075,0.0632607,-10
0,0.996154,0.297629,8,260,1,0.00035651,0.365659,-10
0,0.833333,0.297629,2,6,1,0.309737,0.158372,-10
0,0.888889,0.297629,3,9,1,0.38717,0.467377,-10
0,0.996622,0.297629,8,296,1,0.000661939,0.205452,-10
0,0.9,0.297629,3,10,1,0.150145,0.445987,-10
0,0.833333,0.297629,2,6,1,0.707738,0.341542,-10
0,0.888889,0.297629,3,9,1,0.113185,0.0909312,-10
0,0.5,0.297629,1,2,1,0.179003,0.038404,-10
0,0,0.297629,0,1,1,0.24402,0.038404,-10
0,0,0.297629,0,1,1,0.215337,0.038404,-10
0,0.666667,0.297629,1,3,1,0.0558951,0.0677562,-10
0,0.666667,0.297629,1,3,1,0.0916023,0.105332,-10
0,0.984375,0.297629,6,64,1,0.00435842,0.318436,-10
0,0.888889,0.297629,3,9,1,0.107924,0.0737193,-10
