# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,0,0,-1.57098,0.636478,0.475724
0,-27.6582,-0.64549,-1.53384,0.631274,0.449226
0,-27.3486,-1.58423,-1.57656,0.730325,0.512139
0,-28.7604,-4.21138,-1.52927,0.662344,0.548077
0,-26.9914,-0.643275,-1.64197,0.582095,0.464588
0,-28.104,-1.48105,-1.54744,0.688806,0.43547
0,-26.405,-0.451729,-1.51147,0.645094,0.491766
0,-27.4422,-0.793988,-1.4708,0.6697,0.470246
0,-27.0434,-1.74499,-1.61118,0.782171,0.456913
0,-27.3468,-1.91859,-1.55771,0.809089,0.476797
0,-27.0222,-0.245495,-1.59834,0.585806,0.48197
0,-30.6503,-2.71247,-1.69577,0.722163,0.513906
0,-34.009,-3.7547,-1.45103,0.478794,0.43672
0,-26.5715,-0.439131,-1.59639,0.696124,0.490449
0,-26.7859,-0.111169,-1.57772,0.595801,0.477818
0,-26.5218,-0.082641,-1.59922,0.62043,0.472191
0,-27.7469,-1.46693,-1.65657,0.746974,0.490311
0,-27.642,-0.737979,-1.51083,0.677369,0.453675
0,-27.2037,-2.02393,-1.60842,0.758803,0.440478
0,-26.7294,-0.154204,-1.55824,0.602535,0.485242
0,-26.3917,-0.281003,-1.52402,0.679599,0.478932
0,-26.3896,-0.118207,-1.56132,0.644597,0.487525
0,-28.3183,-1.97899,-1.42738,0.560727,0.491228
0,-30.0256,-2.36594,-1.42651,0.516104,0.478203
0,-27.1318,-2.4506,-1.72974,0.711936,0.457334
0,-27.1019,-0.28555,-1.59936,0.579865,0.481519
0,-28.2335,-0.732727,-1.49735,0.594995,0.457994
0,-27.8083,-0.991929,-1.56211,0.555597,0.503013
0,-27.5834,-1.85398,-1.61476,0.794119,0.488695
0,-27.9845,-1.29285,-1.68807,0.689917,0.488432
0,-27.2943,-0.800271,-1.67002,0.665115,0.483275
0,-28.7263,-1.23977,-1.50874,0.512523,0.476701
0,-28.608,-0.963858,-1.47667,0.577736,0.463052
0,-28.326,-0.814447,-1.52419,0.550512,0.459892
0,-27.3018,-1.81789,-1.57852,0.796156,0.491199
0,-26.6694,-0.36707,-1.6246,0.676604,0.484526
0,-32.039,-5.31988,-1.83768,0.601384,0.477373
0,-26.4406,-0.0254954,-1.55529,0.633394,0.478843
0,-27.4262,-1.6295,-1.4338,0.703659,0.48247
0,-27.3573,-1.05103,-1.5947,0.685691,0.509084
0,-29.7458,-1.99127,-1.51941,0.468069,0.48113
0,-26.3017,-0.150668,-1.57439,0.677462,0.468251
0,-26.351,-1.29479,-1.65437,0.704242,0.450256
0,-33.7906,-4.1499,-1.68704,0.464112,0.517026
0,-26.5124,-3.71204,-1.42818,0.743514,0.520813
0,-27.0566,-0.229123,-1.56871,0.579397,0.47027
0,-26.3918,-0.0514817,-1.57977,0.643036,0.468249
0,-29.6045,-2.13823,-1.55607,0.541481,0.431207
0,-29.7817,-2.66912,-1.41861,0.512534,0.486645
0,-27.2097,-0.961972,-1.50963,0.733201,0.464236
0,-28.7352,-1.20451,-1.64203,0.591933,0.506256
0,-29.7699,-4.06836,-1.39628,0.494991,0.505838
0,-26.4205,-0.981868,-1.66107,0.637161,0.453047
0,-26.974,-1.30439,-1.59831,0.774271,0.482896
0,-31.0201,-4.13413,-1.74955,0.467857,0.469412
0,-27.4104,-2.02369,-1.59439,0.809889,0.466799
0,-26.5478,-1.23225,-1.68351,0.681445,0.459955
0,-28.9575,-1.07702,-1.49781,0.56125,0.454659
0,-27.1401,-0.813417,-1.66364,0.686904,0.482566
0,-26.6389,-1.79594,-1.64738,0.652547,0.434021
0,-27.8867,-1.74354,-1.55267,0.748042,0.44127
0,-28.1412,-3.40148,-1.45953,0.538011,0.525695
0,-29.9702,-2.07132,-1.5538,0.47887,0.450652
0,-26.5585,-2.93537,-1.41137,0.681022,0.512546
0,-27.1147,-0.272741,-1.5246,0.62718,0.463491
0,-26.2649,-0.563896,-1.5319,0.68855,0.494924
0,-28.5142,-2.22858,-1.68487,0.506784,0.458261
0,-27.4068,-0.447063,-1.5853,0.560528,0.485152
0,-26.625,-0.858866,-1.55682,0.690958,0.504909
0,-28.463,-1.49051,-1.65283,0.511505,0.469745
0,-29.0878,-2.43138,-1.59488,0.529249,0.429636
0,-26.3179,-0.303776,-1.5682,0.70338,0.470797
0,-26.3903,-1.07505,-1.65626,0.641559,0.449091
0,-27.6292,-0.741548,-1.52894,0.547191,0.487911
0,-26.3205,-0.0411066,-1.58619,0.65041,0.471722
0,-27.4648,-0.570616,-1.494,0.657652,0.462917
0,-27.8031,-1.94554,-1.42957,0.576123,0.496317
0,-27.2037,-0.822779,-1.53396,0.57764,0.501394
0,-26.4054,-0.137315,-1.53229,0.65648,0.478638
0,-29.3478,-1.45854,-1.49706,0.635371,0.438626
0,-27.3733,-1.82584,-1.57811,0.778842,0.501916
