# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:11:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892587329 (Default)
# output
#   file = examples\trueskills\trueskillsvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,skillA,skillB,skillC,perfA,perfB,perfC
# Stepsize adaptation complete.
# eta = 1
0,0,0,65.5637,64.0254,63.99,43.9316,39.5541,39.4016
0,-36.3333,-2.93541,61.5634,84.8269,71.395,47.4385,39.5047,41.903
0,-40.2833,-2.07368,71.0842,78.9954,59.513,38.9481,30.2368,30.13
0,-44.2449,-2.44661,67.0851,57.7729,57.2562,45.9218,38.9838,15.9666
0,-42.3735,-1.51708,65.6836,50.8235,73.3179,46.8308,42.8795,43.2435
0,-39.9674,-1.04353,59.0226,60.5149,69.8992,50.0549,40.787,46.0983
0,-52.3683,-5.5097,67.686,80.8345,50.3313,22.7749,18.9247,18.2659
0,-35.9306,-1.22507,75.1235,73.3014,60.7008,48.1825,43.3552,42.2161
0,-35.1923,-2.1936,68.9216,69.3287,74.0168,51.7031,49.7581,50.2703
0,-48.5273,-1.63958,62.9578,53.0581,52.1669,45.6947,43.0076,41.2042
0,-63.7185,-4.78443,69.2565,67.8548,67.4942,33.5329,-43.5604,30.4357
0,-38.4447,-4.98239,72.1577,58.2509,76.8466,49.4687,24.6972,48.8293
0,-37.8477,-2.38924,67.9868,84.6706,65.6489,41.9743,37.8486,34.9371
0,-34.1362,-2.92302,67.971,69.8042,71.4515,55.9495,38.6353,54.3836
0,-58.8234,-5.62681,66.246,39.3875,52.5576,29.9846,27.868,27.5194
0,-40.9577,-1.35922,71.9975,68.9929,68.9753,35.5576,32.5547,33.4838
0,-51.4157,-4.03795,52.5597,75.2826,62.7214,34.9128,2.99713,29.7328
0,-51.4391,-3.72248,63.6823,44.6404,60.2709,36.5553,18.5599,34.68
0,-43.2989,-3.67106,73.4033,51.1594,71.0268,49.0308,45.3384,17.0797
0,-46.6932,-1.37239,56.3573,52.9209,64.0874,44.3741,41.1879,36.2998
0,-48.0747,-3.11778,64.3776,69.9056,69.7316,24.1099,18.7256,15.8985
0,-42.4193,-2.19757,71.5411,76.6032,57.9717,35.495,33.0752,25.4975
0,-44.6264,-2.50526,55.6963,69.9455,52.8463,52.2531,50.6641,45.7826
0,-38.5603,-2.39995,63.8516,57.5288,77.4787,52.5411,47.0574,50.951
0,-50.307,-7.88972,81.0058,67.8192,50.4384,33.561,12.4504,33.2193
0,-40.1347,-0.813153,69.6101,66.5369,54.896,49.1491,44.2706,44.7833
0,-50.4367,-5.72799,70.6453,39.9984,76.535,39.4423,38.6469,31.5373
0,-36.4758,-5.04781,64.0973,71.435,61.2729,70.5699,67.9271,66.8585
0,-45.1501,-2.22426,59.3508,48.8648,69.6844,45.5447,33.7446,38.0031
0,-51.6711,-4.49294,51.3611,49.8122,72.7326,40.8904,39.5535,21.9011
0,-45.3878,-4.7364,66.5175,72.3986,81.8605,37.8188,30.837,3.66529
0,-57.2468,-5.69171,38.7992,65.2451,49.8741,39.6485,34.2917,34.7448
0,-65.6264,-9.74706,59.4708,35.9837,45.1965,33.2093,-4.32025,31.4261
0,-46.9767,-1.09857,61.8348,54.2126,63.73,37.0448,34.7965,32.9443
0,-45.0071,-1.28052,68.0159,67.0025,56.2039,35.2352,31.0986,33.2354
0,-48.6379,-3.15048,51.2411,59.5486,60.2952,48.9573,48.1145,46.8786
0,-51.4527,-3.92968,48.0048,70.3615,63.4436,29.9047,16.3766,25.4879
0,-41.1349,-1.79353,70.3619,57.1829,72.407,43.3002,41.3212,41.8797
0,-37.092,-2.75385,81.2701,73.3012,59.202,44.9067,39.1252,31.1611
0,-42.6469,-2.12339,81.1163,53.3026,61.4163,43.1719,38.9834,39.3953
0,-36.7366,-3.1039,85.6192,65.9117,66.5148,47.1035,45.5357,43.8949
0,-38.5546,-3.62462,68.6418,60.7195,84.9873,44.8372,36.1148,31.2253
0,-37.8804,-2.64986,77.1581,71.3909,62.1207,45.6242,42.4678,21.0965
0,-44.7286,-1.94593,67.861,60.9703,65.218,35.4832,34.6792,32.4088
0,-47.1556,-2.19543,61.1157,62.4512,63.7439,32.1904,28.0988,31.1908
0,-52.8587,-3.27122,59.6774,50.7208,46.3003,49.5845,45.2963,46.2217
0,-40.8452,-2.21686,56.9303,80.0931,69.7808,40.3221,34.7495,33.0857
0,-39.7313,-1.71875,78.15,61.7626,68.0919,40.3936,33.8541,38.6642
0,-42.3898,-0.848168,56.0217,62.8777,69.2946,44.7135,40.3379,41.8956
0,-48.546,-1.71066,52.907,53.8471,66.4153,38.8855,34.7235,34.6415
0,-50.5963,-3.42961,48.022,62.8236,50.0892,49.6585,44.3107,41.7367
0,-45.4394,-4.68501,43.9915,76.488,65.9041,52.0852,50.6849,48.2255
0,-49.2432,-5.17065,79.3272,75.1568,60.247,23.3733,14.3069,13.2596
0,-38.8671,-1.51025,61.3416,63.2358,68.2675,54.5637,53.0858,49.0757
0,-44.2081,-1.93186,68.8195,73.0811,65.3246,29.5961,25.8364,22.5858
