ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.985	9.5	29.97	22.14	-inf	0	0	78	10	76	52	13	9	11	9	0	0	20.02479314804077	200	20.02479314804077	199	0.5	
-inf	33.645	9.402985074626866	20.223880597014926	15.253731343283581	-46.089972109431656	1	133	95	14.0	106.0	75.0	7	9.0	11.0	9.0	0	0	0.8442611694335938	400	20.869054317474365	250	37.5	
-inf	29.38	9.408695652173913	19.4	14.582608695652175	-46.089972109431656	2	218	78	14.0	106.0	75.0	6	9.0	11.0	9.0	0	0	0.4360940456390381	600	21.305148363113403	332	44.666666666666664	
-inf	31.065	9.646017699115044	21.01769911504425	15.601769911504425	-46.089972109431656	3	305	95	14.0	106.0	75.0	5	9.0	11.0	9.0	0	0	0.9409048557281494	800	22.246053218841553	411	48.62499999999999	
-inf	32.015	9.863636363636363	22.954545454545453	16.916666666666668	-46.089972109431656	4	373	86	14.0	106.0	75.0	3	9.0	11.0	9.0	0	0	0.7964291572570801	1000	23.042482376098633	506	49.4	
-inf	32.46	9.906474820143885	22.884892086330936	16.762589928057555	-46.089972109431656	5	434	112	14.0	106.0	75.0	6	9.0	11.0	9.0	0	0	0.5867300033569336	1200	23.629212379455566	608	49.33333333333333	
-inf	32.955	9.864864864864865	23.175675675675677	17.027027027027028	-46.089972109431656	6	486	83	14.0	106.0	75.0	5	9.0	11.0	9.0	0	0	0.8136518001556396	1400	24.442864179611206	704	49.71428571428571	
-inf	33.805	9.856164383561644	23.273972602739725	17.164383561643834	-46.089972109431656	7	540	107	14.0	106.0	75.0	8	9.0	11.0	9.0	0	0	0.9326982498168945	1600	25.3755624294281	815	49.0625	
-inf	37.345	10.16551724137931	27.52413793103448	20.082758620689656	-46.089972109431656	8	595	126	14.0	122.0	85.0	2	9.0	11.0	9.0	0	0	0.9601747989654541	1800	26.335737228393555	918	49.0	
-inf	46.51	10.3984375	32.953125	23.8125	-46.089972109431656	9	667	135	14.0	106.0	75.0	8	9.0	11.0	9.0	0	0	0.793144941329956	2000	27.12888216972351	1010	49.5	
-inf	58.655	11.121951219512194	43.56910569105691	31.146341463414632	-29.485622088576847	10	744	145	14.0	111.0	78.0	5	9.0	11.0	9.0	0	0	1.064033031463623	2200	28.192915201187134	1092	50.36363636363637	
-inf	61.485	10.779527559055119	40.110236220472444	28.834645669291337	-10.386700885061396	11	817	139	16.0	156.0	112.0	2	9.0	11.0	9.0	0	0	1.1079351902008057	2400	29.30085039138794	1178	50.916666666666664	
-inf	64.845	10.992537313432836	44.208955223880594	31.66417910447761	-10.386700885061396	12	883	188	16.0	126.0	89.0	10	9.0	11.0	9.0	0	0	1.1084518432617188	2600	30.409302234649658	1265	51.34615384615385	
-inf	70.535	10.91304347826087	44.6	32.03478260869565	-10.386700885061396	13	968	145	16.0	156.0	110.0	6	9.0	11.0	9.0	0	0	0.8631258010864258	2800	31.272428035736084	1336	52.285714285714285	
-inf	82.66	11.196969696969697	49.621212121212125	35.54545454545455	-10.373632523946615	14	1036	175	16.0	156.0	110.0	9	9.0	11.0	9.0	0	0	1.9368641376495361	3000	33.20929217338562	1422	52.6	
-inf	90.665	11.471428571428572	53.97142857142857	38.58571428571429	-9.890044153441996	15	1096	207	17.0	148.0	104.0	11	9.0	11.0	9.0	0	0	2.095896005630493	3200	35.30518817901611	1517	52.59375	
-inf	98.285	11.764705882352942	58.18487394957983	41.42016806722689	-9.42701907698547	16	1177	205	16.0	146.0	104.0	13	9.0	11.0	9.0	0	0	1.5772850513458252	3400	36.88247323036194	1602	52.88235294117647	
-inf	103.9	11.563025210084033	55.35294117647059	39.63025210084034	-9.42701907698547	17	1258	217	16.0	159.0	114.0	2	9.0	11.0	9.0	0	0	1.88031005859375	3600	38.76278328895569	1680	53.333333333333336	
-inf	105.505	11.537190082644628	55.15702479338843	39.47107438016529	-9.30452406863604	18	1337	209	17.0	246.0	177.0	10	9.0	11.0	9.0	0	0	1.4080829620361328	3800	40.17086625099182	1759	53.71052631578947	
-inf	106.73	11.624	56.328	40.16	-9.289596187473181	19	1412	242	19.0	246.0	174.0	13	9.0	11.0	9.0	0	0	2.988611936569214	4000	43.159478187561035	1839	54.025	
-inf	117.055	11.692307692307692	61.36153846153846	43.776923076923076	-9.223501981745594	20	1482	249	19.0	253.0	179.0	17	9.0	11.0	9.0	0	0	2.9535458087921143	4200	46.11302399635315	1919	54.30952380952381	
-inf	114.86	11.801724137931034	64.41379310344827	46.01724137931034	-7.868333234046725	21	1566	247	17.0	222.0	158.0	12	9.0	11.0	9.0	0	0	2.7476682662963867	4400	48.860692262649536	2001	54.52272727272727	
-inf	121.57	11.658119658119658	62.48717948717949	44.68376068376068	-7.868333234046725	22	1649	279	17.0	196.0	138.0	16	9.0	11.0	9.0	0	0	2.829955816268921	4600	51.69064807891846	2081	54.76086956521739	
-inf	126.805	11.657894736842104	63.89473684210526	45.64912280701754	-7.868333234046725	23	1735	262	18.0	257.0	181.0	11	9.0	11.0	9.0	0	0	1.7932610511779785	4800	53.483909130096436	2159	55.020833333333336	
-inf	138.695	11.630434782608695	64.31521739130434	46.119565217391305	-7.666822015453199	24	1843	271	18.0	285.0	201.0	17	9.0	11.0	9.0	0	0	6.854297161102295	5000	60.33820629119873	2223	55.54	
-inf	150.15	11.89655172413793	68.21551724137932	48.922413793103445	-7.205087385475441	25	1927	294	19.0	288.0	204.0	17	9.0	11.0	9.0	0	0	8.056332111358643	5200	68.39453840255737	2303	55.71153846153846	
-inf	166.205	12.111940298507463	68.0	48.798507462686565	-7.178973118792291	26	1993	329	18.0	285.0	201.0	2	9.0	11.0	9.0	0	0	8.217959880828857	5400	76.61249828338623	2395	55.648148148148145	
-inf	177.595	12.087719298245615	64.62280701754386	46.675438596491226	-7.178973118792291	27	2079	377	18.0	285.0	201.0	58	9.0	11.0	9.0	0	0	4.2898759841918945	5600	80.90237426757812	2469	55.910714285714285	
-inf	178.445	12.078947368421053	70.29824561403508	50.55263157894737	-6.687169108167313	28	2165	414	18.0	245.0	175.0	54	9.0	11.0	9.0	0	0	1.9358100891113281	5800	82.83818435668945	2558	55.896551724137936	
-inf	190.785	11.982758620689655	67.54310344827586	48.68103448275862	-6.687169108167313	29	2249	338	17.0	245.0	175.0	70	9.0	11.0	9.0	0	0	7.927917003631592	6000	90.76610136032104	2621	56.31666666666666	
-inf	186.885	12.064516129032258	71.61290322580645	51.45967741935484	-6.687169108167313	30	2325	324	17.0	245.0	175.0	48	9.0	11.0	9.0	0	0	11.542860746383667	6200	102.30896210670471	2707	56.33870967741936	
-inf	200.4	12.076271186440678	67.2542372881356	48.50847457627118	-6.687169108167313	31	2407	427	23.0	375.0	266.0	24	9.0	11.0	9.0	0	0	3.9401133060455322	6400	106.24907541275024	2787	56.453125	
-inf	206.905	12.0546875	65.6171875	47.4921875	-6.687169108167313	32	2479	479	18.0	214.0	152.0	46	9.0	11.0	9.0	0	0	3.3561477661132812	6600	109.60522317886353	2876	56.42424242424243	
-inf	214.41	12.088235294117647	71.75	51.779411764705884	-6.565880874506319	33	2543	508	21.0	334.0	241.0	55	9.0	11.0	9.0	0	0	3.8991341590881348	6800	113.50435733795166	2963	56.4264705882353	
-inf	220.02	12.036697247706423	68.44036697247707	49.43119266055046	-6.565880874506319	34	2634	508	21.0	334.0	241.0	54	9.0	11.0	9.0	0	0	15.70720386505127	7000	129.21156120300293	3037	56.614285714285714	
-inf	214.42	11.895238095238096	69.38095238095238	50.21904761904762	-6.565880874506319	35	2729	497	20.0	287.0	207.0	18	9.0	11.0	9.0	0	0	2.0583460330963135	7200	131.26990723609924	3117	56.708333333333336	
-inf	212.8	11.652542372881356	58.88135593220339	42.73728813559322	-6.543510833025925	36	2811	538	18.0	229.0	163.0	18	9.0	11.0	9.0	0	0	2.410720109939575	7400	133.68062734603882	3200	56.75675675675676	
-inf	214.75	11.781954887218046	64.30075187969925	46.45112781954887	-6.543510833025925	37	2878	555	20.0	344.0	243.0	14	9.0	11.0	9.0	0	0	9.132190942764282	7600	142.8128182888031	3297	56.61842105263158	
-inf	228.235	11.875968992248062	64.28682170542636	46.64341085271318	-6.543510833025925	38	2949	555	23.0	326.0	232.0	38	9.0	11.0	9.0	0	0	15.469588041305542	7800	158.28240633010864	3386	56.58974358974359	
-inf	202.825	11.803030303030303	63.74242424242424	46.15909090909091	-6.543510833025925	39	3017	555	20.0	268.0	189.0	32	9.0	11.0	9.0	0	0	8.852285861968994	8000	167.13469219207764	3477	56.5375	
-inf	202.46	11.846153846153847	65.81818181818181	47.39160839160839	-6.543510833025925	40	3074	450	21.0	417.0	292.0	23	9.0	11.0	9.0	0	0	751.1479620933533	8200	918.2826542854309	3576	56.390243902439025	
-inf	208.635	11.9609375	68.8125	49.5625	-6.543510833025925	41	3146	437	19.0	279.0	198.0	21	9.0	11.0	9.0	0	0	14.55880093574524	8400	932.8414552211761	3669	56.32142857142857	
-inf	206.55	11.835820895522389	66.7910447761194	48.21641791044776	-6.543510833025925	42	3212	377	20.0	281.0	202.0	20	9.0	11.0	9.0	0	0	16.233657121658325	8600	949.0751123428345	3769	56.17441860465116	
-inf	196.235	11.816	62.824	45.656	-6.543510833025925	43	3287	459	17.0	294.0	209.0	14	9.0	11.0	9.0	0	0	14.186441898345947	8800	963.2615542411804	3862	56.11363636363637	
-inf	188.685	11.912408759124087	65.7007299270073	47.68613138686131	-6.518447289518212	44	3350	415	20.0	342.0	240.0	17	9.0	11.0	9.0	0	0	16.560436010360718	9000	979.8219902515411	3954	56.06666666666666	
-inf	180.97	11.451127819548873	57.06015037593985	41.40601503759399	-6.518447289518212	45	3417	430	19.0	432.0	305.0	17	9.0	11.0	9.0	0	0	2.296459913253784	9200	982.1184501647949	4031	56.184782608695656	
-inf	162.81	11.37190082644628	53.69421487603306	39.107438016528924	-6.518447289518212	46	3496	425	17.0	314.0	222.0	27	9.0	11.0	9.0	0	0	107.35568022727966	9400	1089.4741303920746	4111	56.265957446808514	
-inf	149.905	11.485294117647058	55.0	39.80882352941177	-6.487123009193115	47	3560	443	19.0	314.0	222.0	17	9.0	11.0	9.0	0	0	4.933218717575073	9600	1094.4073491096497	4201	56.23958333333333	
-inf	156.48	11.226277372262773	56.715328467153284	40.97810218978102	-6.356165879136227	48	3623	479	19.0	383.0	269.0	21	9.0	11.0	9.0	0	0	6.02693510055542	9800	1100.434284210205	4298	56.142857142857146	
-inf	166.06	11.04225352112676	50.7887323943662	36.87323943661972	-6.356165879136227	49	3681	377	21.0	409.0	288.0	16	9.0	11.0	9.0	0	0	5.352030038833618	10000	1105.7863142490387	4391	56.09	
-inf	169.135	11.055555555555555	46.166666666666664	33.40972222222222	-6.356165879136227	50	3737	393	19.0	262.0	184.0	14	9.0	11.0	9.0	0	0	2.258005142211914	10200	1108.0443193912506	4495	55.931372549019606	
-inf	176.695	10.733812949640289	35.78417266187051	26.14388489208633	-6.356165879136227	51	3798	369	15.0	137.0	100.0	11	9.0	11.0	9.0	0	0	1.682309865951538	10400	1109.7266292572021	4596	55.80769230769231	
-inf	175.575	10.98581560283688	40.02836879432624	29.22695035460993	-6.356165879136227	52	3857	374	17.0	194.0	140.0	21	9.0	11.0	9.0	0	0	1.4683148860931396	10600	1111.1949441432953	4697	55.68867924528302	
-inf	166.46	11.1	42.52142857142857	30.942857142857143	-6.356165879136227	53	3917	441	16.0	197.0	139.0	22	9.0	11.0	9.0	0	0	9.8469820022583	10800	1121.0419261455536	4793	55.62037037037037	
-inf	152.22	11.155038759689923	42.21705426356589	30.837209302325583	-6.356165879136227	54	3988	418	16.0	184.0	132.0	18	9.0	11.0	9.0	0	0	4.090175151824951	11000	1125.1321012973785	4880	55.63636363636363	
-inf	138.72	11.0703125	42.8046875	31.203125	-6.356165879136227	55	4060	457	18.0	425.0	300.0	16	9.0	11.0	9.0	0	0	8.889925003051758	11200	1134.0220263004303	4969	55.63392857142857	
-inf	128.745	10.971014492753623	37.3768115942029	27.384057971014492	-6.356165879136227	56	4122	406	22.0	306.0	223.0	18	9.0	11.0	9.0	0	0	9.109009981155396	11400	1143.1310362815857	5055	55.65789473684211	
-inf	118.57	10.98581560283688	35.673758865248224	26.24113475177305	-6.356165879136227	57	4181	364	16.0	146.0	104.0	24	9.0	11.0	9.0	0	0	1.042881965637207	11600	1144.173918247223	5144	55.6551724137931	
-inf	109.13	11.072	37.872	27.792	-6.356165879136227	58	4256	352	16.0	184.0	129.0	12	9.0	11.0	9.0	0	0	2.2254490852355957	11800	1146.3993673324585	5229	55.686440677966104	
-inf	108.67	11.048387096774194	37.62096774193548	27.532258064516128	-6.356165879136227	59	4332	371	15.0	201.0	145.0	10	9.0	11.0	9.0	0	0	0.3409910202026367	12000	1146.7403583526611	5305	55.791666666666664	
-inf	103.79	11.0859375	35.796875	26.2265625	-6.356165879136227	60	4404	395	15.0	224.0	155.0	5	9.0	11.0	9.0	0	0	3.7406678199768066	12200	1150.481026172638	5390	55.81967213114754	
-inf	94.48	10.942028985507246	35.95652173913044	26.340579710144926	-6.356165879136227	61	4466	358	15.0	224.0	155.0	20	9.0	11.0	9.0	0	0	3.308161973953247	12400	1153.7891881465912	5472	55.87096774193549	
