# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,3.317849999999999966e+01,3.316750000000000398e+01,5.265424167782373210e-01,3.284499999999999886e+01,3.358500000000000085e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,3.021466666666666967e+01,3.021499999999999986e+01,5.196087203100254737e-01,2.990124999999999744e+01,3.057249999999999801e+01,2.228666666666667240e+01,2.228999999999999915e+01,3.502221517202409595e-01,2.205874999999999986e+01,2.256250000000000000e+01,-9.982973829416600609e+01,-6.514689779192812580e+01,8.809933797252455179e+01,-1.444990711350222057e+02,-2.283559851294188903e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.376666666666666572e+01,7.300000000000000000e+01,2.940332558666715279e+00,7.200000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.150000000000000000e+01,7.100000000000000000e+01,3.442382895611701077e+00,7.000000000000000000e+01,7.300000000000000000e+01,4.936666666666666714e+01,4.900000000000000000e+01,1.905838981189707182e+00,4.800000000000000000e+01,5.000000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.205308089256286763e+01,2.117334640026092529e+01,2.328827969053727642e+01,1.920482540130615234e+01,2.510269910097122192e+01,3.205308089256286763e+01,2.117334640026092529e+01,2.328827969053727642e+01,1.920482540130615234e+01,2.510269910097122192e+01,1.983000000000000114e+02,1.985000000000000000e+02,1.294861639970334988e+00,1.980000000000000000e+02,1.990000000000000000e+02,8.499999999999999778e-01,7.500000000000000000e-01,6.474308199851678269e-01,5.000000000000000000e-01,1.000000000000000000e+00
nan,nan,nan,nan,nan,3.345983333333332865e+01,3.341750000000000398e+01,2.004317208483283874e+00,3.198499999999999943e+01,3.486374999999999602e+01,9.510495883230635883e+00,9.496843615494977797e+00,1.014197797708924348e-01,9.435506379585326897e+00,9.570327868852460895e+00,2.069613353222764829e+01,2.040291955900367427e+01,1.402052491184667682e+00,1.953746790757381291e+01,2.195756172839505993e+01,1.550261225832688794e+01,1.534720465469263750e+01,9.817252296407045220e-01,1.468637676508344114e+01,1.634950880758807656e+01,-8.183340397762468399e+01,-4.608997210943165612e+01,8.745722921067012123e+01,-1.131231280833297035e+02,-1.269848266111738688e+01,1.280666666666666629e+02,1.285000000000000000e+02,8.346389771764929577e+00,1.210000000000000000e+02,1.357500000000000000e+02,8.593333333333333712e+01,8.600000000000000000e+01,8.805049056586165435e+00,7.925000000000000000e+01,9.175000000000000000e+01,1.250000000000000000e+01,1.200000000000000000e+01,9.916316520429010462e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.979999999999999716e+01,6.550000000000000000e+01,1.350160484288195128e+01,6.100000000000000000e+01,8.100000000000000000e+01,5.016666666666666430e+01,4.750000000000000000e+01,9.007712744581105824e+00,4.400000000000000000e+01,5.700000000000000000e+01,4.033333333333333215e+00,4.000000000000000000e+00,1.642829537380214200e+00,3.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.270377079645792717e-01,4.927521944046020508e-01,2.021621487305590992e-01,3.772005438804626465e-01,6.347443461418151855e-01,3.258011860052744879e+01,2.166609859466552734e+01,2.333581665785824910e+01,1.956231373548507690e+01,2.562945431470870972e+01,2.541333333333333258e+02,2.545000000000000000e+02,8.605166406809859225e+00,2.480000000000000000e+02,2.592500000000000000e+02,3.646666666666666856e+01,3.637500000000000000e+01,2.151291601702463474e+00,3.518750000000000000e+01,3.800000000000000000e+01
nan,nan,nan,nan,nan,2.792766666666667419e+01,2.792750000000000199e+01,1.790617553310092536e+00,2.662250000000000227e+01,2.943624999999999758e+01,9.542337270374730451e+00,9.536635706914344368e+00,9.113531786968938342e-02,9.484398552909254931e+00,9.611019417475727522e+00,1.997850843464808435e+01,1.968503806686527469e+01,1.190673386361653208e+00,1.908619281045751848e+01,2.050057017543859672e+01,1.493867645783085329e+01,1.469356173452499092e+01,8.444157010041319911e-01,1.427630471380471278e+01,1.538605263157894854e+01,-8.183340397762468399e+01,-4.608997210943165612e+01,8.745722921067012123e+01,-1.131231280833297035e+02,-1.269848266111738688e+01,2.257666666666666799e+02,2.250000000000000000e+02,1.435196463516019350e+01,2.180000000000000000e+02,2.402500000000000000e+02,8.756666666666666288e+01,8.450000000000000000e+01,1.314453836727973091e+01,7.925000000000000000e+01,9.175000000000000000e+01,1.303333333333333321e+01,1.300000000000000000e+01,1.079608982713443188e+00,1.200000000000000000e+01,1.375000000000000000e+01,6.786666666666666003e+01,6.400000000000000000e+01,1.579606139376381257e+01,5.575000000000000000e+01,7.600000000000000000e+01,4.823333333333333428e+01,4.450000000000000000e+01,1.066359330724039900e+01,4.125000000000000000e+01,5.350000000000000000e+01,3.533333333333333215e+00,3.000000000000000000e+00,1.521694961401776958e+00,2.250000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.915186564127604463e-01,5.451707839965820312e-01,6.506548479888275560e-01,4.464545249938964844e-01,5.846375226974487305e-01,3.327163725694020258e+01,2.218579196929931641e+01,2.353555386710999642e+01,2.003341931104660034e+01,2.616821837425231934e+01,3.252666666666666515e+02,3.260000000000000000e+02,1.289427090696570666e+01,3.195000000000000000e+02,3.307500000000000000e+02,4.578888888888887720e+01,4.566666666666666430e+01,2.149045151160951850e+00,4.487500000000000000e+01,4.675000000000000000e+01
nan,nan,nan,nan,nan,2.609116666666667683e+01,2.573499999999999943e+01,1.883001453058978258e+00,2.478750000000000142e+01,2.718625000000000114e+01,9.542758319730541672e+00,9.534949832775918566e+00,9.343432340446779227e-02,9.466918053179909975e+00,9.621093750000000000e+00,1.943555224523262126e+01,1.930240384615384386e+01,1.118970009944972421e+00,1.857408424405513614e+01,2.033027522935779530e+01,1.451306510291969332e+01,1.438028846153846274e+01,7.670777406042954549e-01,1.394762205502773256e+01,1.512410805300713434e+01,-7.077799839148964622e+01,-4.630567714047786865e+01,8.235106088712386452e+01,-6.929696960185539467e+01,-1.285475846870755312e+01,3.025666666666666629e+02,3.035000000000000000e+02,1.822577539883801023e+01,2.932500000000000000e+02,3.175000000000000000e+02,8.293333333333333712e+01,8.150000000000000000e+01,1.252180320702875171e+01,7.375000000000000000e+01,8.750000000000000000e+01,1.250000000000000000e+01,1.200000000000000000e+01,8.062257748298550242e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.279999999999999716e+01,6.400000000000000000e+01,1.664211525017177706e+01,5.025000000000000000e+01,7.175000000000000000e+01,4.496666666666666856e+01,4.500000000000000000e+01,1.194287328167816753e+01,3.525000000000000000e+01,5.150000000000000000e+01,4.066666666666666430e+00,4.000000000000000000e+00,1.651934892448515768e+00,3.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.188044865926107141e-01,6.558972597122192383e-01,9.496110082381983286e-01,5.260401368141174316e-01,9.148527979850769043e-01,3.419044174353281562e+01,2.275510954856872559e+01,2.405424070531561398e+01,2.059921032190322876e+01,2.697833937406539917e+01,4.104333333333333371e+02,4.115000000000000000e+02,1.592834649994224172e+01,3.997500000000000000e+02,4.180000000000000000e+02,4.869583333333333286e+01,4.856250000000000000e+01,1.991043312492780215e+00,4.775000000000000000e+01,5.003125000000000000e+01
nan,nan,nan,nan,nan,2.669216666666666526e+01,2.654250000000000043e+01,2.209254656867082556e+00,2.512000000000000099e+01,2.819250000000000256e+01,9.577926521537218463e+00,9.566289825282630943e+00,1.112127471563248426e-01,9.500271002710025670e+00,9.661145264116576925e+00,1.957704045418380190e+01,1.936523297491039131e+01,1.432421121026753230e+00,1.871443569553805730e+01,2.034934183463595048e+01,1.460571360216896686e+01,1.442144563918757427e+01,9.916762717026806895e-01,1.394965004374453343e+01,1.507566616390145775e+01,-7.027224930928910851e+01,-4.327118264727458552e+01,8.251694586866064185e+01,-6.929696960185539467e+01,-1.285475846870755312e+01,3.670333333333333599e+02,3.665000000000000000e+02,2.239565930164940610e+01,3.512500000000000000e+02,3.800000000000000000e+02,7.779999999999999716e+01,7.600000000000000000e+01,1.351394341658520659e+01,7.200000000000000000e+01,8.300000000000000000e+01,1.283333333333333393e+01,1.300000000000000000e+01,8.975274678557506602e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.346666666666666856e+01,6.100000000000000000e+01,1.505486263268080727e+01,5.400000000000000000e+01,7.100000000000000000e+01,4.523333333333333428e+01,4.400000000000000000e+01,1.088633189932321521e+01,3.825000000000000000e+01,5.075000000000000000e+01,4.066666666666666430e+00,4.000000000000000000e+00,1.965253729731156085e+00,3.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.958246310551960745e-01,8.065301179885864258e-01,2.125383079798964236e-01,6.642730832099914551e-01,8.668085932731628418e-01,3.498626637458801270e+01,2.353775048255920410e+01,2.409722898755812182e+01,2.129257208108901978e+01,2.781986516714096069e+01,5.053333333333333144e+02,5.050000000000000000e+02,2.078835143910059458e+01,4.900000000000000000e+02,5.202500000000000000e+02,4.946666666666667567e+01,4.950000000000000000e+01,2.078835143910060079e+00,4.797500000000000142e+01,5.100000000000000000e+01
nan,nan,nan,nan,nan,2.780716666666667081e+01,2.720499999999999829e+01,2.526130995327747542e+00,2.583500000000000085e+01,2.929250000000000043e+01,9.609709511141545590e+00,9.600724637681159024e+00,1.315911350317615081e-01,9.508093525179855732e+00,9.683516483516481088e+00,1.978979300745822201e+01,1.954487179487179560e+01,1.630531034658711853e+00,1.857866666666666688e+01,2.046620879120879266e+01,1.472462053260161241e+01,1.452838991463172569e+01,1.118191450408606347e+00,1.393672992700729907e+01,1.509271978021978100e+01,-7.027224930928910851e+01,-4.327118264727458552e+01,8.251694586866064185e+01,-6.929696960185539467e+01,-1.285475846870755312e+01,4.283000000000000114e+02,4.270000000000000000e+02,2.697671835737870794e+01,4.095000000000000000e+02,4.420000000000000000e+02,7.516666666666667140e+01,7.400000000000000000e+01,1.304883988031971498e+01,6.750000000000000000e+01,7.950000000000000000e+01,1.290000000000000036e+01,1.300000000000000000e+01,8.306623862918078860e-01,1.200000000000000000e+01,1.300000000000000000e+01,5.889999999999999858e+01,5.900000000000000000e+01,1.394118598493925276e+01,5.200000000000000000e+01,6.375000000000000000e+01,4.176666666666666572e+01,4.150000000000000000e+01,9.524296416125562104e+00,3.700000000000000000e+01,4.500000000000000000e+01,4.900000000000000355e+00,5.000000000000000000e+00,1.920937271229854693e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.933185656865437752e-01,7.547385692596435547e-01,6.637328078858001357e-01,6.728919744491577148e-01,8.920577764511108398e-01,3.587958494027455458e+01,2.423194634914398193e+01,2.441482656712725685e+01,2.189248085021972656e+01,2.877547377347946167e+01,6.017666666666666515e+02,6.030000000000000000e+02,2.521068997248763921e+01,5.792500000000000000e+02,6.132500000000000000e+02,4.985277777777777430e+01,4.975000000000000000e+01,2.100890831040636009e+00,4.889583333333332860e+01,5.172916666666666430e+01
nan,nan,nan,nan,nan,2.874750000000000583e+01,2.892249999999999943e+01,2.912023566182114109e+00,2.654625000000000057e+01,3.137250000000000227e+01,9.609121471061092379e+00,9.597893129770993070e+00,1.603730609493444759e-01,9.489874686716794017e+00,9.688220563220562909e+00,1.986875983571882998e+01,1.952942295799438455e+01,2.083659326897303821e+00,1.822890271493212566e+01,2.051868739368739369e+01,1.479267079832943033e+01,1.451384329955758545e+01,1.440043324378052603e+00,1.368042986425339080e+01,1.515151908901908762e+01,-6.945777317821658414e+01,-4.010397426011130051e+01,8.276552884739379579e+01,-6.929696960185539467e+01,-1.285475846870755312e+01,4.887666666666666515e+02,4.860000000000000000e+02,3.017359036567500397e+01,4.667500000000000000e+02,5.035000000000000000e+02,7.486666666666666003e+01,7.550000000000000000e+01,1.124198479905671277e+01,6.725000000000000000e+01,8.300000000000000000e+01,1.293333333333333357e+01,1.300000000000000000e+01,8.537498983243800854e-01,1.200000000000000000e+01,1.375000000000000000e+01,6.003333333333333144e+01,5.800000000000000000e+01,1.551662191185812034e+01,5.100000000000000000e+01,6.800000000000000000e+01,4.236666666666666714e+01,4.000000000000000000e+01,1.073773201793045828e+01,3.600000000000000000e+01,4.700000000000000000e+01,4.466666666666666785e+00,4.000000000000000000e+00,2.202019275321832836e+00,2.250000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.639676650365193611e-01,7.653543949127197266e-01,2.309728045119451567e-01,6.212841868400573730e-01,8.953213691711425781e-01,3.664355260531107916e+01,2.507717764377593994e+01,2.451515329219903094e+01,2.273215544223785400e+01,2.960442012548446655e+01,6.976000000000000227e+02,7.015000000000000000e+02,2.699209760899166000e+01,6.750000000000000000e+02,7.067500000000000000e+02,5.017142857142857082e+01,4.989285714285713880e+01,1.928006972070833269e+00,4.951785714285713880e+01,5.178571428571429180e+01
nan,nan,nan,nan,nan,2.990149999999999864e+01,2.984250000000000114e+01,3.790639600823762390e+00,2.668999999999999773e+01,3.260999999999999943e+01,9.660367701535477636e+00,9.587818969667790014e+00,2.027203573626763511e-01,9.511783107403545046e+00,9.742912954404687298e+00,2.045856890881297829e+01,1.931271079788572820e+01,2.732531961424119693e+00,1.875867719350513951e+01,2.127346467197103408e+01,1.519111457728409320e+01,1.439443745280644293e+01,1.894973835406962293e+00,1.396432295545955604e+01,1.568403687645909628e+01,-6.702757800705497004e+01,-3.701064342340018243e+01,8.329790183882063559e+01,-5.500427533998303886e+01,-1.285475846870755312e+01,5.446666666666666288e+02,5.415000000000000000e+02,3.133617008435389195e+01,5.267500000000000000e+02,5.580000000000000000e+02,7.686666666666666003e+01,7.700000000000000000e+01,1.474162662515760402e+01,6.725000000000000000e+01,8.975000000000000000e+01,1.326666666666666750e+01,1.300000000000000000e+01,8.919392106839768575e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.250000000000000000e+01,5.950000000000000000e+01,1.479583274664412507e+01,5.225000000000000000e+01,6.775000000000000000e+01,4.389999999999999858e+01,4.100000000000000000e+01,1.032262886413469083e+01,3.700000000000000000e+01,4.925000000000000000e+01,5.533333333333333215e+00,5.000000000000000000e+00,2.171532996653644076e+00,4.000000000000000000e+00,6.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.096984942754109627e-01,7.867640256881713867e-01,2.362884078726721904e-01,6.304630041122436523e-01,9.314289689064024769e-01,3.745325109958648824e+01,2.565668153762817383e+01,2.467397947841199368e+01,2.358899277448654175e+01,3.052699816226959584e+01,7.971000000000000227e+02,7.970000000000000000e+02,2.972355967915014219e+01,7.795000000000000000e+02,8.150000000000000000e+02,5.018124999999999858e+01,5.018750000000000000e+01,1.857722479946883665e+00,4.906250000000000000e+01,5.128125000000000000e+01
nan,nan,nan,nan,nan,3.098966666666666825e+01,2.996000000000000085e+01,4.653433487460868712e+00,2.755624999999999858e+01,3.443625000000000114e+01,9.717302830259258783e+00,9.640202702702701743e+00,2.320426344029502819e-01,9.561517113783533972e+00,9.824770378874855936e+00,2.114044410500830296e+01,1.993475679378853727e+01,3.095117705857338031e+00,1.929666666666666686e+01,2.177847740464344994e+01,1.566757051792972533e+01,1.485377940168988431e+01,2.158018140764040638e+00,1.439697986577181155e+01,1.604594216417910246e+01,-6.395136501775459692e+01,-2.272137190693884889e+01,8.468351334360619376e+01,-5.500427533998303886e+01,-1.285475846870755312e+01,6.012999999999999545e+02,5.995000000000000000e+02,3.415860067391520261e+01,5.795000000000000000e+02,6.120000000000000000e+02,7.843333333333333712e+01,7.600000000000000000e+01,1.637413271664249592e+01,6.475000000000000000e+01,9.200000000000000000e+01,1.316666666666666607e+01,1.300000000000000000e+01,8.198915917499229877e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.553333333333333144e+01,6.600000000000000000e+01,1.661271266898402033e+01,5.625000000000000000e+01,7.075000000000000000e+01,4.576666666666666572e+01,4.600000000000000000e+01,1.164669719515174684e+01,3.950000000000000000e+01,4.900000000000000000e+01,5.266666666666666607e+00,5.000000000000000000e+00,2.096558025802184755e+00,4.000000000000000000e+00,6.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.809513250986734656e-01,8.497351408004760742e-01,2.796159883102395938e-01,6.688299179077148438e-01,9.921692013740539551e-01,3.833420242468515937e+01,2.630294811725616455e+01,2.488399131865490332e+01,2.435422563552856445e+01,3.148728644847869873e+01,8.980666666666667197e+02,8.935000000000000000e+02,3.340851521526943202e+01,8.760000000000000000e+02,9.210000000000000000e+02,5.010740740740742183e+01,5.036111111111111427e+01,1.856028623070524519e+00,4.883333333333333570e+01,5.133333333333332860e+01
nan,nan,nan,nan,nan,3.271183333333333820e+01,3.141499999999999915e+01,5.840422142752658807e+00,2.899749999999999872e+01,3.551749999999999829e+01,9.743214969405686432e+00,9.665591397849460975e+00,2.465020585756663440e-01,9.584627329192546341e+00,9.812992610837437013e+00,2.149212302315631007e+01,1.989744079449961589e+01,3.902995416773570092e+00,1.936603800748632409e+01,2.205048701298701275e+01,1.591290624261183062e+01,1.482676083041046411e+01,2.729566321144213159e+00,1.438865294174105003e+01,1.623831168831168981e+01,-6.307369649381789145e+01,-1.866759209360096960e+01,8.516069395688411703e+01,-5.500427533998303886e+01,-1.230822903787663947e+01,6.575000000000000000e+02,6.550000000000000000e+02,3.983779612378174306e+01,6.265000000000000000e+02,6.717500000000000000e+02,8.126666666666666572e+01,8.250000000000000000e+01,1.943010264740999915e+01,6.425000000000000000e+01,9.375000000000000000e+01,1.350000000000000000e+01,1.300000000000000000e+01,1.087811258138714710e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.723333333333333428e+01,6.300000000000000000e+01,1.636191377016216464e+01,5.600000000000000000e+01,7.275000000000000000e+01,4.743333333333333002e+01,4.400000000000000000e+01,1.127736178762076058e+01,4.000000000000000000e+01,5.175000000000000000e+01,5.599999999999999645e+00,5.500000000000000000e+00,2.576819745345025225e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.466821829477946038e-01,8.822776079177856445e-01,3.589774423665809122e-01,6.742241978645324707e-01,1.108415424823760986e+00,3.928088460763295586e+01,2.716879153251647949e+01,2.513936537952301364e+01,2.506423556804656982e+01,3.241693890094757080e+01,9.962666666666666515e+02,9.955000000000000000e+02,3.789980943956783932e+01,9.720000000000000000e+02,1.025750000000000000e+03,5.018666666666666032e+01,5.022500000000000142e+01,1.894990471978391655e+00,4.871250000000000568e+01,5.139999999999999858e+01
