ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	29.535	9.5	26.67	19.85	-inf	0	0	61	10	58	41	13	9	11	9	0	0	89.29216456413269	200	89.29216456413269	199	0.5	
-inf	30.14	9.075	18.225	13.6875	-inf	1	120	68	11.0	66.0	48.0	2	9.0	11.0	9.0	0	0	0.7945342063903809	400	90.08669877052307	264	34.0	
-inf	25.44	9.062992125984252	18.401574803149607	13.779527559055119	-inf	2	193	73	10.0	50.0	36.0	3	9.0	11.0	9.0	0	0	0.948033332824707	600	91.03473210334778	353	41.166666666666664	
-inf	23.845	9.022900763358779	17.34351145038168	13.0	-inf	3	262	68	10.0	48.0	35.0	3	9.0	11.0	9.0	0	0	0.951124906539917	800	91.9858570098877	444	44.49999999999999	
-inf	23.66	9.007042253521126	16.323943661971832	12.359154929577464	-inf	4	320	75	10.0	35.0	26.0	4	9.0	11.0	9.0	0	0	0.9088408946990967	1000	92.89469790458679	538	46.199999999999996	
-inf	24.975	9.0125	16.7125	12.575	-inf	5	360	59	10.0	39.0	28.0	7	9.0	11.0	9.0	0	0	0.9521238803863525	1200	93.84682178497314	643	46.416666666666664	
-inf	24.68	9.006211180124224	16.41614906832298	12.372670807453416	-inf	6	399	62	10.0	33.0	24.0	6	9.0	11.0	9.0	0	0	0.9357254505157471	1400	94.78254723548889	745	46.785714285714285	
-inf	24.22	9.019607843137255	16.790849673202615	12.627450980392156	-inf	7	446	55	10.0	37.0	27.0	3	9.0	11.0	9.0	0	0	0.9666550159454346	1600	95.74920225143433	850	46.875	
-inf	25.05	9.012987012987013	16.558441558441558	12.467532467532468	-inf	8	492	53	10.0	33.0	24.0	7	9.0	11.0	9.0	0	0	0.9456281661987305	1800	96.69483041763306	957	46.833333333333336	
-inf	26.0	9.013157894736842	16.638157894736842	12.552631578947368	-inf	9	540	54	11.0	40.0	30.0	4	9.0	11.0	9.0	0	0	0.85780930519104	2000	97.5526397228241	1048	47.599999999999994	
-inf	26.385	9.013157894736842	16.68421052631579	12.598684210526315	-inf	10	588	51	11.0	49.0	36.0	6	9.0	11.0	9.0	0	0	0.7245204448699951	2200	98.27716016769409	1146	47.909090909090914	
