ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	99.035	6.715	92.815	66.235	-2.191381177174582	0	0	151	10	138	101	67	5	67	45	0	0	84.32288312911987	200	84.32288312911987	200	0.0	
-inf	101.895	7.538888888888889	94.85	67.64444444444445	-0.5438191656757213	1	20	186	14.0	134.0	97.0	40	5.0	73.0	49.0	0	0	13.281424522399902	400	97.60430765151978	369	7.75	
-inf	109.96	7.5	95.29032258064517	68.0	-0.5438191656757213	2	34	203	13.0	127.0	93.0	9	5.0	73.0	49.0	0	0	13.819228887557983	600	111.42353653907776	524	12.666666666666671	
-inf	108.66	7.536842105263158	94.90526315789474	67.80526315789474	-0.5438191656757213	3	44	224	13.0	136.0	100.0	27	6.0	74.0	51.0	0	0	14.271493434906006	800	125.69502997398376	671	16.125	
-inf	111.34	7.592592592592593	95.87301587301587	68.64021164021165	-0.47574341532488446	4	55	199	19.0	146.0	106.0	31	6.0	76.0	53.0	0	0	13.09524154663086	1000	138.79027152061462	814	18.60000000000001	
-inf	117.545	7.572916666666667	95.63020833333333	68.50520833333333	-0.47574341532488446	5	63	222	19.0	136.0	97.0	39	6.0	72.0	50.0	0	0	16.586825370788574	1200	155.3770968914032	961	19.91666666666667	
-inf	116.43	7.333333333333333	93.97435897435898	67.25128205128205	-0.47574341532488446	6	68	200	14.0	132.0	96.0	48	6.0	75.0	52.0	0	0	18.959978103637695	1400	174.3370749950409	1121	19.92857142857143	
-inf	120.785	7.525510204081633	93.96938775510205	67.24489795918367	-0.26479068777072307	7	72	203	14.0	133.0	97.0	34	6.0	73.0	50.0	0	0	15.539194107055664	1600	189.87626910209656	1279	20.0625	
-inf	120.825	7.643979057591623	94.67539267015707	67.81151832460733	-0.26479068777072307	8	81	203	14.0	132.0	96.0	34	6.0	76.0	53.0	0	0	15.925140619277954	1800	205.8014097213745	1433	20.388888888888886	
-inf	124.86	7.441624365482234	93.8527918781726	67.13197969543147	-0.26479068777072307	9	84	224	13.0	131.0	95.0	21	6.0	76.0	53.0	0	0	16.87820529937744	2000	222.67961502075195	1589	20.549999999999997	
-inf	128.075	7.267676767676767	91.87373737373737	65.5909090909091	-0.26479068777072307	10	86	268	13.0	129.0	94.0	33	6.0	73.0	50.0	0	0	15.858315467834473	2200	238.53793048858643	1748	20.545454545454547	
-inf	126.0	7.2356020942408374	91.20942408376963	65.1151832460733	-0.20528158873373115	11	95	215	13.0	124.0	90.0	38	6.0	68.0	47.0	0	0	14.254329442977905	2400	252.79225993156433	1895	21.04166666666667	
-inf	126.5	7.497354497354498	93.76719576719577	66.97883597883597	-0.20528158873373115	12	106	225	13.0	129.0	94.0	42	6.0	74.0	51.0	0	0	12.879120826721191	2600	265.6713807582855	2044	21.384615384615387	
-inf	127.625	7.722513089005235	94.39267015706807	67.49214659685863	-0.136957316260838	13	115	237	13.0	129.0	94.0	41	6.0	72.0	50.0	0	0	16.202366590499878	2800	281.8737473487854	2203	21.32142857142857	
-inf	122.73	7.61340206185567	93.68556701030928	67.04123711340206	-0.136957316260838	14	121	256	13.0	129.0	94.0	36	6.0	72.0	51.0	0	0	12.58591079711914	3000	294.45965814590454	2355	21.5	
-inf	128.235	7.837837837837838	94.85945945945946	67.88108108108108	-0.136957316260838	15	136	266	13.0	121.0	88.0	36	6.0	71.0	49.0	0	0	16.29946255683899	3200	310.75912070274353	2501	21.84375	
-inf	123.415	7.7405405405405405	94.47567567567567	67.74594594594595	-0.136957316260838	16	151	278	14.0	136.0	100.0	34	6.0	73.0	52.0	0	0	14.827395915985107	3400	325.58651661872864	2642	22.294117647058826	
-inf	114.875	7.911602209944752	94.1767955801105	67.68508287292818	-0.136957316260838	17	170	268	11.0	121.0	88.0	31	6.0	70.0	49.0	0	0	16.052026987075806	3600	341.63854360580444	2781	22.75	
-inf	109.16	7.988439306358382	95.02890173410404	68.26589595375722	-0.136957316260838	18	197	317	13.0	123.0	89.0	28	6.0	73.0	51.0	0	0	16.043458461761475	3800	357.6820020675659	2917	23.23684210526315	
-inf	111.825	7.631578947368421	93.32631578947368	67.07368421052631	-0.136957316260838	19	207	317	11.0	123.0	89.0	24	6.0	68.0	48.0	0	0	17.335408449172974	4000	375.0174105167389	3076	23.099999999999994	
-inf	112.77	7.634408602150538	93.60215053763442	67.32795698924731	-0.136957316260838	20	221	319	11.0	127.0	93.0	31	6.0	70.0	49.0	0	0	11.358829021453857	4200	386.37623953819275	3220	23.33333333333333	
-inf	122.85	7.721052631578948	93.24736842105263	67.0578947368421	-0.04082199452025493	21	231	354	15.0	131.0	95.0	19	6.0	71.0	50.0	0	0	10.791431665420532	4400	397.1676712036133	3371	23.38636363636364	
-inf	125.61	7.675675675675675	93.66486486486487	67.44324324324324	-0.04082199452025493	22	246	359	13.0	128.0	93.0	34	6.0	73.0	51.0	0	0	13.453733205795288	4600	410.62140440940857	3515	23.58695652173914	
-inf	127.17	7.44559585492228	92.15025906735751	66.29533678756476	-0.04082199452025493	23	253	366	12.0	124.0	91.0	26	6.0	73.0	51.0	0	0	14.104144811630249	4800	424.7255492210388	3665	23.64583333333333	
