# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,6.910116666666667129e+01,6.871750000000000114e+01,2.032745550289611902e+00,6.724750000000000227e+01,7.042875000000000796e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,6.095933333333333337e+01,6.059250000000000114e+01,1.802875819967149962e+00,5.932625000000000171e+01,6.215250000000000341e+01,4.626816666666666578e+01,4.601250000000000284e+01,1.353089356086861095e+00,4.503125000000000000e+01,4.714875000000000682e+01,-3.464320144876295027e-01,-3.343206491289466564e-01,9.885587627922801102e-02,-4.233364087352129435e-01,-2.598074768208257779e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.775333333333333314e+02,1.770000000000000000e+02,7.031990393116936744e+00,1.742500000000000000e+02,1.807500000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.583333333333333428e+02,1.575000000000000000e+02,6.007402840570032154e+00,1.552500000000000000e+02,1.617500000000000000e+02,1.185333333333333314e+02,1.180000000000000000e+02,4.659995231280345429e+00,1.162500000000000000e+02,1.207500000000000000e+02,2.400000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,2.400000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.871984648704528809e+01,9.830293107032775879e+01,2.876639853620858034e+01,8.877927261590957642e+01,1.105080530047416687e+02,9.871984648704528809e+01,9.830293107032775879e+01,2.876639853620858034e+01,8.877927261590957642e+01,1.105080530047416687e+02,1.999000000000000057e+02,2.000000000000000000e+02,3.000000000000000444e-01,2.000000000000000000e+02,2.000000000000000000e+02,5.000000000000000278e-02,0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
nan,nan,nan,nan,nan,7.221516666666667561e+01,7.221750000000000114e+01,4.071406899204362162e+00,6.958000000000001251e+01,7.423874999999999602e+01,9.602741977668271645e+00,9.625000000000000000e+00,1.967803657263972050e-01,9.455000000000000071e+00,9.735964912280701711e+00,4.535372475798219227e+01,4.472061191626409027e+01,5.669826572856891289e+00,4.105833333333333002e+01,4.810668498168497820e+01,3.486714529641850646e+01,3.438244766505636107e+01,4.191566047745753920e+00,3.170208333333333428e+01,3.692170329670329920e+01,-3.379442359306486510e-01,-3.311592877430695747e-01,9.257992732041525619e-02,-3.745014770160355333e-01,-2.598074768208257779e-01,1.752333333333333201e+02,1.760000000000000000e+02,4.055312017040803241e+00,1.740000000000000000e+02,1.780000000000000000e+02,2.041999999999999886e+02,1.995000000000000000e+02,1.935871896588201579e+01,1.890000000000000000e+02,2.180000000000000000e+02,1.119999999999999929e+01,1.100000000000000000e+01,8.717797887081345509e-01,1.100000000000000000e+01,1.200000000000000000e+01,1.277666666666666657e+02,1.290000000000000000e+02,1.966838975502457387e+01,1.152500000000000000e+02,1.442500000000000000e+02,9.586666666666666003e+01,9.650000000000000000e+01,1.451374827151445679e+01,8.700000000000000000e+01,1.075000000000000000e+02,7.333333333333333037e+00,7.500000000000000000e+00,3.918616535916158217e+00,4.000000000000000000e+00,9.750000000000000000e+00,8.400000000000000355e+00,8.000000000000000000e+00,4.898979485566355430e-01,8.000000000000000000e+00,9.000000000000000000e+00,1.226666666666666750e+01,1.100000000000000000e+01,2.707192067232926824e+00,1.000000000000000000e+01,1.400000000000000000e+01,9.733333333333332504e+00,9.000000000000000000e+00,2.064515008960269515e+00,8.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.813659580548604433e+00,1.650363326072692871e+00,1.010965127431989297e+00,1.185272276401519775e+00,1.994672179222106934e+00,1.005335060675938905e+02,9.948609340190887451e+01,2.949657646579955639e+01,9.075202125310899248e+01,1.125644236803054952e+02,2.143000000000000114e+02,2.140000000000000000e+02,4.001249804748512773e+00,2.112500000000000000e+02,2.160000000000000000e+02,4.642499999999999716e+01,4.650000000000000000e+01,1.000312451187128859e+00,4.600000000000000000e+01,4.718750000000000000e+01
nan,nan,nan,nan,nan,7.056866666666668664e+01,6.968999999999999773e+01,5.384971979706321576e+00,6.703374999999999773e+01,7.363875000000000171e+01,9.650988669436150857e+00,9.679487179487178850e+00,1.519899601868413275e-01,9.543269230769229949e+00,9.744036970781156271e+00,4.011888348341127397e+01,4.060892857142857792e+01,4.432311378037020688e+00,3.769871794871794890e+01,4.274218750000000000e+01,3.095502554554139252e+01,3.139999999999999858e+01,3.336414064425778925e+00,2.910256410256410575e+01,3.289496527777777857e+01,-3.223611992208744725e-01,-3.152880254970235052e-01,8.497538735945356358e-02,-3.637691462879055759e-01,-2.459874797539536029e-01,3.398999999999999773e+02,3.425000000000000000e+02,9.206338396271704028e+00,3.342500000000000000e+02,3.465000000000000000e+02,2.241333333333333258e+02,2.250000000000000000e+02,3.203720059902585149e+01,1.947500000000000000e+02,2.477500000000000000e+02,1.176666666666666750e+01,1.200000000000000000e+01,9.551032521262936559e-01,1.100000000000000000e+01,1.200000000000000000e+01,1.276333333333333400e+02,1.290000000000000000e+02,1.978127621992294038e+01,1.152500000000000000e+02,1.442500000000000000e+02,9.576666666666666572e+01,9.650000000000000000e+01,1.459836368303729337e+01,8.700000000000000000e+01,1.075000000000000000e+02,7.366666666666666252e+00,6.500000000000000000e+00,3.430095560703164015e+00,5.000000000000000000e+00,1.000000000000000000e+01,8.300000000000000711e+00,8.000000000000000000e+00,4.582575694955840495e-01,8.000000000000000000e+00,9.000000000000000000e+00,1.113333333333333286e+01,1.050000000000000000e+01,1.499629583893599349e+00,1.000000000000000000e+01,1.100000000000000000e+01,8.900000000000000355e+00,8.500000000000000000e+00,1.106044001535803956e+00,8.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089458608627319247e+00,1.772134184837341309e+00,1.203932791433697025e+00,1.439683079719543679e+00,2.695849835872650146e+00,1.026229646762212155e+02,1.008747453689575195e+02,3.024183080551050296e+01,9.296018373966217041e+01,1.136455242037772990e+02,2.342666666666666799e+02,2.335000000000000000e+02,7.775745766305776741e+00,2.282500000000000000e+02,2.387500000000000000e+02,6.095555555555555571e+01,6.108333333333333570e+01,1.295957627717629679e+00,6.020833333333333570e+01,6.195833333333333570e+01
nan,nan,nan,nan,nan,6.825700000000000500e+01,6.789749999999999375e+01,8.786508749213190583e+00,6.214750000000000085e+01,7.476125000000000398e+01,9.526182449281643372e+00,9.519480519480520542e+00,1.676261483870924995e-01,9.435091981950712636e+00,9.649286684782609314e+00,3.383776316405922557e+01,3.304470310391363341e+01,5.070863282592436683e+00,3.008673469387755262e+01,3.702224469160768194e+01,2.622336729985292081e+01,2.564288908765653119e+01,3.851427116366262560e+00,2.326020408163265074e+01,2.867682002022244703e+01,-3.106154229696887481e-01,-3.048789975821452614e-01,7.740489647066566004e-02,-3.564053105951264788e-01,-2.459874797539536029e-01,4.903000000000000114e+02,4.935000000000000000e+02,1.731502237942532929e+01,4.802500000000000000e+02,5.020000000000000000e+02,2.254333333333333371e+02,2.195000000000000000e+02,3.625620253449362451e+01,1.997500000000000000e+02,2.415000000000000000e+02,1.183333333333333393e+01,1.200000000000000000e+01,1.185561282918582648e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.259000000000000057e+02,1.290000000000000000e+02,2.181643111663011325e+01,1.110000000000000000e+02,1.442500000000000000e+02,9.453333333333333144e+01,9.650000000000000000e+01,1.608463725284333279e+01,8.400000000000000000e+01,1.075000000000000000e+02,7.099999999999999645e+00,8.000000000000000000e+00,2.467792535850613422e+00,5.250000000000000000e+00,9.000000000000000000e+00,8.099999999999999645e+00,8.000000000000000000e+00,2.999999999999999334e-01,8.000000000000000000e+00,8.000000000000000000e+00,1.043333333333333357e+01,1.000000000000000000e+01,9.195409482755817487e-01,1.000000000000000000e+01,1.075000000000000000e+01,8.366666666666667140e+00,8.000000000000000000e+00,7.063206700139029737e-01,8.000000000000000000e+00,8.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.670759224891662509e+00,2.304020285606384277e+00,1.621920789580235001e+00,1.899330437183380127e+00,2.852552413940429688e+00,1.052937239011128696e+02,1.030607546567916870e+02,3.132447170019471372e+01,9.497932565212249756e+01,1.156389229297637939e+02,2.619666666666666401e+02,2.605000000000000000e+02,1.423255267179979811e+01,2.522500000000000000e+02,2.707500000000000000e+02,6.725416666666666288e+01,6.743750000000000000e+01,1.779069083974974319e+00,6.615625000000000000e+01,6.846875000000000000e+01
nan,nan,nan,nan,nan,6.675849999999999795e+01,6.545500000000001251e+01,9.771320547909581933e+00,5.968750000000000000e+01,7.296249999999999147e+01,9.430238235386408263e+00,9.404737903225806051e+00,1.945091965376078147e-01,9.304629629629630472e+00,9.605528255528257731e+00,2.952227066893679108e+01,2.854946911196910975e+01,4.978617285150340521e+00,2.652416286149162872e+01,3.113541666666666430e+01,2.295069758786633329e+01,2.223986486486486314e+01,3.775851937049774509e+00,2.062480974124809663e+01,2.423437499999999645e+01,-2.992940189308162524e-01,-2.901540644414501435e-01,7.481414484145522403e-02,-3.343247564962411600e-01,-2.459874797539534363e-01,6.264666666666666970e+02,6.290000000000000000e+02,2.791502980275838297e+01,6.065000000000000000e+02,6.447500000000000000e+02,2.255333333333333314e+02,2.235000000000000000e+02,3.209229744900722636e+01,2.097500000000000000e+02,2.367500000000000000e+02,1.173333333333333250e+01,1.200000000000000000e+01,1.062491830033948315e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.219333333333333371e+02,1.270000000000000000e+02,2.372331249120905383e+01,1.022500000000000000e+02,1.417500000000000000e+02,9.153333333333333144e+01,9.500000000000000000e+01,1.747518876070362381e+01,7.675000000000000000e+01,1.057500000000000000e+02,7.500000000000000000e+00,8.000000000000000000e+00,2.952400153547392492e+00,6.000000000000000000e+00,1.000000000000000000e+01,8.066666666666666430e+00,8.000000000000000000e+00,2.494438257849294072e-01,8.000000000000000000e+00,8.000000000000000000e+00,1.023333333333333250e+01,1.000000000000000000e+01,7.608474807008882568e-01,1.000000000000000000e+01,1.000000000000000000e+01,8.199999999999999289e+00,8.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.188764047622680842e+00,3.010604143142700195e+00,1.470628975549547635e+00,2.302693009376525879e+00,3.785124599933624712e+00,1.084824879487355531e+02,1.057604025602340698e+02,3.241201813499564111e+01,9.809480750560760498e+01,1.181542202234268188e+02,2.989333333333333371e+02,2.975000000000000000e+02,2.140394563833708119e+01,2.847500000000000000e+02,3.150000000000000000e+02,7.010666666666665492e+01,7.025000000000000000e+01,2.140394563833708741e+00,6.850000000000000000e+01,7.152499999999999147e+01
nan,nan,nan,nan,nan,6.626933333333333564e+01,6.500749999999999318e+01,1.161717440784213373e+01,6.009749999999999659e+01,7.354000000000000625e+01,9.332170690038489980e+00,9.327380952380952550e+00,1.838463787089811563e-01,9.192405063291138489e+00,9.433229813664596008e+00,2.524221195335423928e+01,2.537060041407867672e+01,4.007096769071996079e+00,2.276789215686274304e+01,2.764918470813921658e+01,1.969572860288707616e+01,1.982349896480331353e+01,3.037831853287416006e+00,1.781944444444444287e+01,2.148318032337627059e+01,-2.791478507218512761e-01,-2.629080334718384426e-01,6.910927175138088796e-02,-3.048803667045767440e-01,-2.239041874102051799e-01,7.415333333333333030e+02,7.475000000000000000e+02,4.231448399254746562e+01,7.112500000000000000e+02,7.642500000000000000e+02,2.065666666666666629e+02,2.030000000000000000e+02,3.613648510239416822e+01,1.780000000000000000e+02,2.357500000000000000e+02,1.193333333333333357e+01,1.200000000000000000e+01,9.637888196533976881e-01,1.100000000000000000e+01,1.300000000000000000e+01,1.160999999999999943e+02,1.255000000000000000e+02,2.856728898583132548e+01,9.150000000000000000e+01,1.410000000000000000e+02,8.726666666666666572e+01,9.400000000000000000e+01,2.099036816150578133e+01,6.875000000000000000e+01,1.050000000000000000e+02,6.666666666666666963e+00,7.000000000000000000e+00,3.418901707988822647e+00,4.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.003333333333333321e+01,1.000000000000000000e+01,1.795054935711501154e-01,1.000000000000000000e+01,1.000000000000000000e+01,8.033333333333333215e+00,8.000000000000000000e+00,1.795054935711501154e-01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.936513201395670514e+00,3.815452337265014648e+00,1.586365349989676155e+00,2.997825205326079878e+00,4.775845348834991455e+00,1.124190011501312227e+02,1.102484911680221558e+02,3.341627452549813881e+01,1.029763754606246948e+02,1.204615095853805542e+02,3.483666666666666742e+02,3.445000000000000000e+02,3.177995524785325188e+01,3.302500000000000000e+02,3.717500000000000000e+02,7.096944444444443434e+01,7.129166666666665719e+01,2.648329603987770842e+00,6.902083333333332860e+01,7.247916666666667140e+01
nan,nan,nan,nan,nan,6.596199999999998909e+01,6.525000000000000000e+01,1.167604196635143765e+01,5.561874999999999858e+01,7.405500000000000682e+01,9.275666237376364975e+00,9.302491694352159612e+00,1.950716424872824539e-01,9.146428571428570464e+00,9.387626262626262985e+00,2.266058527763100727e+01,2.231264775413711732e+01,3.504147480322626240e+00,2.094392523364485470e+01,2.602213855421686617e+01,1.775198012680413484e+01,1.752139479905437369e+01,2.670291680480179064e+00,1.642757009345794472e+01,2.026852409638554420e+01,-2.602891082099028641e-01,-2.459874797539535474e-01,5.460085702074494313e-02,-3.048762593372822960e-01,-2.165430899622891037e-01,8.367333333333333485e+02,8.460000000000000000e+02,5.772170783644187253e+01,7.955000000000000000e+02,8.660000000000000000e+02,1.925666666666666629e+02,1.765000000000000000e+02,3.414838535307668366e+01,1.652500000000000000e+02,2.147500000000000000e+02,1.190000000000000036e+01,1.200000000000000000e+01,9.780933834080808298e-01,1.100000000000000000e+01,1.275000000000000000e+01,1.005999999999999943e+02,1.010000000000000000e+02,3.280203245735442152e+01,7.325000000000000000e+01,1.300000000000000000e+02,7.593333333333333712e+01,7.650000000000000000e+01,2.396376894860702578e+01,5.700000000000000000e+01,9.725000000000000000e+01,6.299999999999999822e+00,6.500000000000000000e+00,3.465544690232690961e+00,3.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.235461084047953406e+00,3.902287721633911133e+00,1.670111670121874781e+00,3.191568613052368164e+00,5.249045491218566895e+00,1.166544622341791779e+02,1.155327073335647583e+02,3.444367905686348053e+01,1.066041024923324727e+02,1.237595999240875244e+02,4.045333333333333599e+02,4.045000000000000000e+02,3.917204218430396168e+01,3.807500000000000000e+02,4.265000000000000000e+02,7.110476190476190084e+01,7.110714285714286120e+01,2.798003013164568120e+00,6.953571428571427759e+01,7.280357142857143060e+01
nan,nan,nan,nan,nan,6.603883333333332928e+01,6.706250000000000000e+01,1.208231591233880842e+01,6.015874999999999773e+01,7.302249999999999375e+01,9.213998253782033743e+00,9.167769730269732520e+00,1.909973630926144195e-01,9.055357142857143771e+00,9.351151780667043667e+00,2.106926534511732640e+01,2.098771929824561511e+01,3.767124298601539412e+00,1.786116933434959364e+01,2.298866247893365866e+01,1.653973069485853031e+01,1.647525653757034192e+01,2.889830427403538682e+00,1.409541730182926855e+01,1.801702543281752611e+01,-2.534183854925327606e-01,-2.459874797539534919e-01,4.544753372258231172e-02,-2.754318695456181576e-01,-2.165430899622891037e-01,9.169666666666666970e+02,9.305000000000000000e+02,7.047528329531961333e+01,8.812500000000000000e+02,9.522500000000000000e+02,1.847666666666666799e+02,1.785000000000000000e+02,3.379021883458124620e+01,1.667500000000000000e+02,2.055000000000000000e+02,1.173333333333333250e+01,1.150000000000000000e+01,9.637888196533973550e-01,1.100000000000000000e+01,1.200000000000000000e+01,9.986666666666666003e+01,1.065000000000000000e+02,3.476946297479377535e+01,6.125000000000000000e+01,1.300000000000000000e+02,7.546666666666666856e+01,8.000000000000000000e+01,2.545156620371764689e+01,4.725000000000000000e+01,9.725000000000000000e+01,7.933333333333333570e+00,7.000000000000000000e+00,3.659993928349547954e+00,6.000000000000000000e+00,1.075000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.644623573621114332e+00,4.282207965850830078e+00,2.146475579822021640e+00,3.758363485336303711e+00,5.067514657974243164e+00,1.212990858078002958e+02,1.205823023319244385e+02,3.532863675040928086e+01,1.105310607552528381e+02,1.290584718585014343e+02,4.635333333333333599e+02,4.620000000000000000e+02,4.373765222576793121e+01,4.377500000000000000e+02,4.875000000000000000e+02,7.102916666666666856e+01,7.112500000000000000e+01,2.733603264110495257e+00,6.953125000000000000e+01,7.264062500000000000e+01
nan,nan,nan,nan,nan,6.642566666666667174e+01,6.862999999999999545e+01,1.388488547145980512e+01,5.493249999999999744e+01,7.444750000000000512e+01,9.169401495779315070e+00,9.145896656534954872e+00,2.124162404965207196e-01,8.981448719838812877e+00,9.343523222060955646e+00,1.986313773106473946e+01,1.902754435107376452e+01,4.073958936744465298e+00,1.655100008949346702e+01,2.298027256834075160e+01,1.562641472560455647e+01,1.500878081729145563e+01,3.128687465884633312e+00,1.304665965634508673e+01,1.797820645263827188e+01,-2.426219266859316048e-01,-2.459874797539534919e-01,3.134141853187089044e-02,-2.660085901228510519e-01,-2.165430899622891037e-01,9.876666666666666288e+02,1.004500000000000000e+03,8.296157075551440130e+01,9.427500000000000000e+02,1.033750000000000000e+03,1.764666666666666686e+02,1.710000000000000000e+02,3.003412873530525928e+01,1.625000000000000000e+02,1.880000000000000000e+02,1.203333333333333321e+01,1.200000000000000000e+01,1.110055053689780857e+00,1.100000000000000000e+01,1.275000000000000000e+01,9.553333333333333144e+01,9.100000000000000000e+01,3.279403739841876586e+01,6.850000000000000000e+01,1.217500000000000000e+02,7.256666666666666288e+01,6.950000000000000000e+01,2.399539307635715346e+01,5.250000000000000000e+01,9.100000000000000000e+01,8.766666666666667496e+00,8.000000000000000000e+00,4.104333752944021363e+00,6.000000000000000000e+00,1.075000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.003333333333333321e+01,1.000000000000000000e+01,1.795054935711500876e-01,1.000000000000000000e+01,1.000000000000000000e+01,8.033333333333333215e+00,8.000000000000000000e+00,1.795054935711500876e-01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.151227728525797467e+00,3.941801428794860840e+00,1.793828693955126230e+00,3.455002129077911377e+00,4.503558516502380371e+00,1.254503135363260924e+02,1.244372282028198242e+02,3.602296317410408477e+01,1.145093100666999817e+02,1.350773077607154846e+02,5.220000000000000000e+02,5.190000000000000000e+02,4.480624956409540971e+01,4.957500000000000000e+02,5.490000000000000000e+02,7.100000000000000000e+01,7.116666666666667140e+01,2.489236086894188738e+00,6.950000000000000000e+01,7.245833333333332860e+01
nan,nan,nan,nan,nan,6.641083333333334338e+01,6.700499999999999545e+01,1.525460051281434026e+01,5.484375000000000000e+01,7.877750000000000341e+01,9.155802206548532496e+00,9.097823229402177247e+00,2.203411482875449467e-01,9.000000000000000000e+00,9.315559440559439963e+00,1.892162875542745226e+01,1.815812334891282376e+01,3.978369620879707025e+00,1.660610188981101842e+01,2.061697746697746680e+01,1.490796089033150729e+01,1.429526519000203244e+01,3.064466514706650990e+00,1.309994000599940023e+01,1.624768842268842306e+01,-2.367330487275986772e-01,-2.459874797539534641e-01,3.199317502399237623e-02,-2.540270600658482425e-01,-2.165430899622891037e-01,1.050466666666666697e+03,1.073000000000000000e+03,9.448482535424523121e+01,9.880000000000000000e+02,1.108000000000000000e+03,1.787666666666666799e+02,1.765000000000000000e+02,3.648715146763614570e+01,1.557500000000000000e+02,1.960000000000000000e+02,1.223333333333333250e+01,1.200000000000000000e+01,1.430229196861662277e+00,1.100000000000000000e+01,1.300000000000000000e+01,8.523333333333333428e+01,8.150000000000000000e+01,2.813738122537742825e+01,6.625000000000000000e+01,1.050000000000000000e+02,6.493333333333333712e+01,6.300000000000000000e+01,2.059924486210329420e+01,5.125000000000000000e+01,7.900000000000000000e+01,1.106666666666666643e+01,1.000000000000000000e+01,4.589359674532190958e+00,8.000000000000000000e+00,1.275000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.196200950940450092e+00,4.012497782707214355e+00,1.684912177220623253e+00,3.562771856784820557e+00,4.655153870582580566e+00,1.296465144872665292e+02,1.282431046962738037e+02,3.665817168420731065e+01,1.195671052932739258e+02,1.392940640449523926e+02,5.806666666666666288e+02,5.805000000000000000e+02,4.634316442463644137e+01,5.482500000000000000e+02,6.060000000000000000e+02,7.096666666666668277e+01,7.097499999999999432e+01,2.317158221231820914e+00,6.970000000000000284e+01,7.258750000000000568e+01
