ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	111.61	9.0	98.605	74.545	-inf	0	0	414	10	367	276	22	8	19	15	0	0	86.25583338737488	200	86.25583338737488	200	0.0	
-inf	127.795	9.0	37.67741935483871	28.903225806451612	-inf	1	169	414	14.0	125.0	95.0	10	8.0	13.0	10.0	0	0	3.0081987380981445	400	89.26403212547302	219	45.25	
-inf	130.79	8.94	34.32	26.4	-inf	2	319	586	14.0	125.0	95.0	8	8.0	13.0	10.0	0	0	1.1442711353302002	600	90.40830326080322	248	58.666666666666664	
-inf	132.865	8.974358974358974	36.41025641025641	27.96153846153846	-inf	3	441	582	14.0	127.0	96.0	8	7.0	9.0	7.0	0	0	1.8634378910064697	800	92.27174115180969	292	63.5	
-inf	146.265	8.698795180722891	31.072289156626507	23.927710843373493	-inf	4	558	593	14.0	127.0	96.0	6	7.0	10.0	8.0	0	0	2.542827606201172	1000	94.81456875801086	342	65.8	
-inf	135.67	8.602150537634408	27.021505376344088	20.849462365591396	-inf	5	665	625	14.0	136.0	103.0	6	7.0	9.0	7.0	0	0	1.659862756729126	1200	96.47443151473999	399	66.75	
-inf	108.355	8.558333333333334	25.725	19.841666666666665	-inf	6	745	585	15.0	136.0	103.0	1	7.0	9.0	7.0	0	0	1.9575400352478027	1400	98.4319715499878	468	66.57142857142857	
-inf	121.905	8.258620689655173	21.301724137931036	16.413793103448278	-inf	7	829	596	14.0	136.0	103.0	13	7.0	9.0	7.0	0	0	2.230686664581299	1600	100.66265821456909	536	66.5	
-inf	137.065	8.2	20.192592592592593	15.6	-inf	8	894	587	12.0	117.0	89.0	13	7.0	9.0	7.0	0	0	2.419389486312866	1800	103.08204770088196	607	66.27777777777777	
-inf	143.665	8.088888888888889	17.437037037037037	13.503703703703703	-inf	9	959	595	13.0	116.0	89.0	12	7.0	9.0	7.0	0	0	1.6100497245788574	2000	104.69209742546082	679	66.05	
-inf	130.155	8.136986301369863	19.061643835616437	14.712328767123287	-inf	10	1013	602	12.0	97.0	74.0	9	7.0	9.0	7.0	0	0	1.3203272819519043	2200	106.01242470741272	745	66.13636363636364	
-inf	111.025	7.909090909090909	15.685314685314685	12.153846153846153	-inf	11	1070	605	12.0	88.0	68.0	16	7.0	9.0	7.0	0	0	1.2259891033172607	2400	107.23841381072998	796	66.83333333333334	
-inf	105.91	7.891025641025641	16.57051282051282	12.788461538461538	-inf	12	1114	595	12.0	115.0	88.0	13	7.0	9.0	7.0	0	0	1.1136136054992676	2600	108.35202741622925	846	67.46153846153845	
-inf	113.52	7.886524822695035	16.69503546099291	12.900709219858156	-inf	13	1173	593	12.0	116.0	89.0	14	7.0	9.0	7.0	0	0	0.8030929565429688	2800	109.15512037277222	890	68.21428571428572	
-inf	108.485	7.885135135135135	16.70945945945946	12.905405405405405	-inf	14	1225	504	13.0	145.0	111.0	5	7.0	9.0	7.0	0	0	0.5617895126342773	3000	109.7169098854065	924	69.2	
-inf	119.585	7.89937106918239	16.17610062893082	12.484276729559749	-inf	15	1266	510	12.0	116.0	89.0	17	7.0	9.0	7.0	0	0	0.7094035148620605	3200	110.42631340026855	959	70.03125	
-inf	111.825	7.806451612903226	14.716129032258065	11.393548387096773	-inf	16	1311	510	12.0	78.0	60.0	14	7.0	9.0	7.0	0	0	1.1065831184387207	3400	111.53289651870728	1004	70.47058823529412	
