ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	84.27	6.8	78.345	56.315	-2.8952302409056783	0	0	126	10	114	84	54	5	53	36	0	0	9.975865840911865	200	9.975865840911865	200	0.0	
-inf	83.67	7.133333333333334	77.68888888888888	55.71111111111111	-2.8952302409056783	1	20	175	15.0	112.0	82.0	34	5.0	53.0	36.0	0	0	1.2170279026031494	400	11.192893743515015	368	8.0	
-inf	84.12	7.084848484848485	77.69090909090909	55.63636363636363	-2.8952302409056783	2	55	195	14.0	112.0	82.0	26	5.0	53.0	36.0	0	0	1.4323580265045166	600	12.625251770019531	505	15.833333333333329	
-inf	89.525	7.116666666666666	78.02777777777777	55.87222222222222	-2.8952302409056783	3	75	195	12.0	114.0	84.0	30	5.0	53.0	36.0	0	0	2.068960189819336	800	14.694211959838867	646	19.25	
-inf	94.485	7.211640211640212	78.73544973544973	56.476190476190474	-2.8952302409056783	4	86	193	13.0	125.0	92.0	28	5.0	53.0	36.0	0	0	2.0742039680480957	1000	16.768415927886963	788	21.200000000000003	
-inf	96.63	7.248677248677248	79.16402116402116	56.83068783068783	-2.8952302409056783	5	97	202	13.0	123.0	90.0	30	5.0	53.0	36.0	0	0	2.18578839302063	1200	18.954204320907593	942	21.5	
-inf	100.155	7.350785340314136	79.47120418848168	57.00523560209424	-2.8952302409056783	6	106	178	13.0	121.0	89.0	29	5.0	53.0	36.0	0	0	1.770430564880371	1400	20.724634885787964	1087	22.357142857142847	
-inf	107.755	7.481675392670157	79.31937172774869	56.853403141361255	-2.8952302409056783	7	115	207	13.0	108.0	80.0	36	5.0	53.0	36.0	0	0	1.5786993503570557	1600	22.30333423614502	1233	22.9375	
-inf	110.895	7.518518518518518	79.29629629629629	56.91534391534392	-2.8952302409056783	8	126	240	14.0	114.0	84.0	35	5.0	53.0	36.0	0	0	1.8217761516571045	1800	24.125110387802124	1390	22.77777777777777	
-inf	116.275	7.398963730569948	78.25388601036269	56.19170984455958	-2.8952302409056783	9	133	234	17.0	112.0	82.0	26	5.0	53.0	36.0	0	0	1.657871961593628	2000	25.782982349395752	1553	22.35000000000001	
-inf	123.68	7.664948453608248	79.08762886597938	56.77319587628866	-2.8952302409056783	10	139	238	17.0	112.0	82.0	39	5.0	53.0	36.0	0	0	1.718888759613037	2200	27.50187110900879	1716	22.0	
-inf	122.745	7.823834196891192	79.7720207253886	57.36787564766839	-2.8952302409056783	11	146	235	17.0	112.0	82.0	9	5.0	53.0	36.0	0	0	1.9332225322723389	2400	29.435093641281128	1868	22.16666666666667	
-inf	128.165	7.875	80.390625	57.807291666666664	-2.8952302409056783	12	154	232	17.0	116.0	84.0	37	5.0	53.0	36.0	0	0	1.9227850437164307	2600	31.35787868499756	2023	22.192307692307693	
-inf	130.155	7.737113402061856	80.54123711340206	57.91237113402062	-2.8952302409056783	13	160	256	16.0	117.0	86.0	32	5.0	53.0	36.0	0	0	1.812195062637329	2800	33.17007374763489	2188	21.857142857142847	
-inf	124.725	7.609375	79.84375	57.317708333333336	-2.8952302409056783	14	168	260	16.0	115.0	84.0	33	5.0	53.0	36.0	0	0	1.6621789932250977	3000	34.832252740859985	2346	21.799999999999997	
-inf	124.025	7.424083769633508	78.95811518324608	56.57068062827225	-2.8952302409056783	15	177	265	16.0	115.0	84.0	24	5.0	53.0	36.0	0	0	1.7894458770751953	3200	36.62169861793518	2507	21.65625	
-inf	126.76	7.420765027322404	79.37704918032787	56.923497267759565	-2.8952302409056783	16	194	300	14.0	123.0	91.0	27	5.0	53.0	36.0	0	0	1.4270825386047363	3400	38.04878115653992	2648	22.117647058823536	
-inf	131.71	7.394736842105263	79.0421052631579	56.642105263157895	-2.8952302409056783	17	204	300	13.0	106.0	78.0	25	5.0	53.0	36.0	0	0	1.4321606159210205	3600	39.48094177246094	2798	22.27777777777777	
-inf	141.36	7.164948453608248	78.54639175257732	56.2680412371134	-2.8952302409056783	18	210	308	14.0	117.0	86.0	27	5.0	53.0	36.0	0	0	1.4635214805603027	3800	40.94446325302124	2953	22.28947368421052	
-inf	130.935	7.195767195767195	77.6137566137566	55.55555555555556	-2.8952302409056783	19	221	321	14.0	117.0	86.0	23	5.0	53.0	36.0	0	0	1.355079174041748	4000	42.29954242706299	3103	22.424999999999997	
-inf	135.24	7.44559585492228	79.39378238341969	56.870466321243526	-2.8952302409056783	20	228	358	14.0	116.0	85.0	45	5.0	53.0	36.0	0	0	1.9295954704284668	4200	44.229137897491455	3269	22.16666666666667	
