ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	87.185	9.5	81.995	58.295	-11.215918731541333	0	0	160	10	154	107	33	9	28	22	0	0	14.697702884674072	200	14.697702884674072	200	0.0	
-inf	91.75	10.325	86.525	61.575	-11.215918731541333	1	160	184	15.0	168.0	120.0	14	9.0	28.0	22.0	0	0	0.8108820915222168	400	15.508584976196289	229	42.75	
-inf	90.275	10.297297297297296	81.5945945945946	58.027027027027025	-11.215918731541333	2	323	200	17.0	138.0	96.0	17	9.0	35.0	26.0	0	0	0.1840829849243164	600	15.692667961120605	253	57.83333333333333	
-inf	92.27	10.185185185185185	76.5925925925926	54.7962962962963	-11.215918731541333	3	469	228	14.0	142.0	99.0	4	9.0	34.0	26.0	0	0	0.28511619567871094	800	15.977784156799316	291	63.625	
-inf	99.13	10.44927536231884	80.47826086956522	57.43478260869565	-11.215918731541333	4	600	248	14.0	133.0	93.0	3	9.0	43.0	32.0	0	0	0.5214047431945801	1000	16.499188899993896	331	66.9	
-inf	101.665	10.405797101449275	82.72463768115942	58.85507246376812	-11.215918731541333	5	731	216	14.0	142.0	100.0	4	9.0	38.0	29.0	0	0	0.6201522350311279	1200	17.119341135025024	379	68.41666666666666	
-inf	106.975	10.52	86.18666666666667	61.21333333333333	-11.215918731541333	6	856	233	14.0	143.0	101.0	15	9.0	42.0	32.0	0	0	0.7107956409454346	1400	17.83013677597046	431	69.21428571428571	
-inf	110.125	10.642857142857142	88.91666666666667	62.976190476190474	-11.215918731541333	7	972	279	17.0	200.0	141.0	11	9.0	44.0	33.0	0	0	1.7870521545410156	1600	19.617188930511475	483	69.8125	
-inf	117.095	10.43298969072165	87.3298969072165	61.855670103092784	-11.215918731541333	8	1075	279	15.0	166.0	116.0	16	9.0	46.0	35.0	0	0	1.1010091304779053	1800	20.71819806098938	544	69.77777777777777	
-inf	121.785	10.574257425742575	90.05940594059406	63.53465346534654	-11.215918731541333	9	1174	285	16.0	269.0	188.0	12	9.0	39.0	29.0	0	0	0.8823318481445312	2000	21.60052990913391	615	69.25	
-inf	126.235	10.63953488372093	86.79069767441861	61.27906976744186	-7.6808020350858985	10	1288	313	15.0	220.0	152.0	19	9.0	44.0	33.0	0	0	1.0843830108642578	2200	22.68491291999817	671	69.5	
-inf	123.1	10.588235294117647	83.65882352941176	59.1764705882353	-7.6808020350858985	11	1403	334	17.0	201.0	139.0	16	9.0	39.0	29.0	0	0	1.704355001449585	2400	24.389267921447754	724	69.83333333333333	
-inf	120.645	10.478260869565217	84.29347826086956	59.28260869565217	-7.6808020350858985	12	1511	313	19.0	201.0	139.0	18	9.0	38.0	29.0	0	0	0.5614211559295654	2600	24.95068907737732	777	70.11538461538461	
-inf	118.59	10.457446808510639	83.01063829787235	58.41489361702128	-7.6808020350858985	13	1617	325	19.0	163.0	117.0	15	9.0	41.0	30.0	0	0	1.2176687717437744	2800	26.168357849121094	839	70.03571428571428	
-inf	119.21	10.417582417582418	80.83516483516483	57.065934065934066	-7.6808020350858985	14	1726	331	15.0	151.0	105.0	18	9.0	42.0	31.0	0	0	1.2222368717193604	3000	27.390594720840454	905	69.83333333333333	
-inf	118.965	10.35064935064935	79.79220779220779	56.45454545454545	-7.6808020350858985	15	1849	326	14.0	155.0	110.0	14	9.0	34.0	26.0	0	0	0.8515481948852539	3200	28.242142915725708	958	70.0625	
-inf	113.35	10.1125	77.125	54.8375	-7.345399313574416	16	1969	329	15.0	186.0	130.0	21	9.0	34.0	26.0	0	0	1.1450200080871582	3400	29.387162923812866	1006	70.41176470588235	
-inf	110.835	10.654320987654321	86.0	60.7037037037037	-7.345399313574416	17	2088	343	18.0	256.0	183.0	3	9.0	34.0	26.0	0	0	0.8090810775756836	3600	30.19624400138855	1057	70.63888888888889	
-inf	108.64	10.344444444444445	79.22222222222223	56.03333333333333	-7.345399313574416	18	2198	343	16.0	219.0	152.0	15	9.0	35.0	26.0	0	0	1.7166037559509277	3800	31.912847757339478	1121	70.5	
-inf	97.505	10.103896103896103	75.81818181818181	53.63636363636363	-7.345399313574416	19	2321	343	15.0	219.0	152.0	9	9.0	49.0	35.0	0	0	1.6270411014556885	4000	33.539888858795166	1173	70.675	
-inf	98.0	10.2	77.70666666666666	54.906666666666666	-7.345399313574416	20	2446	402	20.0	426.0	294.0	12	9.0	46.0	33.0	0	0	0.49181699752807617	4200	34.03170585632324	1222	70.9047619047619	
-inf	103.445	10.123456790123457	77.38271604938272	54.80246913580247	-7.345399313574416	21	2565	378	20.0	426.0	294.0	14	9.0	38.0	29.0	0	0	2.027294874191284	4400	36.059000730514526	1273	71.06818181818181	
-inf	106.425	10.119565217391305	76.8695652173913	54.53260869565217	-7.345399313574416	22	2673	471	20.0	426.0	294.0	4	9.0	32.0	25.0	0	0	1.7276971340179443	4600	37.78669786453247	1331	71.06521739130434	
-inf	93.285	10.055555555555555	78.88888888888889	56.05555555555556	-7.345399313574416	23	2783	505	20.0	426.0	294.0	8	9.0	32.0	24.0	0	0	2.1358840465545654	4800	39.922581911087036	1385	71.14583333333334	
