# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,3.288155172413793537e+01,3.291499999999999915e+01,6.027839200087909965e-01,3.259000000000000341e+01,3.345000000000000284e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,2.990896551724138064e+01,2.994999999999999929e+01,6.057744819228277899e-01,2.955499999999999972e+01,3.044999999999999929e+01,2.208689655172413779e+01,2.210999999999999943e+01,3.984526402721324523e-01,2.188500000000000156e+01,2.246000000000000085e+01,-1.215335469882598574e+02,-2.663878979066124586e+01,1.987354501583045021e+02,-4.575599862021939401e+01,-1.961384893483604586e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.255172413793103203e+01,7.200000000000000000e+01,3.057903348606258120e+00,7.000000000000000000e+01,7.300000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.000000000000000000e+01,6.900000000000000000e+01,3.474041668898256052e+00,6.800000000000000000e+01,7.100000000000000000e+01,4.858620689655172242e+01,4.800000000000000000e+01,2.042939757737741058e+00,4.700000000000000000e+01,4.900000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.870619717137567051e+01,8.485141992568969727e+00,2.116873555735853785e+01,7.242558956146240234e+00,9.941565036773681641e+00,1.870619717137567051e+01,8.485141992568969727e+00,2.116873555735853785e+01,7.242558956146240234e+00,9.941565036773681641e+00,1.979310344827586334e+02,1.980000000000000000e+02,1.720686199982709219e+00,1.970000000000000000e+02,1.990000000000000000e+02,1.034482758620689724e+00,1.000000000000000000e+00,8.603430999913550536e-01,5.000000000000000000e-01,1.500000000000000000e+00
nan,nan,nan,nan,nan,3.217413793103448683e+01,3.256499999999999773e+01,1.841405979401345316e+00,3.080999999999999872e+01,3.334000000000000341e+01,9.458832469563557055e+00,9.459016393442624349e+00,9.897308685922739935e-02,9.394736842105263719e+00,9.522727272727271597e+00,1.975050009138338680e+01,1.965789473684210265e+01,1.380331686858243367e+00,1.891176470588235148e+01,2.072857142857142776e+01,1.485116041733925663e+01,1.482352941176470829e+01,9.674102117522956901e-01,1.413749999999999929e+01,1.558441558441558428e+01,-1.125073993235012040e+02,-2.360931431853720852e+01,1.916245474594674079e+02,-4.194464256485275655e+01,-1.984279017425164682e+01,1.244137931034482705e+02,1.240000000000000000e+02,8.778960905362518830e+00,1.200000000000000000e+02,1.290000000000000000e+02,8.365517241379311031e+01,8.100000000000000000e+01,8.154862573395282865e+00,7.900000000000000000e+01,8.900000000000000000e+01,1.251724137931034520e+01,1.200000000000000000e+01,8.558395617924725585e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.800000000000000000e+01,6.500000000000000000e+01,1.265456166899836887e+01,5.900000000000000000e+01,7.400000000000000000e+01,4.875862068965517437e+01,4.700000000000000000e+01,8.861599343520850880e+00,4.300000000000000000e+01,5.300000000000000000e+01,4.137931034482758896e+00,4.000000000000000000e+00,1.655172413793103425e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.021532338241050830e-01,1.439509391784667969e-01,3.870267818155461170e-01,9.830808639526360249e-02,3.030850887298583984e-01,1.900835040519977426e+01,8.621394872665405273e+00,2.146173472065038013e+01,7.502138137817382812e+00,1.023624014854431152e+01,2.568275862068965694e+02,2.570000000000000000e+02,8.796821391127362944e+00,2.510000000000000000e+02,2.600000000000000000e+02,3.579310344827586476e+01,3.575000000000000000e+01,2.199205347781840736e+00,3.500000000000000000e+01,3.725000000000000711e+01
nan,nan,nan,nan,nan,2.635431034482758861e+01,2.653999999999999915e+01,1.882929084742398729e+00,2.458999999999999986e+01,2.771000000000000085e+01,9.499789953696277323e+00,9.490384615384616751e+00,7.572754723461311288e-02,9.444444444444444642e+00,9.544642857142857650e+00,1.927555469259799992e+01,1.911009174311926273e+01,1.101289840065946102e+00,1.850000000000000000e+01,2.028037383177570163e+01,1.445243015506042639e+01,1.435869565217391219e+01,7.685161955993966565e-01,1.389682539682539542e+01,1.512871287128712794e+01,-1.147815583730021700e+02,-2.663878979066124586e+01,1.836215121288858541e+02,-7.212484298606773336e+01,-2.007173141366725133e+01,2.190344827586206975e+02,2.170000000000000000e+02,1.525299915928506778e+01,2.100000000000000000e+02,2.280000000000000000e+02,8.200000000000000000e+01,8.000000000000000000e+01,9.005745292637476140e+00,7.600000000000000000e+01,8.900000000000000000e+01,1.251724137931034520e+01,1.200000000000000000e+01,6.757213083539799214e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.575862068965517437e+01,6.100000000000000000e+01,1.818042746816172084e+01,5.300000000000000000e+01,7.400000000000000000e+01,4.693103448275861922e+01,4.400000000000000000e+01,1.267887473110633856e+01,3.900000000000000000e+01,5.300000000000000000e+01,3.448275862068965303e+00,3.000000000000000000e+00,1.354079580418749318e+00,2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.358081751856310748e-01,1.774289608001708984e-01,1.550631835352407617e-01,1.208691596984863004e-01,2.980072498321533203e-01,1.924415858038540605e+01,8.950688123703002930e+00,2.155772575717464790e+01,7.630315065383911133e+00,1.034531116485595525e+01,3.289655172413793025e+02,3.290000000000000000e+02,1.339707317140753595e+01,3.200000000000000000e+02,3.340000000000000000e+02,4.517241379310344485e+01,4.516666666666666430e+01,2.232845528567922511e+00,4.433333333333333570e+01,4.666666666666666430e+01
nan,nan,nan,nan,nan,2.542896551724138021e+01,2.505000000000000071e+01,2.005358932233031410e+00,2.414499999999999957e+01,2.656500000000000128e+01,9.539980157724322396e+00,9.550724637681160090e+00,9.454910373386618549e-02,9.473684210526316818e+00,9.610687022900764376e+00,1.929395511040251421e+01,1.903968253968254132e+01,1.319231361441492556e+00,1.840909090909091006e+01,2.002752293577981746e+01,1.443253453480178194e+01,1.429323308270676840e+01,9.215140915228468010e-01,1.384545454545454568e+01,1.494827586206896619e+01,-1.145704925609786216e+02,-2.663878979066124586e+01,1.837291810552277695e+02,-7.212484298606773336e+01,-1.963107662257917241e+01,2.944137931034482563e+02,2.930000000000000000e+02,2.176443990166197295e+01,2.800000000000000000e+02,3.090000000000000000e+02,7.772413793103447688e+01,7.600000000000000000e+01,1.150381211696167938e+01,6.800000000000000000e+01,8.200000000000000000e+01,1.282758620689655160e+01,1.300000000000000000e+01,1.084974670520846285e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.386206896551723844e+01,6.200000000000000000e+01,2.000297243072162345e+01,5.100000000000000000e+01,7.300000000000000000e+01,4.520689655172413524e+01,4.200000000000000000e+01,1.400339690401466264e+01,3.600000000000000000e+01,5.100000000000000000e+01,4.034482758620689502e+00,3.000000000000000000e+00,1.691413581852513337e+00,3.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.657675578676421124e-01,2.147960662841796875e-01,1.643995425884525463e-01,1.593399047851561945e-01,2.815990447998046875e-01,1.950992613825304645e+01,9.168661117553712714e+00,2.166190677126025577e+01,7.726954936981201172e+00,1.056010723114013672e+01,4.124827586206896513e+02,4.120000000000000000e+02,1.771736084039134340e+01,4.040000000000000000e+02,4.260000000000000000e+02,4.843965517241379359e+01,4.850000000000000000e+01,2.214670105048917037e+00,4.675000000000000000e+01,4.950000000000000000e+01
nan,nan,nan,nan,nan,2.596034482758620499e+01,2.548999999999999844e+01,2.472101901647344668e+00,2.428000000000000114e+01,2.727499999999999858e+01,9.547114095241363785e+00,9.538461538461538325e+00,1.321053146907023579e-01,9.434782608695652328e+00,9.656000000000000583e+00,1.919484248210738642e+01,1.928671328671328666e+01,1.413069048076430967e+00,1.802898550724637516e+01,2.025600000000000023e+01,1.434731751022562385e+01,1.435245901639344446e+01,9.605891754684161565e-01,1.358695652173913082e+01,1.496721311475410054e+01,-1.105425905225400243e+02,-2.663878979066124586e+01,1.837064045829232839e+02,-6.037747020337456405e+01,-1.913063067185071020e+01,3.607241379310344769e+02,3.600000000000000000e+02,2.652506498639916543e+01,3.410000000000000000e+02,3.790000000000000000e+02,7.272413793103447688e+01,7.200000000000000000e+01,1.263519046354033115e+01,6.500000000000000000e+01,7.700000000000000000e+01,1.279310344827586121e+01,1.300000000000000000e+01,1.214263231838552226e+00,1.200000000000000000e+01,1.400000000000000000e+01,5.996551724137930961e+01,5.800000000000000000e+01,1.438984977185652525e+01,4.900000000000000000e+01,6.900000000000000000e+01,4.213793103448276156e+01,4.000000000000000000e+01,9.701489888888680468e+00,3.500000000000000000e+01,4.700000000000000000e+01,4.551724137931034697e+00,4.000000000000000000e+00,1.975473874124483276e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.677697181701660156e-01,2.928221225738524836e-01,3.190001502283871804e-01,2.088129520416258933e-01,4.596722126007080078e-01,1.987769585642321246e+01,9.529716253280639648e+00,2.184236271552340725e+01,7.926889896392822266e+00,1.070264029502868830e+01,5.023793103448275588e+02,5.050000000000000000e+02,2.315377945331283271e+01,4.850000000000000000e+02,5.170000000000000000e+02,4.976206896551723702e+01,4.950000000000000000e+01,2.315377945331284160e+00,4.829999999999999716e+01,5.150000000000000000e+01
nan,nan,nan,nan,nan,2.750586206896551644e+01,2.753500000000000014e+01,2.841923847218434052e+00,2.517500000000000071e+01,2.951000000000000156e+01,9.582362241094791955e+00,9.595744680851064246e+00,1.631342631335177540e-01,9.447552447552448385e+00,9.641025641025640525e+00,1.950010887173748486e+01,1.931060606060606233e+01,1.524848129632777383e+00,1.823529411764705443e+01,2.005960264900662082e+01,1.454659623609334673e+01,1.434042553191489411e+01,1.048864475887354875e+00,1.369934640522875569e+01,1.486092715231787942e+01,-1.095570102886364197e+02,-2.658880261272125267e+01,1.842228210967763005e+02,-6.037747020337456405e+01,-1.726622745449930818e+01,4.224482758620689538e+02,4.170000000000000000e+02,3.035603241406722930e+01,4.040000000000000000e+02,4.440000000000000000e+02,7.468965517241379359e+01,7.400000000000000000e+01,1.500368563519359277e+01,6.600000000000000000e+01,8.300000000000000000e+01,1.293103448275862100e+01,1.300000000000000000e+01,7.395727789492144710e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.262068965517241281e+01,5.900000000000000000e+01,1.533176507170752778e+01,5.000000000000000000e+01,7.200000000000000000e+01,4.393103448275861922e+01,4.100000000000000000e+01,1.088159165108119275e+01,3.600000000000000000e+01,5.100000000000000000e+01,4.448275862068965303e+00,4.000000000000000000e+00,1.957940629872881644e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.023390276678677435e-01,2.718131542205809992e-01,1.797503271507075173e-01,1.793351173400878906e-01,3.632869720458983820e-01,2.018003488409108215e+01,9.700575351715087891e+00,2.194217273204936802e+01,8.135917186737060547e+00,1.096455931663513184e+01,5.977241379310345337e+02,6.020000000000000000e+02,2.849185794370776392e+01,5.730000000000000000e+02,6.110000000000000000e+02,5.018965517241378649e+01,4.983333333333332860e+01,2.374321495308980179e+00,4.908333333333333570e+01,5.225000000000000000e+01
nan,nan,nan,nan,nan,2.832637931034481937e+01,2.821499999999999986e+01,2.890131811977858955e+00,2.603000000000000114e+01,3.010999999999999943e+01,9.596302999808223433e+00,9.533834586466163330e+00,1.692094904210307005e-01,9.506666666666665932e+00,9.705882352941175739e+00,1.956672144715023620e+01,1.923571428571428399e+01,1.705782896741671273e+00,1.831944444444444287e+01,2.049685534591194980e+01,1.459543623598959883e+01,1.430000000000000071e+01,1.179676196464409577e+00,1.372222222222221966e+01,1.520754716981132049e+01,-1.095458264547662566e+02,-2.658880261272125267e+01,1.842283606795667481e+02,-6.037747020337456405e+01,-1.716557294966787239e+01,4.808965517241379075e+02,4.800000000000000000e+02,3.262677642418158541e+01,4.650000000000000000e+02,5.040000000000000000e+02,7.489655172413793593e+01,7.600000000000000000e+01,1.290908481915020545e+01,6.900000000000000000e+01,8.200000000000000000e+01,1.268965517241379359e+01,1.300000000000000000e+01,8.347392025455314668e-01,1.200000000000000000e+01,1.300000000000000000e+01,5.837931034482758719e+01,5.700000000000000000e+01,1.235512958696033436e+01,5.000000000000000000e+01,6.500000000000000000e+01,4.141379310344827758e+01,4.000000000000000000e+01,8.438488348772320791e+00,3.600000000000000000e+01,4.500000000000000000e+01,5.620689655172413701e+00,6.000000000000000000e+00,1.972462020148288753e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.484825019178719452e-01,3.029401302337645929e-01,1.860489094329507986e-01,1.904797554016113004e-01,4.426331520080565851e-01,2.052851738600895359e+01,1.030163693428039551e+01,2.200700301958399763e+01,8.326396942138671875e+00,1.110772919654846191e+01,6.951034482758620925e+02,7.010000000000000000e+02,3.349456448706803968e+01,6.680000000000000000e+02,7.140000000000000000e+02,5.034975369458128824e+01,4.992857142857143060e+01,2.392468891933431152e+00,4.900000000000000000e+01,5.228571428571428470e+01
nan,nan,nan,nan,nan,3.002103448275862263e+01,3.001500000000000057e+01,3.427742641958493763e+00,2.737500000000000000e+01,3.176000000000000156e+01,9.646176652021930309e+00,9.613138686131387445e+00,1.454591526765683651e-01,9.550387596899224008e+00,9.723404255319149314e+00,2.001730501310929355e+01,1.952413793103448114e+01,1.569454203646257096e+00,1.894366197183098421e+01,2.050694444444444287e+01,1.491109199304050215e+01,1.453793103448275836e+01,1.094700357012769354e+00,1.415492957746478808e+01,1.531944444444444464e+01,-1.079951589947437895e+02,-2.658880261272125267e+01,1.844824852167580218e+02,-5.612513934127145632e+01,-1.596655839577501368e+01,5.406896551724138362e+02,5.410000000000000000e+02,3.738808905693589679e+01,5.170000000000000000e+02,5.690000000000000000e+02,7.937931034482758719e+01,8.000000000000000000e+01,1.294128329484673401e+01,6.700000000000000000e+01,9.100000000000000000e+01,1.282758620689655160e+01,1.300000000000000000e+01,1.019430724075481631e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.000000000000000000e+01,5.700000000000000000e+01,1.457678835068581336e+01,5.100000000000000000e+01,6.500000000000000000e+01,4.224137931034482563e+01,3.900000000000000000e+01,9.583229505374237789e+00,3.700000000000000000e+01,4.500000000000000000e+01,5.068965517241379004e+00,5.000000000000000000e+00,1.680127960700666501e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.278202763919172424e-01,2.739360332489013117e-01,2.202005074063893009e-01,2.187168598175047995e-01,3.982017040252684992e-01,2.085633766240087184e+01,1.044924306869506836e+01,2.213688637117542513e+01,8.545113801956176758e+00,1.149047017097473145e+01,7.902758620689654663e+02,7.940000000000000000e+02,3.561760176220909102e+01,7.590000000000000000e+02,8.150000000000000000e+02,5.060775862068965836e+01,5.037500000000000000e+01,2.226100110138068189e+00,4.906250000000000000e+01,5.256250000000000000e+01
nan,nan,nan,nan,nan,3.053879310344827758e+01,3.007499999999999929e+01,4.042519838769995211e+00,2.823000000000000043e+01,3.185500000000000043e+01,9.671360912835414325e+00,9.604477611940300363e+00,2.088682966273305297e-01,9.531914893617020823e+00,9.722972972972973693e+00,2.039016046810123584e+01,1.965467625899280435e+01,2.387179517912906057e+00,1.900689655172413950e+01,2.050675675675676146e+01,1.516421534266771864e+01,1.464429530201342367e+01,1.667215279425666052e+00,1.422627737226277134e+01,1.514864864864864913e+01,-1.076587343249398572e+02,-2.658880261272125267e+01,1.846523870242775729e+02,-5.612513934127145632e+01,-1.362058613222829884e+01,5.985862068965517437e+02,5.980000000000000000e+02,4.108906830153524226e+01,5.710000000000000000e+02,6.290000000000000000e+02,8.006896551724138078e+01,7.800000000000000000e+01,1.521100108810262519e+01,6.900000000000000000e+01,8.700000000000000000e+01,1.344827586206896619e+01,1.300000000000000000e+01,1.132169321336689904e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.182758620689655515e+01,5.900000000000000000e+01,1.458641069393781819e+01,5.300000000000000000e+01,7.500000000000000000e+01,4.351724137931034164e+01,4.100000000000000000e+01,1.013570231190365689e+01,3.700000000000000000e+01,5.200000000000000000e+01,5.758620689655172598e+00,6.000000000000000000e+00,1.611492613179023925e+00,5.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.906812799387964441e-01,2.635052204132080078e-01,1.274166193449561280e-01,2.144267559051513117e-01,3.045301437377929132e-01,2.114701894233966684e+01,1.083192276954650879e+01,2.221615150316758047e+01,8.771774053573608398e+00,1.179138898849487127e+01,8.871379310344827900e+02,8.940000000000000000e+02,3.848844353016310293e+01,8.570000000000000000e+02,9.120000000000000000e+02,5.071455938697317123e+01,5.033333333333333570e+01,2.138246862786839397e+00,4.933333333333332860e+01,5.238888888888889284e+01
nan,nan,nan,nan,nan,3.199344827586206463e+01,3.095499999999999829e+01,5.055260848593731815e+00,2.962000000000000099e+01,3.289000000000000057e+01,9.713340893770904927e+00,9.684210526315789380e+00,2.315060577101697159e-01,9.577464788732394041e+00,9.744966442953019836e+00,2.085780349330705263e+01,2.002142857142857224e+01,2.791128588066230876e+00,1.911971830985915588e+01,2.133333333333333215e+01,1.548318487958204059e+01,1.482857142857142918e+01,1.955026867402828161e+00,1.426582278481012622e+01,1.579166666666666607e+01,-9.666002019801605627e+01,-2.360931431853720852e+01,1.802074572563508923e+02,-3.432193045411948162e+01,-1.259781148519511973e+01,6.550689655172413950e+02,6.580000000000000000e+02,4.337958445174074740e+01,6.300000000000000000e+02,6.950000000000000000e+02,8.103448275862068328e+01,8.200000000000000000e+01,1.438026127675132848e+01,6.900000000000000000e+01,8.900000000000000000e+01,1.331034482758620641e+01,1.300000000000000000e+01,9.136304344477086392e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.368965517241379359e+01,6.300000000000000000e+01,1.538271185516471107e+01,5.100000000000000000e+01,7.100000000000000000e+01,4.475862068965517437e+01,4.500000000000000000e+01,1.038452154664216565e+01,3.700000000000000000e+01,5.000000000000000000e+01,6.137931034482758896e+00,7.000000000000000000e+00,1.888698474155745322e+00,5.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.813246233709927435e-01,2.812538146972656250e-01,6.552351446492564735e-01,2.180929183959960938e-01,3.779292106628417969e-01,2.162834356571065797e+01,1.113426184654235840e+01,2.263076431595209570e+01,8.915345907211303711e+00,1.216931819915771662e+01,9.828965517241379075e+02,9.890000000000000000e+02,4.060265392004286866e+01,9.520000000000000000e+02,1.011000000000000000e+03,5.085517241379311315e+01,5.054999999999999716e+01,2.030132696002143522e+00,4.945000000000000284e+01,5.240000000000000568e+01
