ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	34.61333333333334	9.5	31.773333333333333	23.253333333333334	-inf	0	0	78	10	76	52	13	9	11	9	0	0	102.69993305206299	150	102.69993305206299	149	0.6666666666666714	
-inf	30.426666666666666	9.492307692307692	18.861538461538462	14.076923076923077	-184.26933266065464	1	85	91	11.0	59.0	43.0	7	9.0	11.0	9.0	0	0	1.0061159133911133	300	103.7060489654541	199	33.66666666666667	
-inf	25.226666666666667	9.536585365853659	18.20731707317073	13.597560975609756	-184.26933266065464	2	153	77	12.0	45.0	32.0	1	9.0	11.0	9.0	0	0	0.24697017669677734	450	103.95301914215088	252	43.99999999999999	
-inf	23.38	9.54368932038835	18.563106796116504	13.883495145631068	-184.26933266065464	3	200	77	11.0	45.0	32.0	4	9.0	11.0	9.0	0	0	0.7458889484405518	600	104.69890809059143	315	47.5	
-inf	24.733333333333334	9.601941747572816	19.679611650485437	14.601941747572816	-184.26933266065464	4	247	75	13.0	50.0	34.0	7	9.0	11.0	9.0	0	0	0.9183118343353271	750	105.61721992492676	381	49.2	
-inf	25.76	9.574257425742575	19.356435643564357	14.415841584158416	-184.26933266065464	5	296	77	12.0	59.0	40.0	6	9.0	11.0	9.0	0	0	0.6306610107421875	900	106.24788093566895	444	50.666666666666664	
-inf	26.373333333333335	9.852941176470589	20.705882352941178	15.42156862745098	-184.26933266065464	6	344	76	14.0	72.0	51.0	3	9.0	11.0	9.0	0	0	0.9031798839569092	1050	107.15106081962585	501	52.285714285714285	
-inf	28.846666666666668	9.882352941176471	22.352941176470587	16.53921568627451	-184.26933266065464	7	392	75	13.0	49.0	35.0	7	9.0	11.0	9.0	0	0	0.8149030208587646	1200	107.96596384048462	558	53.5	
-inf	29.413333333333334	9.86	23.01	17.02	-184.26933266065464	8	442	74	13.0	54.0	38.0	2	9.0	11.0	9.0	0	0	0.5584771633148193	1350	108.52444100379944	617	54.2962962962963	
-inf	30.62	10.02	25.5	18.68	-136.10779060668253	9	492	83	12.0	50.0	35.0	4	9.0	11.0	9.0	0	0	1.2345249652862549	1500	109.7589659690857	671	55.266666666666666	
-inf	32.78	10.305882352941177	28.623529411764707	20.741176470588236	-98.25229355567201	10	557	63	13.0	60.0	42.0	5	9.0	11.0	9.0	0	0	0.6655430793762207	1650	110.42450904846191	718	56.484848484848484	
-inf	34.086666666666666	10.505747126436782	32.47126436781609	23.39080459770115	-60.33575063041673	11	620	67	13.0	62.0	44.0	5	9.0	11.0	9.0	0	0	1.1876718997955322	1800	111.61218094825745	768	57.33333333333333	
