ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	84.58	9.5	76.02	56.555	-inf	0	0	148	10	136	99	49	9	43	33	0	0	98.07386898994446	200	98.07386898994446	200	0.0	
-inf	84.515	10.4	73.73333333333333	54.36666666666667	-inf	1	170	172	16.0	142.0	101.0	19	9.0	33.0	26.0	0	0	0.6612288951873779	400	98.73509788513184	220	44.99999999999999	
-inf	77.505	10.514285714285714	68.97142857142858	51.31428571428572	-inf	2	335	210	17.0	131.0	95.0	13	9.0	31.0	25.0	0	0	0.5775740146636963	600	99.31267189979553	238	60.333333333333336	
-inf	77.985	10.80952380952381	73.11904761904762	54.11904761904762	-inf	3	493	200	16.0	123.0	89.0	3	9.0	37.0	29.0	0	0	0.4651634693145752	800	99.77783536911011	262	67.25	
-inf	77.05	11.214285714285714	76.9047619047619	57.142857142857146	-inf	4	651	187	15.0	151.0	108.0	3	9.0	37.0	29.0	0	0	0.45208311080932617	1000	100.22991847991943	284	71.6	
-inf	82.515	11.241935483870968	76.7258064516129	56.74193548387097	-inf	5	789	201	21.0	173.0	121.0	2	9.0	33.0	26.0	0	0	1.0738952159881592	1200	101.30381369590759	331	72.41666666666667	
-inf	82.955	10.907692307692308	70.92307692307692	52.92307692307692	-inf	6	924	214	16.0	167.0	120.0	2	9.0	39.0	31.0	0	0	0.896726131439209	1400	102.2005398273468	367	73.78571428571429	
-inf	85.54	10.779411764705882	68.38235294117646	51.0	-inf	7	1056	206	16.0	126.0	92.0	8	9.0	37.0	29.0	0	0	0.7333939075469971	1600	102.9339337348938	411	74.3125	
-inf	84.035	10.912280701754385	73.45614035087719	54.68421052631579	-inf	8	1199	230	19.0	202.0	148.0	8	9.0	37.0	29.0	0	0	0.8276271820068359	1800	103.76156091690063	452	74.88888888888889	
-inf	93.495	11.32857142857143	81.05714285714286	60.27142857142857	-inf	9	1329	298	20.0	262.0	189.0	2	9.0	37.0	29.0	0	0	1.2503066062927246	2000	105.01186752319336	495	75.25	
-inf	98.835	11.11111111111111	78.65277777777777	58.458333333333336	-inf	10	1457	258	18.0	273.0	198.0	7	9.0	35.0	28.0	0	0	1.5386362075805664	2200	106.55050373077393	542	75.36363636363636	
-inf	103.79	11.164556962025317	78.32911392405063	57.9746835443038	-inf	11	1578	286	18.0	226.0	163.0	18	9.0	37.0	29.0	0	0	1.1605281829833984	2400	107.71103191375732	596	75.16666666666667	
-inf	103.375	11.469135802469136	86.4320987654321	63.839506172839506	-inf	12	1697	250	19.0	193.0	136.0	20	9.0	33.0	26.0	0	0	0.8089933395385742	2600	108.5200252532959	650	75.0	
-inf	101.435	11.422222222222222	83.33333333333333	61.55555555555556	-inf	13	1807	249	19.0	206.0	145.0	7	9.0	33.0	26.0	0	0	0.89723801612854	2800	109.41726326942444	708	74.71428571428572	
-inf	109.235	11.329896907216495	78.75257731958763	58.20618556701031	-inf	14	1910	254	20.0	248.0	174.0	14	9.0	43.0	33.0	0	0	1.1737160682678223	3000	110.59097933769226	768	74.4	
-inf	105.37	11.278481012658228	81.40506329113924	60.22784810126582	-inf	15	2031	378	21.0	157.0	112.0	9	9.0	43.0	33.0	0	0	1.137606143951416	3200	111.72858548164368	815	74.53125	
-inf	117.61	11.285714285714286	81.92857142857143	60.542857142857144	-inf	16	2161	284	21.0	178.0	124.0	9	9.0	43.0	33.0	0	0	1.0465903282165527	3400	112.77517580986023	861	74.67647058823529	
-inf	119.785	11.5	87.98275862068965	64.44827586206897	-inf	17	2303	306	21.0	242.0	168.0	16	9.0	46.0	35.0	0	0	0.7122290134429932	3600	113.48740482330322	900	75.0	
-inf	116.3	12.5	101.56944444444444	73.80555555555556	-inf	18	2431	396	21.0	261.0	185.0	17	9.0	48.0	37.0	0	0	1.7926268577575684	3800	115.28003168106079	953	74.92105263157895	
-inf	120.235	12.037974683544304	97.16455696202532	70.79746835443038	-inf	19	2552	396	19.0	261.0	185.0	6	9.0	43.0	33.0	0	0	1.1725811958312988	4000	116.45261287689209	999	75.025	
