ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	28.49	9.5	25.18	19.185	-inf	0	0	58	10	54	39	13	9	11	9	0	0	95.56433129310608	200	95.56433129310608	198	1.0	
-inf	30.025	9.631578947368421	20.964912280701753	16.017543859649123	-inf	1	143	75	13.0	51.0	37.0	1	9.0	11.0	9.0	0	0	0.3621838092803955	400	95.92651510238647	244	39.0	
-inf	29.135	9.430555555555555	19.930555555555557	15.23611111111111	-inf	2	271	72	14.0	52.0	38.0	1	9.0	11.0	9.0	0	0	0.2758042812347412	600	96.20231938362122	288	52.0	
-inf	26.905	9.705882352941176	20.57843137254902	15.666666666666666	-inf	3	369	89	14.0	57.0	41.0	1	9.0	11.0	9.0	0	0	0.41684675216674805	800	96.61916613578796	348	56.5	
-inf	28.48	9.82258064516129	21.129032258064516	16.008064516129032	-inf	4	445	90	19.0	97.0	68.0	4	9.0	11.0	9.0	0	0	0.49654436111450195	1000	97.11571049690247	428	57.2	
-inf	28.895	9.5703125	19.3359375	14.765625	-inf	5	517	87	15.0	60.0	42.0	6	9.0	11.0	9.0	0	0	0.46358156204223633	1200	97.5792920589447	514	57.166666666666664	
-inf	29.865	9.653846153846153	18.884615384615383	14.4	-inf	6	587	80	14.0	51.0	36.0	7	9.0	11.0	9.0	0	0	0.40581512451171875	1400	97.98510718345642	602	57.0	
-inf	29.735	9.798507462686567	20.23134328358209	15.283582089552239	-inf	7	653	70	16.0	63.0	46.0	7	9.0	11.0	9.0	0	0	0.3450901508331299	1600	98.33019733428955	692	56.75	
-inf	33.18	10.055555555555555	21.9375	16.48611111111111	-inf	8	709	88	20.0	118.0	85.0	8	9.0	11.0	9.0	0	0	0.4198586940765381	1800	98.75005602836609	788	56.22222222222222	
-inf	31.78	9.76056338028169	19.985915492957748	15.112676056338028	-inf	9	767	91	17.0	72.0	51.0	5	9.0	11.0	9.0	0	0	0.4375624656677246	2000	99.18761849403381	892	55.4	
-inf	32.925	9.732876712328768	19.123287671232877	14.568493150684931	-inf	10	821	91	14.0	58.0	43.0	10	9.0	11.0	9.0	0	0	0.4064178466796875	2200	99.5940363407135	992	54.90909090909091	
-inf	33.235	9.907284768211921	20.32450331125828	15.357615894039736	-inf	11	870	89	18.0	88.0	62.0	5	9.0	11.0	9.0	0	0	0.4726603031158447	2400	100.06669664382935	1096	54.333333333333336	
-inf	33.13	9.848920863309353	20.165467625899282	15.244604316546763	-inf	12	931	96	15.0	58.0	41.0	5	9.0	11.0	9.0	0	0	0.33481764793395996	2600	100.4015142917633	1177	54.73076923076923	
-inf	38.46	10.392592592592592	23.57777777777778	17.666666666666668	-inf	13	996	89	17.0	90.0	63.0	4	9.0	11.0	9.0	0	0	0.3476533889770508	2800	100.74916768074036	1257	55.107142857142854	
-inf	43.51	10.337349397590362	23.512048192771083	17.596385542168676	-inf	14	1030	105	18.0	81.0	57.0	9	9.0	11.0	9.0	0	0	0.41802191734313965	3000	101.1671895980835	1361	54.63333333333333	
-inf	45.28	10.324675324675324	23.24025974025974	17.435064935064936	-inf	15	1076	106	17.0	79.0	56.0	7	9.0	11.0	9.0	0	0	0.4062314033508301	3200	101.57342100143433	1459	54.40625	
-inf	46.725	10.427672955974844	24.07547169811321	18.044025157232703	-inf	16	1117	96	16.0	86.0	61.0	2	9.0	11.0	9.0	0	0	0.43111705780029297	3400	102.00453805923462	1563	54.029411764705884	
-inf	51.74	10.415094339622641	23.52201257861635	17.628930817610062	-inf	17	1158	110	19.0	111.0	78.0	5	9.0	11.0	9.0	0	0	0.4277465343475342	3600	102.43228459358215	1662	53.833333333333336	
-inf	50.89	10.33974358974359	23.66025641025641	17.743589743589745	-inf	18	1202	127	19.0	98.0	67.0	13	9.0	11.0	9.0	0	0	0.5796990394592285	3800	103.01198363304138	1761	53.6578947368421	
-inf	49.05	10.48407643312102	23.61783439490446	17.796178343949045	-inf	19	1245	147	19.0	98.0	67.0	8	9.0	11.0	9.0	0	0	0.5225687026977539	4000	103.53455233573914	1867	53.325	
-inf	51.01	10.470967741935484	23.90967741935484	17.903225806451612	-inf	20	1290	133	22.0	119.0	82.0	8	9.0	11.0	9.0	0	0	0.5198957920074463	4200	104.05444812774658	1970	53.095238095238095	
-inf	53.955	10.427631578947368	23.782894736842106	17.80921052631579	-inf	21	1338	149	16.0	67.0	47.0	4	9.0	11.0	9.0	0	0	0.5635814666748047	4400	104.61802959442139	2079	52.75	
-inf	60.49	10.413333333333334	24.473333333333333	18.266666666666666	-inf	22	1388	162	17.0	80.0	58.0	6	9.0	11.0	9.0	0	0	0.4794626235961914	4600	105.09749221801758	2185	52.5	
-inf	65.805	10.682926829268293	26.390243902439025	19.567073170731707	-inf	23	1424	162	24.0	137.0	94.0	3	9.0	11.0	9.0	0	0	0.5776126384735107	4800	105.67510485649109	2290	52.291666666666664	
-inf	67.26	10.879746835443038	28.335443037974684	20.88607594936709	-inf	24	1466	176	23.0	124.0	86.0	6	9.0	11.0	9.0	0	0	0.5100476741790771	5000	106.18515253067017	2398	52.04	
-inf	69.27	10.81045751633987	26.464052287581698	19.640522875816995	-inf	25	1513	178	22.0	111.0	78.0	6	9.0	11.0	9.0	0	0	0.3986845016479492	5200	106.58383703231812	2500	51.92307692307692	
-inf	75.96	10.568627450980392	24.69281045751634	18.437908496732025	-inf	26	1560	184	19.0	90.0	63.0	6	9.0	11.0	9.0	0	0	0.46680498123168945	5400	107.0506420135498	2607	51.72222222222223	
