ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	28.6	9.5	25.185	19.22	-inf	0	0	57	10	52	38	13	9	11	9	0	0	88.73755812644958	200	88.73755812644958	188	6.0	
-inf	26.77	9.107692307692307	15.63076923076923	12.123076923076923	-inf	1	135	72	12.0	36.0	27.0	1	9.0	11.0	9.0	0	0	0.4195671081542969	400	89.15712523460388	226	43.50000000000001	
-inf	22.245	9.275862068965518	16.666666666666668	12.885057471264368	-inf	2	248	58	12.0	34.0	26.0	3	9.0	11.0	9.0	0	0	0.4718492031097412	600	89.62897443771362	274	54.333333333333336	
-inf	21.245	9.336538461538462	16.615384615384617	12.85576923076923	-inf	3	344	52	14.0	43.0	32.0	7	9.0	11.0	9.0	0	0	0.4697141647338867	800	90.09868860244751	335	58.125	
-inf	22.245	9.389830508474576	17.440677966101696	13.35593220338983	-inf	4	426	48	13.0	38.0	28.0	3	9.0	11.0	9.0	0	0	0.6577749252319336	1000	90.75646352767944	403	59.699999999999996	
-inf	23.025	9.428571428571429	17.936507936507937	13.69047619047619	-inf	5	500	48	14.0	51.0	37.0	7	9.0	11.0	9.0	0	0	0.7770860195159912	1200	91.53354954719543	476	60.333333333333336	
-inf	24.475	9.512	18.304	13.888	-inf	6	575	53	14.0	51.0	36.0	9	9.0	11.0	9.0	0	0	0.6633713245391846	1400	92.19692087173462	545	61.07142857142857	
-inf	24.975	9.4921875	18.4765625	14.015625	-inf	7	647	51	14.0	54.0	41.0	7	9.0	11.0	9.0	0	0	0.6248254776000977	1600	92.82174634933472	610	61.875	
-inf	25.87	9.604477611940299	18.20149253731343	13.888059701492537	-inf	8	713	59	16.0	69.0	48.0	10	9.0	11.0	9.0	0	0	0.6765258312225342	1800	93.49827218055725	681	62.166666666666664	
-inf	25.625	9.579710144927537	17.72463768115942	13.615942028985508	-inf	9	775	54	15.0	54.0	39.0	7	9.0	11.0	9.0	0	0	0.5885915756225586	2000	94.08686375617981	754	62.3	
-inf	25.75	9.588235294117647	18.441176470588236	14.102941176470589	-inf	10	839	57	14.0	56.0	40.0	4	9.0	11.0	9.0	0	0	0.5904345512390137	2200	94.67729830741882	827	62.40909090909091	
-inf	26.845	9.551470588235293	18.08823529411765	13.845588235294118	-inf	11	903	61	14.0	53.0	37.0	5	9.0	11.0	9.0	0	0	0.5343050956726074	2400	95.21160340309143	905	62.291666666666664	
-inf	29.435	9.756944444444445	18.708333333333332	14.256944444444445	-inf	12	959	70	16.0	61.0	43.0	4	9.0	11.0	9.0	0	0	0.6681516170501709	2600	95.8797550201416	980	62.30769230769231	
-inf	31.005	9.639455782312925	19.292517006802722	14.65986394557823	-inf	13	1012	77	15.0	67.0	50.0	5	9.0	11.0	9.0	0	0	0.7574090957641602	2800	96.63716411590576	1060	62.142857142857146	
-inf	34.755	9.920529801324504	20.62251655629139	15.52980132450331	-inf	14	1061	84	15.0	62.0	43.0	11	9.0	11.0	9.0	0	0	0.7503814697265625	3000	97.38754558563232	1144	61.86666666666667	
-inf	32.17	9.82312925170068	19.802721088435373	14.945578231292517	-inf	15	1114	76	16.0	65.0	45.0	8	9.0	11.0	9.0	0	0	0.6007535457611084	3200	97.98829913139343	1211	62.15625	
-inf	32.91	9.838509316770187	20.167701863354036	15.236024844720497	-inf	16	1153	75	16.0	58.0	41.0	6	9.0	11.0	9.0	0	0	0.7331302165985107	3400	98.72142934799194	1290	62.05882352941177	
-inf	36.495	9.903030303030302	20.24848484848485	15.375757575757575	-inf	17	1188	79	15.0	64.0	44.0	13	9.0	11.0	9.0	0	0	0.7151451110839844	3600	99.43657445907593	1366	62.05555555555556	
-inf	36.53	9.833333333333334	19.23611111111111	14.70138888888889	-inf	18	1244	86	15.0	52.0	38.0	10	9.0	11.0	9.0	0	0	0.588198184967041	3800	100.02477264404297	1433	62.28947368421053	
-inf	35.075	10.006993006993007	20.482517482517483	15.48951048951049	-inf	19	1301	76	16.0	71.0	49.0	4	9.0	11.0	9.0	0	0	0.5588393211364746	4000	100.58361196517944	1511	62.225	
-inf	39.705	10.09032258064516	21.4	16.148387096774194	-inf	20	1346	89	18.0	89.0	61.0	8	9.0	11.0	9.0	0	0	0.5147581100463867	4200	101.09837007522583	1585	62.26190476190476	
-inf	39.285	9.944827586206896	20.627586206896552	15.655172413793103	-inf	21	1401	111	16.0	65.0	46.0	3	9.0	11.0	9.0	0	0	0.6728169918060303	4400	101.77118706703186	1650	62.5	
-inf	40.29	9.941558441558442	21.564935064935064	16.266233766233768	-inf	22	1447	112	16.0	103.0	73.0	4	9.0	11.0	9.0	0	0	0.5856285095214844	4600	102.35681557655334	1729	62.413043478260875	
-inf	40.125	9.74	20.233333333333334	15.333333333333334	-inf	23	1497	118	16.0	69.0	53.0	6	9.0	11.0	9.0	0	0	0.6071100234985352	4800	102.96392560005188	1801	62.47916666666667	
-inf	42.005	9.589403973509933	18.490066225165563	14.119205298013245	-inf	24	1546	126	15.0	63.0	46.0	4	9.0	11.0	9.0	0	0	0.5192165374755859	5000	103.48314213752747	1868	62.64	
-inf	45.615	9.873417721518987	20.81645569620253	15.658227848101266	-inf	25	1588	110	19.0	101.0	70.0	4	9.0	11.0	9.0	0	0	0.7626004219055176	5200	104.24574255943298	1942	62.65384615384615	
-inf	47.93	10.006535947712418	21.535947712418302	16.235294117647058	-inf	26	1635	112	17.0	78.0	54.0	8	9.0	11.0	9.0	0	0	0.5708928108215332	5400	104.81663537025452	2012	62.74074074074074	
-inf	49.325	10.178082191780822	23.705479452054796	17.71232876712329	-inf	27	1689	122	17.0	87.0	61.0	7	9.0	11.0	9.0	0	0	0.547196626663208	5600	105.36383199691772	2082	62.82142857142857	
-inf	45.125	9.92	20.413333333333334	15.46	-inf	28	1739	119	17.0	87.0	61.0	3	9.0	11.0	9.0	0	0	0.6004955768585205	5800	105.96432757377625	2148	62.96551724137931	
-inf	46.38	9.941558441558442	20.954545454545453	15.811688311688311	-inf	29	1785	94	17.0	80.0	55.0	7	9.0	11.0	9.0	0	0	0.6218147277832031	6000	106.58614230155945	2216	63.06666666666666	
-inf	44.05	9.886666666666667	20.76	15.7	-inf	30	1835	113	17.0	76.0	53.0	7	9.0	11.0	9.0	0	0	0.6110177040100098	6200	107.19716000556946	2278	63.25806451612903	
-inf	46.325	9.728476821192054	19.00662251655629	14.483443708609272	-inf	31	1884	113	19.0	92.0	64.0	6	9.0	11.0	9.0	0	0	0.5588796138763428	6400	107.7560396194458	2336	63.5	
-inf	43.67	9.813333333333333	20.5	15.446666666666667	-inf	32	1934	113	19.0	92.0	64.0	2	9.0	11.0	9.0	0	0	0.5207128524780273	6600	108.27675247192383	2392	63.75757575757576	
-inf	44.965	9.952380952380953	21.01360544217687	15.870748299319727	-inf	33	1987	125	18.0	79.0	57.0	5	9.0	11.0	9.0	0	0	0.568192720413208	6800	108.84494519233704	2457	63.86764705882353	
-inf	46.075	10.041666666666666	22.36111111111111	16.77777777777778	-inf	34	2043	128	19.0	105.0	78.0	6	9.0	11.0	9.0	0	0	0.5418655872344971	7000	109.38681077957153	2520	64.0	
-inf	46.52	9.819354838709678	20.606451612903225	15.64516129032258	-inf	35	2088	134	18.0	105.0	78.0	4	9.0	11.0	9.0	0	0	2.797928810119629	7200	112.18473958969116	2576	64.22222222222223	
-inf	49.035	9.937062937062937	21.041958041958043	15.909090909090908	-inf	36	2145	129	18.0	90.0	63.0	6	9.0	11.0	9.0	0	0	0.7122805118560791	7400	112.89702010154724	2635	64.39189189189189	
-inf	52.82	10.118421052631579	22.45394736842105	16.94736842105263	-inf	37	2193	136	17.0	107.0	80.0	3	9.0	11.0	9.0	0	0	0.5113182067871094	7600	113.40833830833435	2697	64.51315789473685	
