ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	73.48	9.5	69.285	49.155	-13.337807473242187	0	0	171	10	167	114	31	9	27	21	0	0	62.02590799331665	200	62.02590799331665	200	0.0	
-inf	76.225	10.204545454545455	72.75	51.29545454545455	-12.54211079382702	1	156	201	16.0	139.0	96.0	9	9.0	34.0	25.0	0	0	0.5035250186920166	400	62.52943301200867	233	41.75	
-inf	80.235	10.442622950819672	70.36065573770492	50.01639344262295	-8.959522980783177	2	295	173	16.0	129.0	89.0	9	9.0	33.0	25.0	0	0	0.39844799041748047	600	62.92788100242615	271	54.833333333333336	
-inf	89.18	10.927710843373495	76.25301204819277	53.89156626506024	-8.701880669865313	3	412	284	17.0	132.0	90.0	11	9.0	34.0	25.0	0	0	0.7485051155090332	800	63.67638611793518	315	60.625	
-inf	96.485	11.068181818181818	74.55681818181819	52.55681818181818	-8.701880669865313	4	524	232	16.0	178.0	122.0	10	9.0	27.0	21.0	0	0	0.42173099517822266	1000	64.0981171131134	373	62.7	
-inf	108.545	11.260416666666666	77.10416666666667	54.385416666666664	-8.701880669865313	5	628	240	18.0	185.0	130.0	3	9.0	25.0	19.0	0	0	0.5783827304840088	1200	64.67649984359741	441	63.25	
-inf	115.71	11.118279569892474	77.91397849462365	54.82795698924731	-8.065303877462341	6	735	259	17.0	240.0	168.0	23	9.0	31.0	24.0	0	0	0.5301132202148438	1400	65.20661306381226	504	64.0	
-inf	118.03	11.395604395604396	84.12087912087912	59.175824175824175	-8.065303877462341	7	844	299	17.0	296.0	206.0	9	9.0	34.0	25.0	0	0	0.2927238941192627	1600	65.49933695793152	564	64.75	
-inf	107.395	11.02247191011236	71.58426966292134	50.674157303370784	-8.039022337997167	8	955	246	16.0	195.0	139.0	6	9.0	34.0	25.0	0	0	0.3909280300140381	1800	65.89026498794556	624	65.33333333333333	
-inf	113.1	11.094117647058823	73.96470588235294	52.35294117647059	-8.039022337997167	9	1070	318	17.0	172.0	122.0	14	9.0	34.0	25.0	0	0	0.3752009868621826	2000	66.26546597480774	677	66.15	
