# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,6.741241379310345394e+01,6.741500000000000625e+01,1.410604309659671651e+00,6.646500000000000341e+01,6.821999999999999886e+01,7.735344827586207117e+00,7.735000000000000320e+00,4.610578231525095522e-02,7.709999999999999964e+00,7.775000000000000355e+00,6.533655172413794787e+01,6.535500000000000398e+01,1.394098462514998138e+00,6.424500000000000455e+01,6.617499999999999716e+01,4.510844827586206662e+01,4.509000000000000341e+01,9.400147682701545104e-01,4.447500000000000142e+01,4.564500000000000313e+01,-8.573401160678871591e+00,-8.503391836528965797e+00,7.553848139854556498e-01,-9.005336880970512325e+00,-7.995747750655798569e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.618275862068965409e+02,1.630000000000000000e+02,1.901735861407575712e+01,1.480000000000000000e+02,1.720000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.598965517241379359e+02,1.620000000000000000e+02,1.853671999328342679e+01,1.450000000000000000e+02,1.700000000000000000e+02,1.080689655172413808e+02,1.090000000000000000e+02,1.265437374159283834e+01,9.900000000000000000e+01,1.150000000000000000e+02,2.806896551724138078e+01,2.800000000000000000e+01,1.412530975742347428e+00,2.700000000000000000e+01,3.000000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,2.610344827586206762e+01,2.700000000000000000e+01,1.241379310344827847e+00,2.500000000000000000e+01,2.700000000000000000e+01,1.882758620689655160e+01,1.900000000000000000e+01,9.493724067542207434e-01,1.800000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.676096427029576930e+01,8.022394895553588867e+00,1.684292841822759712e+01,6.414577960968017578e+00,1.475581812858581543e+01,1.676096427029576930e+01,8.022394895553588867e+00,1.684292841822759712e+01,6.414577960968017578e+00,1.475581812858581543e+01,2.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
nan,nan,nan,nan,nan,7.667086206896550493e+01,7.702500000000000568e+01,3.685037329377555793e+00,7.394499999999999318e+01,7.828499999999999659e+01,8.722753885208943458e+00,8.721518987341772444e+00,1.543163225066077060e-01,8.615384615384614975e+00,8.838926174496643640e+00,7.178469708470775856e+01,7.081159420289854722e+01,3.159623214509919897e+00,6.952201257861635497e+01,7.425899280575539763e+01,4.936089429650815674e+01,4.876811594202898448e+01,2.087103659088195062e+00,4.773584905660377586e+01,5.102158273381294862e+01,-8.402235430138208727e+00,-8.231401973950292827e+00,7.051468285874288311e-01,-8.962224321872003685e+00,-7.868882941171367662e+00,5.724137931034482563e+01,5.900000000000000000e+01,8.620965512827726940e+00,5.200000000000000000e+01,6.300000000000000000e+01,1.846551724137931103e+02,1.830000000000000000e+02,2.718300161303771745e+01,1.620000000000000000e+02,2.000000000000000000e+02,1.441379310344827580e+01,1.400000000000000000e+01,1.402393062597431239e+00,1.300000000000000000e+01,1.500000000000000000e+01,1.727586206896551744e+02,1.720000000000000000e+02,2.179632232884759802e+01,1.580000000000000000e+02,1.830000000000000000e+02,1.170689655172413808e+02,1.160000000000000000e+02,1.457662520538005957e+01,1.060000000000000000e+02,1.240000000000000000e+02,1.203448275862069039e+01,1.200000000000000000e+01,4.944399539016529843e+00,9.000000000000000000e+00,1.500000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,2.827586206896551602e+01,2.900000000000000000e+01,2.332625451763829183e+00,2.700000000000000000e+01,2.900000000000000000e+01,2.031034482758620641e+01,2.100000000000000000e+01,1.663055938177585347e+00,1.900000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.170840411350644983e-01,7.426366806030273438e-01,3.661889418500410276e-01,5.708222389221191406e-01,9.969570636749267578e-01,1.757804831143083391e+01,8.992595911026000977e+00,1.707128565398222619e+01,6.824663877487182617e+00,1.584257483482360840e+01,3.295517241379310462e+02,3.280000000000000000e+02,8.763506646969942082e+00,3.250000000000000000e+02,3.320000000000000000e+02,1.761206896551724199e+01,1.800000000000000000e+01,2.190876661742485076e+00,1.700000000000000000e+01,1.875000000000000000e+01
nan,nan,nan,nan,nan,8.863844827586206065e+01,8.825499999999999545e+01,5.153516560270259284e+00,8.475499999999999545e+01,9.204999999999999716e+01,8.936603792476796926e+00,8.907407407407406552e+00,1.873097727351036024e-01,8.788571428571428257e+00,9.105263157894736281e+00,7.571672447232444370e+01,7.463636363636364024e+01,3.815732424779906928e+00,7.328888888888889142e+01,7.930588235294118249e+01,5.202143939580204091e+01,5.154545454545454675e+01,2.529853415819067752e+00,5.043888888888888999e+01,5.409411764705882320e+01,-8.121529341018163706e+00,-8.000696064442042399e+00,6.898154206581194048e-01,-8.440051598412763312e+00,-7.725913202693018178e+00,8.824137931034482563e+01,9.100000000000000000e+01,1.134309807590377517e+01,8.100000000000000000e+01,9.500000000000000000e+01,2.057931034482758719e+02,1.950000000000000000e+02,3.444273539373856607e+01,1.830000000000000000e+02,2.390000000000000000e+02,1.500000000000000000e+01,1.400000000000000000e+01,1.597411699572478527e+00,1.400000000000000000e+01,1.600000000000000000e+01,1.790689655172413666e+02,1.730000000000000000e+02,2.796541094414084938e+01,1.550000000000000000e+02,1.960000000000000000e+02,1.211034482758620641e+02,1.170000000000000000e+02,1.855717135770020221e+01,1.060000000000000000e+02,1.330000000000000000e+02,1.627586206896551602e+01,1.600000000000000000e+01,7.011795734991921769e+00,1.200000000000000000e+01,2.100000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,3.013793103448275801e+01,3.000000000000000000e+01,2.596073134443960040e+00,2.900000000000000000e+01,3.200000000000000000e+01,2.148275862068965480e+01,2.200000000000000000e+01,1.734451908959902422e+00,2.100000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.333891613730068926e+00,9.517712593078612171e-01,7.341373447723103851e+00,5.531117916107177734e-01,1.257923126220703125e+00,1.991193992516090105e+01,9.797106981277465820e+00,1.801225490070769197e+01,8.339832067489624023e+00,2.001370811462402344e+01,4.665862068965517437e+02,4.660000000000000000e+02,1.073028984208370851e+01,4.620000000000000000e+02,4.710000000000000000e+02,2.223563218390804863e+01,2.233333333333334281e+01,1.788381640347284529e+00,2.150000000000000000e+01,2.300000000000000000e+01
nan,nan,nan,nan,nan,9.631068965517242475e+01,9.742000000000000171e+01,7.214723060154185852e+00,9.109499999999999886e+01,1.004249999999999972e+02,9.064949258468573134e+00,9.033519553072625996e+00,2.450433282906289145e-01,8.892655367231638408e+00,9.204678362573099903e+00,7.926667483316538210e+01,7.737572254335259458e+01,5.038146594232700615e+00,7.622598870056496878e+01,8.198245614035087669e+01,5.440932847110046566e+01,5.315028901734103783e+01,3.338511536547859926e+00,5.238418079096044977e+01,5.629239766081871466e+01,-7.852025352345275877e+00,-7.891027090550194245e+00,5.517255421469516863e-01,-8.204323523662820250e+00,-7.534659594756756285e+00,1.134137931034482705e+02,1.160000000000000000e+02,1.330417938321045490e+01,1.050000000000000000e+02,1.220000000000000000e+02,2.202413793103448256e+02,2.170000000000000000e+02,3.874821924487920910e+01,1.880000000000000000e+02,2.490000000000000000e+02,1.493103448275862100e+01,1.500000000000000000e+01,1.436735631448252226e+00,1.400000000000000000e+01,1.600000000000000000e+01,1.849310344827586334e+02,1.830000000000000000e+02,2.348577123821960555e+01,1.690000000000000000e+02,2.000000000000000000e+02,1.253448275862068897e+02,1.240000000000000000e+02,1.582506929127710826e+01,1.150000000000000000e+02,1.350000000000000000e+02,1.882758620689655160e+01,1.900000000000000000e+01,7.611556393099048634e+00,1.200000000000000000e+01,2.400000000000000000e+01,6.068965517241379004e+00,6.000000000000000000e+00,2.533954906327425260e-01,6.000000000000000000e+00,6.000000000000000000e+00,3.075862068965517082e+01,3.100000000000000000e+01,3.255289302401640494e+00,2.900000000000000000e+01,3.300000000000000000e+01,2.200000000000000000e+01,2.200000000000000000e+01,2.165561168014838778e+00,2.100000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.102229225224462095e+00,9.840669631958007812e-01,6.744300568440515509e-01,7.366876602172851562e-01,1.328653812408447266e+00,2.101416915038536359e+01,1.073067593574523926e+01,1.833735577471445310e+01,8.814546823501586914e+00,2.166484904289245605e+01,6.083793103448275588e+02,6.090000000000000000e+02,1.329872639248987376e+01,6.000000000000000000e+02,6.170000000000000000e+02,2.395258620689655160e+01,2.387500000000000000e+01,1.662340799061234442e+00,2.287500000000000000e+01,2.500000000000000000e+01
nan,nan,nan,nan,nan,1.027287931034482824e+02,1.035100000000000051e+02,8.776254469243582435e+00,9.525499999999999545e+01,1.085000000000000000e+02,9.258564053959059237e+00,9.202247191011235117e+00,2.943193399337114546e-01,9.099999999999999645e+00,9.367231638418079598e+00,8.362594932776890744e+01,8.295081967213114638e+01,5.811023329731616727e+00,7.873076923076922640e+01,8.687978142076502763e+01,5.739310289082236949e+01,5.686592178770949602e+01,3.872495732813453717e+00,5.417582417582417520e+01,5.966120218579234802e+01,-7.583577788519149543e+00,-7.721461058313529691e+00,6.581159726297629575e-01,-7.948247658849931341e+00,-7.430175741726983141e+00,1.352413793103448256e+02,1.370000000000000000e+02,1.532105869308036006e+01,1.260000000000000000e+02,1.460000000000000000e+02,2.310689655172413666e+02,2.240000000000000000e+02,3.823424267228199369e+01,2.060000000000000000e+02,2.550000000000000000e+02,1.520689655172413879e+01,1.500000000000000000e+01,1.562034710745672239e+00,1.400000000000000000e+01,1.600000000000000000e+01,1.882758620689655231e+02,1.910000000000000000e+02,2.543944337891949203e+01,1.700000000000000000e+02,2.000000000000000000e+02,1.272068965517241423e+02,1.300000000000000000e+02,1.701800124076495990e+01,1.150000000000000000e+02,1.350000000000000000e+02,2.110344827586206762e+01,2.000000000000000000e+01,7.494111838458551667e+00,1.700000000000000000e+01,2.600000000000000000e+01,6.310344827586207295e+00,6.000000000000000000e+00,4.626347539654737107e-01,6.000000000000000000e+00,7.000000000000000000e+00,3.241379310344827758e+01,3.200000000000000000e+01,4.047282965826540568e+00,2.900000000000000000e+01,3.500000000000000000e+01,2.303448275862069039e+01,2.300000000000000000e+01,2.658529002399501184e+00,2.100000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.103437226394127224e+00,8.887989521026611328e-01,5.465977489452941152e-01,7.507300376892089844e-01,1.284818172454833984e+00,2.211760637677949148e+01,1.148140597343444824e+01,1.863675152431875404e+01,9.308780670166015625e+00,2.390493917465209961e+01,7.526206896551724412e+02,7.550000000000000000e+02,1.558162886687606452e+01,7.420000000000000000e+02,7.610000000000000000e+02,2.473793103448275943e+01,2.450000000000000000e+01,1.558162886687607829e+00,2.390000000000000924e+01,2.579999999999999716e+01
nan,nan,nan,nan,nan,1.078624137931034568e+02,1.099650000000000034e+02,1.066693154831141932e+01,9.892499999999999716e+01,1.153250000000000028e+02,9.321911353133920386e+00,9.286486486486488445e+00,2.765988827947875039e-01,9.158192090395479212e+00,9.448087431693988236e+00,8.602003405016573367e+01,8.574725274725274460e+01,6.206405718272663741e+00,8.265945945945945539e+01,8.942372881355932179e+01,5.905277855408590426e+01,5.916577540106951716e+01,4.124828240340024266e+00,5.651977401129943246e+01,6.144632768361582009e+01,-7.347325357060970674e+00,-7.532680855257772201e+00,6.480891324235237283e-01,-7.711604420978351193e+00,-6.971079245823793791e+00,1.553793103448275872e+02,1.540000000000000000e+02,1.745617921046367016e+01,1.440000000000000000e+02,1.640000000000000000e+02,2.377931034482758719e+02,2.290000000000000000e+02,3.824366461875818857e+01,2.120000000000000000e+02,2.540000000000000000e+02,1.513793103448275801e+01,1.500000000000000000e+01,1.870351947906291779e+00,1.400000000000000000e+01,1.600000000000000000e+01,1.948275862068965409e+02,1.900000000000000000e+02,2.777380180291124745e+01,1.800000000000000000e+02,2.120000000000000000e+02,1.316896551724137794e+02,1.280000000000000000e+02,1.855672282354994707e+01,1.200000000000000000e+02,1.410000000000000000e+02,2.293103448275861922e+01,2.400000000000000000e+01,7.519771798090861381e+00,2.000000000000000000e+01,2.800000000000000000e+01,6.206896551724137900e+00,6.000000000000000000e+00,4.050806939472666457e-01,6.000000000000000000e+00,6.000000000000000000e+00,3.251724137931034164e+01,3.300000000000000000e+01,4.231415265444007368e+00,3.000000000000000000e+01,3.600000000000000000e+01,2.306896551724138078e+01,2.300000000000000000e+01,2.839755143436314189e+00,2.200000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346748582248030068e+00,1.207341670989990234e+00,6.747112577901221986e-01,1.002449035644531250e+00,1.516772747039794922e+00,2.346435495902752066e+01,1.268874764442443848e+01,1.910320943324194687e+01,1.036540293693542480e+01,2.611909413337707520e+01,9.002413793103448825e+02,9.010000000000000000e+02,1.870949449622836980e+01,8.890000000000000000e+02,9.120000000000000000e+02,2.497988505747126453e+01,2.491666666666667140e+01,1.559124541352366000e+00,2.400000000000000000e+01,2.591666666666667140e+01
nan,nan,nan,nan,nan,1.148555172413793173e+02,1.127699999999999960e+02,1.393257355146363530e+01,1.034200000000000017e+02,1.252399999999999949e+02,9.472597527261168437e+00,9.427745664739884290e+00,3.380100854921953557e-01,9.179775280898876844e+00,9.686170212765956578e+00,8.885642673389892821e+01,8.865921787709497437e+01,7.124902579787599777e+00,8.278888888888889142e+01,9.346808510638295786e+01,6.100840447947312128e+01,6.059217877094972238e+01,4.760269652425292541e+00,5.712637362637362770e+01,6.399468085106382631e+01,-7.121047164323537793e+00,-7.198258903825409227e+00,5.596240337469904347e-01,-7.546179613184051505e+00,-6.791618568215060492e+00,1.732068965517241281e+02,1.740000000000000000e+02,1.998685656115526044e+01,1.620000000000000000e+02,1.830000000000000000e+02,2.530689655172413666e+02,2.390000000000000000e+02,4.208524275266254477e+01,2.220000000000000000e+02,2.760000000000000000e+02,1.506896551724137900e+01,1.500000000000000000e+01,2.099770668639769688e+00,1.300000000000000000e+01,1.500000000000000000e+01,1.969310344827586334e+02,1.910000000000000000e+02,3.212790283085959686e+01,1.740000000000000000e+02,2.140000000000000000e+02,1.335517241379310462e+02,1.280000000000000000e+02,2.116370707195099143e+01,1.170000000000000000e+02,1.470000000000000000e+02,2.634482758620689680e+01,2.600000000000000000e+01,8.687191769055315760e+00,2.000000000000000000e+01,3.200000000000000000e+01,6.413793103448275801e+00,6.000000000000000000e+00,4.925123054167481751e-01,6.000000000000000000e+00,7.000000000000000000e+00,3.317241379310344485e+01,3.300000000000000000e+01,3.965966990987552343e+00,3.100000000000000000e+01,3.600000000000000000e+01,2.355172413793103559e+01,2.400000000000000000e+01,2.672803086217393265e+00,2.200000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.266992577191056846e+00,1.095312833786010742e+00,7.199884737557117331e-01,8.565909862518310547e-01,1.616093158721923828e+00,2.473134753621857840e+01,1.360742306709289551e+01,1.960895040531925204e+01,1.152017998695373535e+01,2.838095283508300781e+01,1.049103448275862092e+03,1.045000000000000000e+03,2.127220110457616897e+01,1.037000000000000000e+03,1.061000000000000000e+03,2.506403940886699999e+01,2.535714285714286120e+01,1.519442936041154102e+00,2.421428571428570820e+01,2.592857142857141639e+01
nan,nan,nan,nan,nan,1.179363793103448330e+02,1.147450000000000045e+02,1.567093696429419936e+01,1.045100000000000051e+02,1.315000000000000000e+02,9.537646845059519762e+00,9.546448087431693708e+00,3.387115690210175667e-01,9.237569060773479279e+00,9.870967741935483986e+00,9.062990972111664689e+01,9.156315789473684674e+01,7.437252716050791079e+00,8.411731843575418566e+01,9.554838709677420638e+01,6.224315274739042536e+01,6.252105263157894655e+01,5.005051843580419657e+00,5.742458100558658884e+01,6.593010752688172715e+01,-6.977638324719873886e+00,-6.975773869375391456e+00,5.996274751644171674e-01,-7.399584809718427358e+00,-6.566529581516363123e+00,1.915172413793103487e+02,1.850000000000000000e+02,2.472974014344723770e+01,1.780000000000000000e+02,2.010000000000000000e+02,2.574482758620689538e+02,2.390000000000000000e+02,4.619044998093373522e+01,2.260000000000000000e+02,2.760000000000000000e+02,1.548275862068965480e+01,1.500000000000000000e+01,1.589202568524539450e+00,1.500000000000000000e+01,1.600000000000000000e+01,2.031724137931034591e+02,1.990000000000000000e+02,3.202161873777458112e+01,1.720000000000000000e+02,2.190000000000000000e+02,1.373793103448275872e+02,1.370000000000000000e+02,2.129823336222894170e+01,1.160000000000000000e+02,1.490000000000000000e+02,2.437931034482758719e+01,2.200000000000000000e+01,9.397042062499016524e+00,1.800000000000000000e+01,3.100000000000000000e+01,6.344827586206896797e+00,6.000000000000000000e+00,4.753120259341457321e-01,6.000000000000000000e+00,7.000000000000000000e+00,3.337931034482758719e+01,3.300000000000000000e+01,4.421060826851465286e+00,3.000000000000000000e+01,3.600000000000000000e+01,2.348275862068965480e+01,2.300000000000000000e+01,2.762066813034592005e+00,2.100000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.550041996199509109e+00,1.242832899093627930e+00,1.276325775196201162e+00,7.002880573272705078e-01,1.868617057800292969e+00,2.628138953241808551e+01,1.553739714622497559e+01,2.006917968144431441e+01,1.206876277923583984e+01,3.066716814041137695e+01,1.197275862068965580e+03,1.196000000000000000e+03,2.580683757526573530e+01,1.184000000000000000e+03,1.212000000000000000e+03,2.517025862068965480e+01,2.525000000000000000e+01,1.612927348454108678e+00,2.425000000000000000e+01,2.600000000000000000e+01
nan,nan,nan,nan,nan,1.214301724137930876e+02,1.151949999999999932e+02,1.723269589265980173e+01,1.103649999999999949e+02,1.338499999999999943e+02,9.577061739827380293e+00,9.627027027027027728e+00,3.671946687580329161e-01,9.242937853107344282e+00,9.808743169398907114e+00,9.159964359747783647e+01,9.200574712643680186e+01,8.643685771237244353e+00,8.436269430051812890e+01,9.646774193548388610e+01,6.291678727998503007e+01,6.298369565217391397e+01,5.741791674959125125e+00,5.808290155440414537e+01,6.602150537634408067e+01,-6.783023003979513632e+00,-6.791618568215060492e+00,6.073933491932166362e-01,-7.294466876779120312e+00,-6.433089866433874704e+00,2.061724137931034591e+02,2.010000000000000000e+02,2.673247923215766164e+01,1.910000000000000000e+02,2.170000000000000000e+02,2.608965517241379075e+02,2.590000000000000000e+02,4.222872435349174935e+01,2.340000000000000000e+02,2.870000000000000000e+02,1.579310344827586121e+01,1.600000000000000000e+01,1.689303270884950470e+00,1.500000000000000000e+01,1.700000000000000000e+01,2.044137931034482847e+02,2.040000000000000000e+02,2.928047159194757398e+01,1.890000000000000000e+02,2.230000000000000000e+02,1.382758620689655231e+02,1.390000000000000000e+02,1.992727562693931276e+01,1.280000000000000000e+02,1.500000000000000000e+02,2.765517241379310320e+01,2.600000000000000000e+01,1.125036662105749130e+01,2.000000000000000000e+01,3.600000000000000000e+01,6.620689655172413701e+00,7.000000000000000000e+00,5.517241379310345861e-01,6.000000000000000000e+00,7.000000000000000000e+00,3.527586206896551602e+01,3.600000000000000000e+01,5.740939198208490524e+00,3.000000000000000000e+01,3.900000000000000000e+01,2.475862068965517082e+01,2.500000000000000000e+01,3.729242988854006846e+00,2.100000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.576544128615280593e+00,1.135838270187377930e+00,1.379942929054120970e+00,8.893220424652099609e-01,1.748462200164794922e+00,2.785793366103336766e+01,1.670562195777893066e+01,2.077388142407031779e+01,1.304354786872863770e+01,3.199677705764770508e+01,1.347793103448275815e+03,1.352000000000000000e+03,2.731221693339603007e+01,1.329000000000000000e+03,1.369000000000000000e+03,2.512260536398467892e+01,2.488888888888889994e+01,1.517345385188669349e+00,2.394444444444444287e+01,2.616666666666667140e+01
nan,nan,nan,nan,nan,1.250241379310344882e+02,1.204000000000000057e+02,2.012535902738072835e+01,1.120750000000000028e+02,1.328499999999999943e+02,9.608602626990197848e+00,9.593750000000000000e+00,3.930663393025188856e-01,9.275449101796407803e+00,9.887096774193548043e+00,9.183937530653994941e+01,9.116402116402116462e+01,9.825016212930949067e+00,8.502590673575129188e+01,9.712154696132596143e+01,6.307569681627898461e+01,6.257671957671957585e+01,6.549457014936586496e+00,5.862777777777777999e+01,6.623756906077348106e+01,-6.615860527133825109e+00,-6.553582992403112151e+00,6.161430644706551440e-01,-7.053839584431136345e+00,-6.180571545966849101e+00,2.212413793103448256e+02,2.110000000000000000e+02,3.046949313478329557e+01,2.010000000000000000e+02,2.360000000000000000e+02,2.735862068965517437e+02,2.710000000000000000e+02,4.298236786964314859e+01,2.360000000000000000e+02,3.160000000000000000e+02,1.568965517241379359e+01,1.500000000000000000e+01,1.858873375440489806e+00,1.400000000000000000e+01,1.600000000000000000e+01,2.105517241379310462e+02,2.120000000000000000e+02,3.807124555890782602e+01,1.840000000000000000e+02,2.310000000000000000e+02,1.426206896551724128e+02,1.440000000000000000e+02,2.511135722324345565e+01,1.250000000000000000e+02,1.570000000000000000e+02,2.968965517241379359e+01,2.900000000000000000e+01,1.117294592176786239e+01,2.100000000000000000e+01,3.600000000000000000e+01,6.448275862068965303e+00,6.000000000000000000e+00,5.623967734586238221e-01,6.000000000000000000e+00,7.000000000000000000e+00,3.500000000000000000e+01,3.500000000000000000e+01,4.835215646155566205e+00,3.100000000000000000e+01,3.700000000000000000e+01,2.468965517241379359e+01,2.500000000000000000e+01,3.006928187116089113e+00,2.200000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.479811709502647732e+00,1.247824907302856445e+00,9.079136477798808169e-01,9.657731056213380016e-01,1.702115774154663086e+00,2.933774537053601605e+01,1.938567996025085449e+01,2.128828904490115193e+01,1.383022093772888184e+01,3.319863677024841309e+01,1.499275862068965580e+03,1.500000000000000000e+03,3.148277750499868333e+01,1.477000000000000000e+03,1.523000000000000000e+03,2.503620689655172526e+01,2.500000000000000000e+01,1.574138875249933012e+00,2.385000000000000853e+01,2.614999999999999147e+01
