ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.905	9.5	30.115	22.105	-5.991796743874753	0	0	78	10	76	52	13	9	11	9	0	0	323.5974807739258	200	323.5974807739258	193	3.5	
-inf	37.56	9.727272727272727	26.29090909090909	19.272727272727273	-5.991796743874753	1	145	98	13.0	72.0	52.0	3	9.0	11.0	9.0	0	0	1.3859713077545166	400	324.9834520816803	230	42.50000000000001	
-inf	34.59	9.96	27.453333333333333	20.053333333333335	-5.991796743874753	2	270	83	14.0	95.0	67.0	4	9.0	11.0	9.0	0	0	0.9534049034118652	600	325.93685698509216	274	54.333333333333336	
-inf	33.5	10.00952380952381	25.447619047619046	18.485714285714284	-5.495257845986398	3	365	97	14.0	63.0	44.0	5	9.0	11.0	9.0	0	0	0.9109950065612793	800	326.84785199165344	340	57.5	
-inf	33.935	10.183333333333334	24.891666666666666	18.058333333333334	-4.095690777811074	4	445	90	14.0	63.0	44.0	4	9.0	11.0	9.0	0	0	1.1910839080810547	1000	328.0389358997345	418	58.2	
-inf	37.175	10.374149659863946	26.517006802721088	19.3265306122449	-4.095690777811074	5	498	85	16.0	103.0	72.0	8	9.0	11.0	9.0	0	0	1.1731600761413574	1200	329.21209597587585	513	57.25	
-inf	37.635	10.517241379310345	27.489655172413794	19.875862068965517	-4.095690777811074	6	553	92	14.0	65.0	45.0	4	9.0	11.0	9.0	0	0	1.6160259246826172	1400	330.8281219005585	620	55.714285714285715	
-inf	38.995	10.512195121951219	27.28048780487805	19.76219512195122	-4.095690777811074	7	589	92	15.0	73.0	51.0	14	9.0	11.0	9.0	0	0	1.750230073928833	1600	332.5783519744873	741	53.6875	
-inf	40.615	10.428571428571429	26.675324675324674	19.337662337662337	-4.095690777811074	8	635	92	14.0	70.0	48.0	5	9.0	11.0	9.0	0	0	1.4139931201934814	1800	333.9923450946808	857	52.38888888888889	
-inf	39.085	10.5	27.493333333333332	19.9	-4.095690777811074	9	685	83	14.0	65.0	45.0	2	9.0	11.0	9.0	0	0	1.7135517597198486	2000	335.70589685440063	960	52.0	
-inf	41.05	10.426829268292684	26.445121951219512	19.146341463414632	-4.095690777811074	10	721	83	14.0	72.0	49.0	2	9.0	11.0	9.0	0	0	1.6223978996276855	2200	337.3282947540283	1069	51.40909090909091	
-inf	41.735	10.409937888198758	26.018633540372672	18.900621118012424	-4.095690777811074	11	760	94	13.0	55.0	39.0	13	9.0	11.0	9.0	0	0	1.1367909908294678	2400	338.4650857448578	1186	50.583333333333336	
-inf	42.23	10.216867469879517	24.14457831325301	17.674698795180724	-4.095690777811074	12	794	81	13.0	63.0	44.0	9	9.0	11.0	9.0	0	0	0.9612259864807129	2600	339.4263117313385	1288	50.46153846153846	
