ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.87	9.5	29.93	22.09	-4.962385085429573	0	0	76	10	74	51	13	9	11	9	0	0	38.495311975479126	200	38.495311975479126	191	4.5	
-inf	37.79	9.836065573770492	27.18032786885246	19.983606557377048	-4.962385085429573	1	139	99	13.0	73.0	51.0	4	9.0	11.0	9.0	0	0	1.2354259490966797	400	39.730737924575806	235	41.25	
-inf	36.66	10.061728395061728	25.962962962962962	19.049382716049383	-4.962385085429573	2	258	97	14.0	73.0	51.0	6	9.0	11.0	9.0	0	0	0.7384750843048096	600	40.469213008880615	286	52.33333333333333	
-inf	35.29	10.076923076923077	24.05128205128205	17.70940170940171	-4.962385085429573	3	341	89	13.0	61.0	45.0	6	9.0	11.0	9.0	0	0	1.2668280601501465	800	41.73604106903076	368	54.0	
-inf	39.65	10.2890625	26.0703125	18.9140625	-3.949180525318977	4	413	95	14.0	65.0	45.0	6	9.0	11.0	9.0	0	0	1.506850004196167	1000	43.24289107322693	461	53.9	
-inf	42.8	10.573333333333334	28.78	20.72	-3.85871805770348	5	463	124	15.0	77.0	53.0	5	9.0	11.0	9.0	0	0	1.6420660018920898	1200	44.88495707511902	567	52.75	
-inf	44.355	10.634146341463415	28.085365853658537	20.341463414634145	-3.85871805770348	6	499	124	14.0	75.0	54.0	12	9.0	11.0	9.0	0	0	1.535573959350586	1400	46.420531034469604	688	50.857142857142854	
-inf	42.77	10.832258064516129	29.18064516129032	21.16774193548387	-3.85871805770348	7	544	124	16.0	92.0	63.0	14	9.0	11.0	9.0	0	0	1.8859248161315918	1600	48.306455850601196	807	49.5625	
-inf	43.91	10.853658536585366	29.871951219512194	21.634146341463413	-3.7132858885979045	8	580	99	15.0	84.0	60.0	9	9.0	11.0	9.0	0	0	2.751570224761963	1800	51.05802607536316	930	48.33333333333333	
-inf	45.975	10.809815950920246	29.644171779141104	21.374233128834355	-3.7132858885979045	9	617	98	15.0	77.0	53.0	13	9.0	11.0	9.0	0	0	4.2479407787323	2000	55.30596685409546	1052	47.4	
-inf	50.585	10.86413043478261	30.108695652173914	21.71195652173913	-3.7132858885979045	10	633	104	16.0	89.0	61.0	7	9.0	11.0	9.0	0	0	2.6095223426818848	2200	57.915489196777344	1187	46.04545454545455	
-inf	51.925	10.846153846153847	29.988165680473372	21.668639053254438	-3.7132858885979045	11	664	95	17.0	103.0	70.0	13	9.0	11.0	9.0	0	0	2.263681650161743	2400	60.17917084693909	1314	45.25	
-inf	54.05	11.011764705882353	30.976470588235294	22.352941176470587	-3.7132858885979045	12	694	113	16.0	97.0	67.0	10	9.0	11.0	9.0	0	0	2.2141010761260986	2600	62.393271923065186	1439	44.65384615384615	
-inf	55.63	11.017964071856287	30.49700598802395	22.12574850299401	-3.7132858885979045	13	727	125	16.0	87.0	60.0	15	9.0	11.0	9.0	0	0	3.4429681301116943	2800	65.83624005317688	1555	44.46428571428571	
-inf	54.175	10.836363636363636	28.939393939393938	21.072727272727274	-3.6455372621093636	14	762	129	16.0	87.0	60.0	15	9.0	11.0	9.0	0	0	2.3211629390716553	3000	68.15740299224854	1671	44.3	
-inf	51.085	10.8562874251497	28.87425149700599	21.0	-3.6455372621093636	15	795	103	14.0	87.0	60.0	13	9.0	11.0	9.0	0	0	6.2307350635528564	3200	74.38813805580139	1781	44.34375000000001	
-inf	46.185	10.866666666666667	30.078787878787878	21.757575757575758	-3.6455372621093636	16	830	92	16.0	85.0	59.0	14	9.0	11.0	9.0	0	0	2.736299991607666	3400	77.12443804740906	1895	44.26470588235294	
-inf	46.265	10.652694610778443	26.910179640718564	19.592814371257486	-3.6455372621093636	17	863	111	16.0	87.0	59.0	11	9.0	11.0	9.0	0	0	2.385267972946167	3600	79.50970602035522	2012	44.111111111111114	
-inf	44.57	10.528662420382165	26.286624203821656	19.127388535031848	-3.6455372621093636	18	906	104	15.0	75.0	51.0	11	9.0	11.0	9.0	0	0	2.5865228176116943	3800	82.09622883796692	2131	43.92105263157895	
-inf	51.18	10.850299401197605	29.059880239520957	21.017964071856287	-3.6455372621093636	19	939	104	15.0	79.0	55.0	10	9.0	11.0	9.0	0	0	2.934392213821411	4000	85.03062105178833	2243	43.925000000000004	
-inf	53.645	10.85207100591716	28.668639053254438	20.71005917159763	-3.6455372621093636	20	970	120	15.0	69.0	48.0	10	9.0	11.0	9.0	0	0	2.987825870513916	4200	88.01844692230225	2362	43.76190476190476	
-inf	56.325	10.67878787878788	26.76969696969697	19.484848484848484	-3.6455372621093636	21	1005	114	17.0	103.0	70.0	7	9.0	11.0	9.0	0	0	1.6387062072753906	4400	89.65715312957764	2472	43.81818181818182	
-inf	63.835	10.779141104294478	26.349693251533743	19.288343558282207	-3.6455372621093636	22	1042	134	17.0	101.0	69.0	11	9.0	11.0	9.0	0	0	3.0672719478607178	4600	92.72442507743835	2583	43.84782608695652	
-inf	74.285	11.047058823529412	29.3	21.311764705882354	-3.6455372621093636	23	1072	140	17.0	106.0	72.0	13	9.0	11.0	9.0	0	0	1.8077938556671143	4800	94.53221893310547	2695	43.85416666666667	
-inf	79.85	11.105882352941176	29.476470588235294	21.429411764705883	-3.6455372621093636	24	1102	153	17.0	106.0	72.0	19	9.0	11.0	9.0	0	0	2.007768154144287	5000	96.53998708724976	2805	43.89999999999999	
-inf	84.575	11.0	27.964285714285715	20.488095238095237	-3.6455372621093636	25	1134	202	16.0	81.0	57.0	22	9.0	11.0	9.0	0	0	1.4085848331451416	5200	97.9485719203949	2908	44.07692307692308	
-inf	82.47	10.815950920245399	26.030674846625768	19.12883435582822	-3.6455372621093636	26	1171	136	15.0	77.0	53.0	21	9.0	11.0	9.0	0	0	1.7308809757232666	5400	99.67945289611816	3014	44.18518518518518	
-inf	85.75	10.710843373493976	25.740963855421686	19.018072289156628	-3.6455372621093636	27	1205	129	16.0	93.0	66.0	21	9.0	11.0	9.0	0	0	1.5871920585632324	5600	101.2666449546814	3112	44.42857142857143	
-inf	86.55	10.783950617283951	25.709876543209877	18.962962962962962	-3.6455372621093636	28	1243	135	16.0	89.0	64.0	8	9.0	11.0	9.0	0	0	1.6277720928192139	5800	102.89441704750061	3215	44.568965517241374	
