ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	104.6	7.85	101.205	69.875	-15.83306915401332	0	0	244	10	242	163	51	6	48	34	0	0	16.135033130645752	200	16.135033130645752	200	0.0	
-inf	106.535	8.964539007092199	108.63120567375887	74.65248226950355	-15.83306915401332	1	59	292	15.0	282.0	192.0	13	6.0	50.0	35.0	0	0	1.5686719417572021	400	17.703705072402954	329	17.75	
-inf	111.45	9.006451612903225	107.23225806451613	73.7741935483871	-15.83306915401332	2	104	269	17.0	242.0	163.0	23	6.0	50.0	35.0	0	0	1.2143511772155762	600	18.91805624961853	451	24.83333333333333	
-inf	124.715	9.333333333333334	110.5952380952381	76.10119047619048	-15.83306915401332	3	136	263	17.0	242.0	163.0	18	6.0	53.0	36.0	0	0	2.091230869293213	800	21.009287118911743	584	27.0	
-inf	142.92	9.960893854748603	122.0	83.97206703910615	-11.592881026446683	4	157	308	17.0	221.0	149.0	27	7.0	64.0	45.0	0	0	2.6863698959350586	1000	23.6956570148468	737	26.299999999999997	
-inf	153.19	9.855555555555556	121.15	83.50555555555556	-11.592881026446683	5	177	326	17.0	234.0	158.0	47	7.0	50.0	37.0	0	0	3.8795511722564697	1200	27.57520818710327	880	26.66666666666667	
-inf	157.665	10.212290502793296	134.73743016759778	92.96648044692738	-11.592881026446683	6	198	355	18.0	247.0	166.0	20	7.0	66.0	45.0	0	0	5.487072706222534	1400	33.062280893325806	1026	26.714285714285708	
-inf	170.99	10.206349206349206	139.4920634920635	95.95238095238095	-11.001037997302555	7	209	355	17.0	241.0	166.0	22	7.0	66.0	44.0	0	0	8.322877168655396	1600	41.3851580619812	1192	25.5	
-inf	179.83	10.507936507936508	142.16931216931218	97.6931216931217	-9.359396656478575	8	220	340	18.0	358.0	245.0	28	7.0	69.0	47.0	0	0	60.09612703323364	1800	101.48128509521484	1352	24.8888888888889	
-inf	178.575	10.415730337078651	141.11797752808988	96.9494382022472	-9.359396656478575	9	242	404	18.0	316.0	214.0	55	7.0	64.0	45.0	0	0	7.4734320640563965	2000	108.95471715927124	1506	24.700000000000003	
-inf	186.225	10.855614973262032	149.6898395721925	103.10160427807487	-9.287774007637296	10	255	372	19.0	266.0	182.0	26	8.0	68.0	48.0	0	0	14.789699792861938	2200	123.74441695213318	1654	24.818181818181813	
-inf	194.325	11.143589743589743	157.8153846153846	108.39487179487179	-9.287774007637296	11	260	341	18.0	283.0	196.0	52	7.0	53.0	38.0	0	0	9.98586106300354	2400	133.73027801513672	1811	24.541666666666657	
-inf	197.17	10.94818652849741	156.86010362694302	107.68911917098445	-9.22266925943216	12	267	401	18.0	296.0	202.0	49	8.0	74.0	51.0	0	0	21.250590085983276	2600	154.98086810112	1969	24.26923076923076	
-inf	217.08	10.68041237113402	154.7164948453608	106.1340206185567	-8.953242273104031	13	273	399	17.0	284.0	196.0	67	7.0	69.0	48.0	0	0	9.808717012405396	2800	164.7895851135254	2134	23.785714285714292	
-inf	229.8	11.020725388601036	159.7979274611399	109.32642487046633	-8.70983886747601	14	280	432	17.0	297.0	204.0	85	7.0	68.0	47.0	0	0	35.7381329536438	3000	200.5277180671692	2291	23.633333333333326	
-inf	235.2	10.98989898989899	163.43939393939394	111.65656565656566	-8.045454245951623	15	282	460	17.0	295.0	198.0	62	7.0	66.0	45.0	0	0	39.41876578330994	3200	239.94648385047913	2454	23.3125	
-inf	221.05	10.746192893401016	152.32994923857868	104.10659898477158	-7.362447023841039	16	285	409	19.0	300.0	199.0	56	7.0	68.0	47.0	0	0	15.758430242538452	3400	255.70491409301758	2618	23.0	
-inf	218.95	10.825641025641026	153.84102564102565	105.23076923076923	-7.304088686186728	17	290	407	18.0	287.0	195.0	38	7.0	59.0	41.0	0	0	27.710546016693115	3600	283.4154601097107	2779	22.805555555555557	
-inf	218.34	11.01522842639594	155.12690355329948	106.10659898477158	-7.079780562601429	18	293	411	18.0	316.0	214.0	53	7.0	70.0	48.0	0	0	68.3862578868866	3800	351.8017179965973	2950	22.368421052631575	
