# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,3.288216666666667010e+01,3.290749999999999886e+01,5.926616282125534152e-01,3.259250000000000114e+01,3.339249999999999829e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,2.990900000000000247e+01,2.992999999999999972e+01,5.955927019924495136e-01,2.957625000000000171e+01,3.039124999999999943e+01,2.208716666666666839e+01,2.210249999999999915e+01,3.917581807980811681e-01,2.188875000000000171e+01,2.242500000000000071e+01,-2.570191674106273183e+01,-2.230818762468388172e+01,1.678520400379880684e+01,-2.494340816850244380e+01,-1.380515009530899562e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.243333333333333712e+01,7.200000000000000000e+01,3.073362255829200862e+00,7.000000000000000000e+01,7.300000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.983333333333332860e+01,6.900000000000000000e+01,3.531603350069515201e+00,6.725000000000000000e+01,7.100000000000000000e+01,4.850000000000000000e+01,4.800000000000000000e+01,2.061552812808830293e+00,4.700000000000000000e+01,4.900000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.844654705524444438e+01,1.156978690624237061e+01,1.695083712235758711e+01,8.755761861801147461e+00,1.365720868110656738e+01,1.844654705524444438e+01,1.156978690624237061e+01,1.695083712235758711e+01,8.755761861801147461e+00,1.365720868110656738e+01,1.980000000000000000e+02,1.980000000000000000e+02,1.732050807568877193e+00,1.970000000000000000e+02,1.990000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,8.660254037844385966e-01,5.000000000000000000e-01,1.500000000000000000e+00
nan,nan,nan,nan,nan,3.235733333333332951e+01,3.298499999999999943e+01,1.894172965233697825e+00,3.115874999999999773e+01,3.377875000000000227e+01,9.470779755575581049e+00,9.476278724981469281e+00,1.021858779163624664e-01,9.397352647352647637e+00,9.540128205128205252e+00,2.023563900618942668e+01,2.049716353677621328e+01,1.496595992204809100e+00,1.902947710184552221e+01,2.145381970031933250e+01,1.520486438633086124e+01,1.534247076023391898e+01,1.051358831943482119e+00,1.440392173615857985e+01,1.600368459837877921e+01,-2.570191674106273183e+01,-2.230818762468388172e+01,1.678520400379880684e+01,-2.494340816850244380e+01,-1.380515009530899562e+01,1.249000000000000057e+02,1.250000000000000000e+02,8.113158036999731593e+00,1.220000000000000000e+02,1.290000000000000000e+02,8.336666666666666003e+01,8.100000000000000000e+01,8.166938770977097306e+00,7.825000000000000000e+01,8.875000000000000000e+01,1.243333333333333357e+01,1.200000000000000000e+01,8.034647195462635283e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.953333333333333144e+01,6.850000000000000000e+01,1.348760748077862459e+01,6.150000000000000000e+01,7.950000000000000000e+01,4.983333333333333570e+01,4.850000000000000000e+01,9.458975749108475384e+00,4.400000000000000000e+01,5.650000000000000000e+01,4.099999999999999645e+00,4.000000000000000000e+00,1.640121946685672460e+00,3.000000000000000000e+00,5.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.958573102951049805e-01,1.614295244216918390e-01,5.398401195596506108e-01,1.226854324340820035e-01,2.327937483787536066e-01,1.874240436553954936e+01,1.194714796543121338e+01,1.720185050286158202e+01,8.882721841335296631e+00,1.383926028013229192e+01,2.568333333333333144e+02,2.570000000000000000e+02,8.679797744699405015e+00,2.515000000000000000e+02,2.600000000000000000e+02,3.579166666666666430e+01,3.575000000000000000e+01,2.169949436174852142e+00,3.500000000000000000e+01,3.712500000000000711e+01
nan,nan,nan,nan,nan,2.719233333333334102e+01,2.700999999999999801e+01,2.097291798698713627e+00,2.648499999999999943e+01,2.829625000000000057e+01,9.517594805148730686e+00,9.513557323902151808e+00,7.740126434023057722e-02,9.442634779919595545e+00,9.580952380952380665e+00,1.990151047206250112e+01,1.988454270597127760e+01,1.416289006647967419e+00,1.858901515151515227e+01,2.074363425925925952e+01,1.491612424370412882e+01,1.487622826908541285e+01,1.016456379406170951e+00,1.401889659304913316e+01,1.550896990740740833e+01,-2.549004414106294192e+01,-2.212516526171435061e+01,1.630607835930018013e+01,-2.489749844048411376e+01,-1.402695134648703679e+01,2.225000000000000000e+02,2.250000000000000000e+02,1.672074559741081856e+01,2.132500000000000000e+02,2.337500000000000000e+02,8.590000000000000568e+01,8.450000000000000000e+01,1.067504878989631045e+01,7.850000000000000000e+01,9.175000000000000000e+01,1.236666666666666714e+01,1.200000000000000000e+01,7.520342781785650521e-01,1.200000000000000000e+01,1.300000000000000000e+01,7.033333333333332860e+01,6.750000000000000000e+01,1.512907429054695641e+01,6.150000000000000000e+01,7.775000000000000000e+01,5.060000000000000142e+01,4.850000000000000000e+01,1.063516180726304938e+01,4.425000000000000000e+01,5.575000000000000000e+01,3.500000000000000000e+00,4.000000000000000000e+00,1.284523257866512891e+00,2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.354458173116048270e-01,2.140640020370482843e-01,1.431410058894677650e-01,1.204902529716491422e-01,2.987728118896484375e-01,1.897785018285115655e+01,1.206939649581909180e+01,1.724546957736804842e+01,8.975081801414489746e+00,1.430871742963790894e+01,3.253000000000000114e+02,3.245000000000000000e+02,1.595650337636664062e+01,3.132500000000000000e+02,3.357500000000000000e+02,4.578333333333332433e+01,4.591666666666667140e+01,2.659417229394440696e+00,4.404166666666665719e+01,4.779166666666667140e+01
nan,nan,nan,nan,nan,2.588033333333332919e+01,2.648250000000000171e+01,2.149856170899708374e+00,2.375124999999999886e+01,2.747499999999999787e+01,9.539546337505584006e+00,9.542198993418505637e+00,8.797995754698718918e-02,9.478855637370804388e+00,9.615315261164873561e+00,1.941846145212493724e+01,1.930485527544351498e+01,1.228802881027830640e+00,1.838853226925746043e+01,2.051093097519037300e+01,1.454506732463506147e+01,1.444354838709677402e+01,8.598139459288244302e-01,1.382968424705065935e+01,1.534039230384807695e+01,-2.549004414106294192e+01,-2.212516526171435061e+01,1.630607835930018013e+01,-2.489749844048411376e+01,-1.402695134648703679e+01,3.011333333333333258e+02,3.030000000000000000e+02,2.254733292924514387e+01,2.885000000000000000e+02,3.117500000000000000e+02,8.279999999999999716e+01,8.200000000000000000e+01,1.165732959701034410e+01,7.325000000000000000e+01,9.175000000000000000e+01,1.259999999999999964e+01,1.300000000000000000e+01,8.000000000000000444e-01,1.200000000000000000e+01,1.300000000000000000e+01,6.346666666666666856e+01,6.050000000000000000e+01,1.556006283906191534e+01,5.575000000000000000e+01,7.100000000000000000e+01,4.563333333333333286e+01,4.400000000000000000e+01,1.116686566986855489e+01,3.925000000000000000e+01,5.075000000000000000e+01,3.500000000000000000e+00,3.000000000000000000e+00,1.384437310486345885e+00,3.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.342684189478556334e-01,2.129012346267699640e-01,1.401852767277057543e-01,1.398146748542785089e-01,2.593084573745727539e-01,1.921211860179901265e+01,1.219433093070983887e+01,1.726314079163088877e+01,9.216892242431640625e+00,1.455951178073882879e+01,4.054333333333333371e+02,4.120000000000000000e+02,2.123469383396479060e+01,3.832500000000000000e+02,4.227500000000000000e+02,4.932083333333333286e+01,4.850000000000000000e+01,2.654336729245598381e+00,4.715624999999999289e+01,5.209375000000000000e+01
nan,nan,nan,nan,nan,2.602716666666665546e+01,2.614249999999999829e+01,2.338413879582103228e+00,2.399500000000000099e+01,2.731125000000000114e+01,9.576731743497449045e+00,9.580774010296465804e+00,1.259515575398256204e-01,9.471187860733568442e+00,9.650543024227234312e+00,1.958057416907346493e+01,1.927049810533252838e+01,1.911979328930841104e+00,1.841273173391493856e+01,2.026430659983291349e+01,1.463263198894365580e+01,1.444101817782415154e+01,1.320886753623689458e+00,1.385197655398036964e+01,1.501096491228070207e+01,-2.526260866695933416e+01,-2.212516526171435061e+01,1.643450260981374456e+01,-2.489749844048411376e+01,-1.380067600835815433e+01,3.708000000000000114e+02,3.690000000000000000e+02,2.511626299166869813e+01,3.502500000000000000e+02,3.830000000000000000e+02,7.633333333333332860e+01,7.300000000000000000e+01,1.208396550070473552e+01,6.750000000000000000e+01,8.550000000000000000e+01,1.290000000000000036e+01,1.300000000000000000e+01,1.247664484814193786e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.189999999999999858e+01,5.950000000000000000e+01,1.770564881612644825e+01,4.750000000000000000e+01,6.900000000000000000e+01,4.389999999999999858e+01,4.300000000000000000e+01,1.237834129975956365e+01,3.425000000000000000e+01,4.700000000000000000e+01,4.099999999999999645e+00,4.000000000000000000e+00,2.481263119192857136e+00,2.000000000000000000e+00,5.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.593565622965494977e-01,2.679940462112426758e-01,4.748212279098990574e-01,2.039219737052916925e-01,3.531222343444823664e-01,1.957147516409555976e+01,1.255402255058288574e+01,1.745277348064502121e+01,9.557528913021085870e+00,1.485420894622802734e+01,4.921000000000000227e+02,4.975000000000000000e+02,2.427117632089553112e+01,4.705000000000000000e+02,5.085000000000000000e+02,5.079000000000000625e+01,5.025000000000000000e+01,2.427117632089552668e+00,4.914999999999999858e+01,5.295000000000000284e+01
nan,nan,nan,nan,nan,2.680349999999999966e+01,2.681750000000000256e+01,2.771888691247660130e+00,2.478625000000000256e+01,2.772250000000000014e+01,9.600025379940150927e+00,9.588379038827044454e+00,1.344727110459927877e-01,9.517689684569479169e+00,9.654765332565506952e+00,1.971631745241556644e+01,1.925605553866423492e+01,2.403678090415863444e+00,1.837412235415591155e+01,2.000406727651690630e+01,1.470369122914226523e+01,1.438795986622073642e+01,1.667958556434666617e+00,1.380416881775942173e+01,1.494341144731274085e+01,-2.526260866695933416e+01,-2.212516526171435061e+01,1.643450260981374456e+01,-2.489749844048411376e+01,-1.380067600835815433e+01,4.350000000000000000e+02,4.330000000000000000e+02,2.886289428776446897e+01,4.162500000000000000e+02,4.572500000000000000e+02,7.993333333333333712e+01,7.900000000000000000e+01,1.707226470689293762e+01,6.750000000000000000e+01,9.150000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.316561177208766642e+00,1.200000000000000000e+01,1.400000000000000000e+01,6.403333333333333144e+01,6.050000000000000000e+01,1.995074490394336308e+01,5.150000000000000000e+01,6.850000000000000000e+01,4.479999999999999716e+01,4.250000000000000000e+01,1.305730957484478516e+01,3.625000000000000000e+01,4.700000000000000000e+01,4.566666666666666430e+00,4.000000000000000000e+00,1.874092372916079441e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.974344253540038840e-01,2.468628883361816129e-01,1.464148232854355636e-01,2.091991305351257324e-01,3.476161360740661066e-01,1.986890958944956509e+01,1.287910044193267822e+01,1.746627396746253424e+01,9.835477232933044434e+00,1.517784732580184937e+01,5.836666666666666288e+02,5.835000000000000000e+02,2.845854685132199435e+01,5.600000000000000000e+02,6.100000000000000000e+02,5.136111111111111427e+01,5.137500000000000000e+01,2.371545570943498049e+00,4.916666666666667140e+01,5.333333333333333570e+01
nan,nan,nan,nan,nan,2.792450000000000898e+01,2.766499999999999915e+01,3.902489664731136454e+00,2.591874999999999929e+01,2.907124999999999915e+01,9.600748115128260096e+00,9.586330935251798024e+00,1.765579997076521801e-01,9.499152019734813379e+00,9.677536231884058537e+00,1.972962721233428951e+01,1.930634531590413872e+01,2.742040284400877326e+00,1.832579022988505812e+01,2.018281353682813517e+01,1.471141807200323548e+01,1.440265700483091926e+01,1.920140667605803486e+00,1.372442528735632017e+01,1.500941186675919425e+01,-2.526260866695933416e+01,-2.212516526171435061e+01,1.643450260981374456e+01,-2.489749844048411376e+01,-1.380067600835815433e+01,4.971999999999999886e+02,5.025000000000000000e+02,3.188876500169508788e+01,4.725000000000000000e+02,5.210000000000000000e+02,7.786666666666666003e+01,7.650000000000000000e+01,1.753231936231548005e+01,6.550000000000000000e+01,8.425000000000000000e+01,1.276666666666666750e+01,1.300000000000000000e+01,9.551032521262935449e-01,1.200000000000000000e+01,1.300000000000000000e+01,5.776666666666666572e+01,5.600000000000000000e+01,1.742160217150599166e+01,4.625000000000000000e+01,6.300000000000000000e+01,4.113333333333333286e+01,4.150000000000000000e+01,1.242506427436985739e+01,3.350000000000000000e+01,4.475000000000000000e+01,4.833333333333333037e+00,4.000000000000000000e+00,1.654958878307521086e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.185474634170532005e-01,3.502110242843627930e-01,1.166813034046741970e-01,2.198622226715087613e-01,3.970393538475036066e-01,2.018745705286661618e+01,1.315554940700531006e+01,1.749913470264094073e+01,1.015113222599029541e+01,1.556952911615371704e+01,6.769666666666666970e+02,6.740000000000000000e+02,3.176002029106545166e+01,6.525000000000000000e+02,6.995000000000000000e+02,5.164523809523809916e+01,5.185714285714285410e+01,2.268572877933247689e+00,5.003571428571428470e+01,5.339285714285714590e+01
nan,nan,nan,nan,nan,2.955933333333333124e+01,2.910750000000000171e+01,4.689566030621123538e+00,2.709499999999999886e+01,3.105999999999999872e+01,9.638363348862901248e+00,9.619286510590859152e+00,1.564192828902320476e-01,9.546788118232369058e+00,9.699460431654674863e+00,2.014743482829573651e+01,1.954593993325917722e+01,2.823594844450564523e+00,1.918219931097375408e+01,2.036348067576949816e+01,1.499637070970314667e+01,1.458321678321678405e+01,1.974263303083015675e+00,1.425945974353584234e+01,1.516302681992337220e+01,-2.488857864628904792e+01,-2.212516526171435061e+01,1.676023463893666943e+01,-2.489749844048411376e+01,-1.313974634177486855e+01,5.553999999999999773e+02,5.585000000000000000e+02,3.554958977728622926e+01,5.270000000000000000e+02,5.812500000000000000e+02,8.023333333333333428e+01,7.600000000000000000e+01,2.127233466787842531e+01,6.700000000000000000e+01,9.000000000000000000e+01,1.319999999999999929e+01,1.300000000000000000e+01,1.600000000000000089e+00,1.200000000000000000e+01,1.375000000000000000e+01,6.743333333333333712e+01,6.000000000000000000e+01,2.342603015640697350e+01,5.100000000000000000e+01,7.850000000000000000e+01,4.773333333333333428e+01,4.300000000000000000e+01,1.595187206011326531e+01,3.650000000000000000e+01,5.475000000000000000e+01,5.633333333333333748e+00,6.000000000000000000e+00,1.816284363443370298e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.268865744272868024e-01,3.457255363464355469e-01,1.419139196724536756e-01,2.226489186286925714e-01,4.494166970252990723e-01,2.051434362729390415e+01,1.362133848667144775e+01,1.751724284922397246e+01,1.047201400995254517e+01,1.597743612527847290e+01,7.737999999999999545e+02,7.720000000000000000e+02,3.433210353784534874e+01,7.485000000000000000e+02,7.987500000000000000e+02,5.163750000000000284e+01,5.175000000000000000e+01,2.145756471115334740e+00,5.007812500000000000e+01,5.321875000000000000e+01
nan,nan,nan,nan,nan,3.095866666666667300e+01,2.976749999999999829e+01,5.657909203544677190e+00,2.840250000000000341e+01,3.281875000000000142e+01,9.674654502639308262e+00,9.630355117354508110e+00,2.270669858831254606e-01,9.525659274797721565e+00,9.750345208505937222e+00,2.071786338654274928e+01,2.000337742087859993e+01,4.228225279650808410e+00,1.886226114649681307e+01,2.096875157311854920e+01,1.538716210640469484e+01,1.486108431410379893e+01,2.973071558594061692e+00,1.415785134449518168e+01,1.555528567832871900e+01,-2.488857864628904792e+01,-2.212516526171435061e+01,1.676023463893666943e+01,-2.489749844048411376e+01,-1.313974634177486855e+01,6.124666666666666970e+02,6.150000000000000000e+02,4.128739382534200075e+01,5.825000000000000000e+02,6.447500000000000000e+02,8.623333333333333428e+01,8.300000000000000000e+01,2.344025502326191912e+01,7.225000000000000000e+01,9.900000000000000000e+01,1.316666666666666607e+01,1.300000000000000000e+01,1.343709624716425077e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.289999999999999858e+01,5.850000000000000000e+01,2.095129272065727832e+01,5.100000000000000000e+01,6.825000000000000000e+01,4.429999999999999716e+01,4.150000000000000000e+01,1.460399488724460682e+01,3.625000000000000000e+01,4.800000000000000000e+01,5.433333333333333570e+00,5.500000000000000000e+00,1.745152015027789494e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.207352558771769391e-01,3.230679035186767578e-01,1.373718498494123086e-01,2.264670729637145441e-01,4.180724024772644043e-01,2.083507888317108225e+01,1.387560403347015381e+01,1.758344346690395099e+01,1.079733866453170599e+01,1.632397782802581787e+01,8.712333333333333485e+02,8.670000000000000000e+02,3.890217074777304163e+01,8.465000000000000000e+02,9.027500000000000000e+02,5.159814814814815520e+01,5.183333333333333570e+01,2.161231708209614411e+00,4.984722222222222143e+01,5.297222222222222143e+01
nan,nan,nan,nan,nan,3.225583333333332803e+01,3.131750000000000256e+01,6.777624840032253850e+00,2.889000000000000057e+01,3.422249999999999659e+01,9.689717835486927555e+00,9.680685511671427435e+00,2.255148830013445072e-01,9.582071194289021321e+00,9.752370642996320171e+00,2.083275994830785649e+01,1.992327816068823410e+01,4.724450826342660115e+00,1.904402752392216058e+01,2.091309631985460982e+01,1.547126682021382393e+01,1.477760728480152963e+01,3.326780354345089119e+00,1.422007042253521192e+01,1.543533702213279746e+01,-2.425471229556149666e+01,-2.212516526171435061e+01,1.706780678134284557e+01,-2.489749844048411376e+01,-1.231843968459460470e+01,6.702999999999999545e+02,6.760000000000000000e+02,4.792713219044093620e+01,6.337500000000000000e+02,6.992500000000000000e+02,8.729999999999999716e+01,8.500000000000000000e+01,2.510265590198243046e+01,7.250000000000000000e+01,9.400000000000000000e+01,1.340000000000000036e+01,1.300000000000000000e+01,1.113552872566004437e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.263333333333333286e+01,5.950000000000000000e+01,1.955587436608811203e+01,5.000000000000000000e+01,6.900000000000000000e+01,4.393333333333333002e+01,4.200000000000000000e+01,1.356695331392506354e+01,3.550000000000000000e+01,4.950000000000000000e+01,5.400000000000000355e+00,5.000000000000000000e+00,1.890326250501043415e+00,4.250000000000000000e+00,6.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.256498177846272601e-01,3.438334465026855469e-01,1.412685286055845035e-01,2.139502167701720914e-01,4.152897000312804621e-01,2.116072870095570835e+01,1.429776358604431152e+01,1.760296679385347929e+01,1.115060085058212280e+01,1.686250561475753784e+01,9.670000000000000000e+02,9.650000000000000000e+02,4.367913308053018540e+01,9.422500000000000000e+02,1.002500000000000000e+03,5.164999999999999858e+01,5.175000000000000000e+01,2.183956654026507849e+00,4.987500000000000711e+01,5.288750000000000284e+01
