ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.89	9.5	29.95	22.09	-inf	0	0	73	10	71	49	13	9	11	9	0	0	56.15163803100586	200	56.15163803100586	198	1.0	
-inf	33.88	9.579710144927537	19.92753623188406	14.942028985507246	-inf	1	131	87	12.0	50.0	36.0	2	9.0	11.0	9.0	0	0	0.6231019496917725	400	56.77473998069763	252	37.0	
-inf	28.985	9.659340659340659	19.692307692307693	14.868131868131869	-inf	2	240	76	13.0	51.0	37.0	1	9.0	11.0	9.0	0	0	0.5463569164276123	600	57.321096897125244	312	48.0	
-inf	25.975	9.601851851851851	20.166666666666668	15.101851851851851	-inf	3	332	72	13.0	82.0	60.0	3	9.0	11.0	9.0	0	0	0.14829182624816895	800	57.46938872337341	376	53.0	
-inf	25.14	9.658536585365853	20.51219512195122	15.24390243902439	-inf	4	409	86	15.0	95.0	65.0	1	9.0	11.0	9.0	0	0	0.2840092182159424	1000	57.753397941589355	454	54.6	
-inf	25.765	9.674603174603174	19.72222222222222	14.666666666666666	-inf	5	483	77	15.0	95.0	65.0	3	9.0	11.0	9.0	0	0	0.16574692726135254	1200	57.91914486885071	532	55.666666666666664	
-inf	27.175	9.820143884892087	20.633093525179856	15.273381294964029	-inf	6	544	83	13.0	51.0	35.0	1	9.0	11.0	9.0	0	0	0.09560894966125488	1400	58.01475381851196	633	54.785714285714285	
-inf	27.775	9.833333333333334	21.297101449275363	15.666666666666666	-inf	7	606	62	15.0	84.0	57.0	7	9.0	11.0	9.0	0	0	0.11384224891662598	1600	58.12859606742859	728	54.5	
-inf	28.17	9.687943262411348	19.886524822695037	14.73049645390071	-inf	8	665	63	13.0	51.0	36.0	6	9.0	11.0	9.0	0	0	0.15191864967346191	1800	58.28051471710205	823	54.27777777777778	
-inf	28.15	9.826086956521738	20.608695652173914	15.210144927536232	-inf	9	727	68	13.0	55.0	38.0	3	9.0	11.0	9.0	0	0	0.1311502456665039	2000	58.411664962768555	914	54.3	
