# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,3.336433333333334161e+01,3.358749999999999858e+01,5.970186112863002936e-01,3.289999999999999858e+01,3.383124999999999716e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,3.041550000000000509e+01,3.060000000000000142e+01,5.928931185298069728e-01,2.994624999999999915e+01,3.077500000000000213e+01,2.240899999999999537e+01,2.254749999999999943e+01,3.988429097610568519e-01,2.209250000000000114e+01,2.272125000000000128e+01,nan,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.423333333333333428e+01,7.500000000000000000e+01,2.836468853267307466e+00,7.225000000000000000e+01,7.600000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.193333333333333712e+01,7.200000000000000000e+01,3.255081497528987455e+00,6.925000000000000000e+01,7.400000000000000000e+01,4.966666666666666430e+01,5.000000000000000000e+01,1.867856763482920179e+00,4.825000000000000000e+01,5.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.904010071754455424e+01,9.236432909965513360e+00,2.031920138100913320e+01,8.074951291084289551e+00,1.316696077585220337e+01,1.904010071754455424e+01,9.236432909965513360e+00,2.031920138100913320e+01,8.074951291084289551e+00,1.316696077585220337e+01,1.948000000000000114e+02,1.945000000000000000e+02,2.103964511741266197e+00,1.932500000000000000e+02,1.967500000000000000e+02,2.600000000000000089e+00,2.750000000000000000e+00,1.051982255870633320e+00,1.625000000000000000e+00,3.375000000000000000e+00
nan,nan,nan,nan,nan,3.286166666666665748e+01,3.269249999999999545e+01,1.906216730128613479e+00,3.166375000000000028e+01,3.413875000000000171e+01,9.568399674084483664e+00,9.556466302367940813e+00,1.098720816670167855e-01,9.491914045192732630e+00,9.629774305555555358e+00,2.022508253127915623e+01,1.990661276948590341e+01,1.544795470438787621e+00,1.943095238095238031e+01,2.122564935064934843e+01,1.514375875373232638e+01,1.490851449275362306e+01,1.088906284076197606e+00,1.455595238095238031e+01,1.578785030758714925e+01,-1.267365578044706780e+02,-1.267365578044706780e+02,0.000000000000000000e+00,-1.267365578044706780e+02,-1.267365578044706780e+02,1.309000000000000057e+02,1.330000000000000000e+02,6.273489193954723042e+00,1.272500000000000000e+02,1.350000000000000000e+02,9.043333333333333712e+01,8.900000000000000000e+01,8.507578321055225601e+00,8.525000000000000000e+01,9.500000000000000000e+01,1.246666666666666679e+01,1.200000000000000000e+01,8.844332774281062903e-01,1.200000000000000000e+01,1.300000000000000000e+01,7.006666666666666288e+01,7.450000000000000000e+01,1.585756041206282774e+01,5.775000000000000000e+01,8.150000000000000000e+01,5.023333333333333428e+01,5.250000000000000000e+01,1.092606465699745399e+01,4.225000000000000000e+01,5.775000000000000000e+01,4.466666666666666785e+00,4.000000000000000000e+00,2.093375795747677515e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.643643299738566155e-01,1.811449527740478516e-01,2.283026800644591958e-01,1.153141856193542203e-01,3.375752568244934082e-01,1.930446504751841275e+01,9.455922007560729980e+00,2.051542282184150423e+01,8.288726866245269775e+00,1.326896291971206487e+01,2.457666666666666799e+02,2.470000000000000000e+02,6.031491431552305826e+00,2.415000000000000000e+02,2.497500000000000000e+02,3.855833333333333002e+01,3.824999999999999289e+01,1.507872857888076013e+00,3.756250000000000000e+01,3.962500000000000000e+01
nan,nan,nan,nan,nan,2.699849999999999639e+01,2.621999999999999886e+01,2.333727758330007784e+00,2.523624999999999829e+01,2.880000000000000071e+01,9.635349513670018240e+00,9.642857142857142350e+00,1.202556601604261449e-01,9.562647521636506553e+00,9.698213156230234944e+00,1.999003670314435155e+01,1.982860465116279158e+01,1.388364223361568950e+00,1.896280927027873275e+01,2.049184782608695699e+01,1.492271319505174532e+01,1.487406593406593558e+01,9.679810939552260241e-01,1.417843720638897587e+01,1.528536242083040086e+01,-1.267365578044706780e+02,-1.267365578044706780e+02,0.000000000000000000e+00,-1.267365578044706780e+02,-1.267365578044706780e+02,2.331333333333333258e+02,2.335000000000000000e+02,1.287823314313298440e+01,2.292500000000000000e+02,2.390000000000000000e+02,8.483333333333332860e+01,8.450000000000000000e+01,1.018522895613490320e+01,7.725000000000000000e+01,9.200000000000000000e+01,1.293333333333333357e+01,1.300000000000000000e+01,1.289271973720914621e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.879999999999999716e+01,7.000000000000000000e+01,1.722091751330341225e+01,5.650000000000000000e+01,7.600000000000000000e+01,4.856666666666666998e+01,5.000000000000000000e+01,1.164669719515174862e+01,3.925000000000000000e+01,5.475000000000000000e+01,3.733333333333333393e+00,3.500000000000000000e+00,1.896195020443718793e+00,3.000000000000000000e+00,4.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.457475026448567801e-01,7.123100757598874178e-02,1.551544602030104358e-01,5.788475275039665219e-02,1.523805856704711359e-01,1.945021255016326833e+01,9.548773527145385742e+00,2.063477336146565477e+01,8.359409093856811523e+00,1.333203005790710449e+01,3.079333333333333371e+02,3.090000000000000000e+02,1.107228772908090342e+01,3.030000000000000000e+02,3.137500000000000000e+02,4.867777777777778425e+01,4.850000000000000000e+01,1.845381288180149904e+00,4.770833333333333570e+01,4.950000000000000000e+01
nan,nan,nan,nan,nan,2.545633333333333681e+01,2.554500000000000171e+01,1.910293142135229383e+00,2.394125000000000014e+01,2.661124999999999829e+01,9.652325045173970608e+00,9.630063006300630946e+00,1.249199007440943976e-01,9.558918918918919871e+00,9.731539575289575694e+00,1.968890989313401363e+01,1.942707010414020630e+01,1.368217617985345802e+00,1.871562393162393079e+01,2.058745575933075855e+01,1.467657513881271569e+01,1.441862458724917317e+01,9.391906464593656745e-01,1.399558974358974339e+01,1.530001653439153486e+01,-1.139441388190664810e+02,-1.139441388190664810e+02,0.000000000000000000e+00,-1.139441388190664810e+02,-1.139441388190664810e+02,3.153666666666666742e+02,3.160000000000000000e+02,1.910232679253731192e+01,3.032500000000000000e+02,3.270000000000000000e+02,8.003333333333333144e+01,7.900000000000000000e+01,1.481999400209805096e+01,7.025000000000000000e+01,8.600000000000000000e+01,1.350000000000000000e+01,1.300000000000000000e+01,1.335415041600675368e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.926666666666666572e+01,6.800000000000000000e+01,1.527728888106641847e+01,6.100000000000000000e+01,7.775000000000000000e+01,4.853333333333333144e+01,4.750000000000000000e+01,1.022654497971930709e+01,4.225000000000000000e+01,5.450000000000000000e+01,3.200000000000000178e+00,3.000000000000000000e+00,1.492201952373292784e+00,2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.288883606592814146e-01,8.428585529327389803e-02,9.310596997817155440e-02,5.344146490097044511e-02,1.913208961486816406e-01,1.957910091082255022e+01,9.682729601860046387e+00,2.068883628405728103e+01,8.430426895618438721e+00,1.340943896770477117e+01,3.838666666666666742e+02,3.865000000000000000e+02,1.580871770750415806e+01,3.742500000000000000e+02,3.920000000000000000e+02,5.201666666666666572e+01,5.168750000000000000e+01,1.976089713438019535e+00,5.100000000000000000e+01,5.321875000000000000e+01
nan,nan,nan,nan,nan,2.577466666666667194e+01,2.545250000000000057e+01,1.997332777035970564e+00,2.386749999999999972e+01,2.746499999999999986e+01,9.689493310396260384e+00,9.680890369473047485e+00,1.149046811131385487e-01,9.616452991452991483e+00,9.781796874999999503e+00,1.984824382956746547e+01,1.986153846153846203e+01,1.369523111472166210e+00,1.885826771653542977e+01,2.065110153256705061e+01,1.477332141255788400e+01,1.471923076923076934e+01,9.300566993652313874e-01,1.414763779527559073e+01,1.534341397849462396e+01,-9.207918110603536377e+01,-9.207918110603536377e+01,0.000000000000000000e+00,-9.207918110603536377e+01,-9.207918110603536377e+01,3.874666666666666401e+02,3.860000000000000000e+02,2.141141959069712897e+01,3.730000000000000000e+02,4.037500000000000000e+02,7.640000000000000568e+01,7.300000000000000000e+01,1.200444362170386725e+01,7.000000000000000000e+01,8.600000000000000000e+01,1.343333333333333357e+01,1.300000000000000000e+01,1.430229196861661833e+00,1.225000000000000000e+01,1.400000000000000000e+01,6.650000000000000000e+01,6.000000000000000000e+01,1.856295594277305128e+01,5.425000000000000000e+01,7.800000000000000000e+01,4.623333333333333428e+01,4.250000000000000000e+01,1.201300221519259637e+01,3.825000000000000000e+01,5.275000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,1.648231375343482075e+00,3.000000000000000000e+00,5.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.447443405787150195e-01,1.063933372497558039e-01,1.041526889269092510e-01,6.394565105438226871e-02,2.018414735794066828e-01,1.972384525140126499e+01,9.841245174407958984e+00,2.074185372992630860e+01,8.491947829723358154e+00,1.363071763515472412e+01,4.646666666666666856e+02,4.645000000000000000e+02,1.910904381583640088e+01,4.545000000000000000e+02,4.742500000000000000e+02,5.353333333333333144e+01,5.354999999999999716e+01,1.910904381583640399e+00,5.257500000000000284e+01,5.454999999999999716e+01
nan,nan,nan,nan,nan,2.740933333333333621e+01,2.675999999999999801e+01,2.693755969315376309e+00,2.532625000000000171e+01,2.936625000000000085e+01,9.706434653182379080e+00,9.703079178885630540e+00,1.260765428948699696e-01,9.646485888212506410e+00,9.765115567120771445e+00,2.001227506158435787e+01,1.995201048951049216e+01,1.663465545005037072e+00,1.904347160569416531e+01,2.068456572769952828e+01,1.486089744925183354e+01,1.481364155251141490e+01,1.127266630914193879e+00,1.423886422776672411e+01,1.532739143192488385e+01,-8.205885536548012738e+01,-8.205885536548012738e+01,0.000000000000000000e+00,-8.205885536548012738e+01,-8.205885536548012738e+01,4.525666666666666629e+02,4.530000000000000000e+02,2.335192116769458082e+01,4.362500000000000000e+02,4.707500000000000000e+02,7.386666666666666003e+01,7.350000000000000000e+01,1.199092249254502818e+01,6.500000000000000000e+01,8.375000000000000000e+01,1.356666666666666643e+01,1.350000000000000000e+01,1.116044602852213741e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.623333333333333428e+01,6.250000000000000000e+01,1.533988990254565543e+01,5.700000000000000000e+01,7.800000000000000000e+01,4.576666666666666572e+01,4.400000000000000000e+01,1.071037918200015149e+01,3.900000000000000000e+01,5.300000000000000000e+01,4.866666666666666252e+00,4.500000000000000000e+00,1.726911179598482615e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.031140645345052342e-01,1.132450103759765486e-01,9.170311432031654775e-01,6.854337453842160310e-02,1.694188714027404508e-01,2.002695931593576972e+01,1.001442706584930420e+01,2.111277041266782462e+01,8.569682061672210693e+00,1.372919321060180842e+01,5.540000000000000000e+02,5.510000000000000000e+02,2.316462820767905129e+01,5.350000000000000000e+02,5.677500000000000000e+02,5.383333333333334281e+01,5.408333333333333570e+01,1.930385683973255162e+00,5.268750000000000000e+01,5.541666666666667140e+01
nan,nan,nan,nan,nan,2.857449999999999690e+01,2.807999999999999829e+01,2.726910446518794995e+00,2.678750000000000142e+01,3.103500000000000014e+01,9.799131950522935952e+00,9.805218855218857499e+00,1.551913700240825922e-01,9.671878483835003593e+00,9.908198184793928220e+00,2.080218071927224344e+01,2.057913669064748063e+01,2.125632801784206993e+00,1.974423076923076792e+01,2.173252128666035787e+01,1.539399216302148155e+01,1.521582733812949684e+01,1.476122450151980514e+00,1.472158555729984286e+01,1.601590586565751906e+01,-8.205885536548012738e+01,-8.205885536548012738e+01,0.000000000000000000e+00,-8.205885536548012738e+01,-8.205885536548012738e+01,5.146333333333333258e+02,5.090000000000000000e+02,2.837426455238776768e+01,4.985000000000000000e+02,5.385000000000000000e+02,7.743333333333333712e+01,7.850000000000000000e+01,1.116447739733282418e+01,7.200000000000000000e+01,8.300000000000000000e+01,1.373333333333333250e+01,1.400000000000000000e+01,1.030641655582687166e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.856666666666666288e+01,6.300000000000000000e+01,1.808255758704749283e+01,5.350000000000000000e+01,8.200000000000000000e+01,4.743333333333333002e+01,4.400000000000000000e+01,1.265617986949019524e+01,3.800000000000000000e+01,5.550000000000000000e+01,4.799999999999999822e+00,5.500000000000000000e+00,2.055885859347903022e+00,3.250000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597913662592569950e-01,1.171320676803588590e-01,1.474694611410096445e-01,7.401657104492184724e-02,1.728106737136840265e-01,2.018675068219502933e+01,1.016118144989013672e+01,2.117277768820718009e+01,8.692915797233581543e+00,1.386192387342453003e+01,6.459333333333332803e+02,6.430000000000000000e+02,2.776920756681560221e+01,6.300000000000000000e+02,6.620000000000000000e+02,5.386190476190474641e+01,5.407142857142856940e+01,1.983514826201113745e+00,5.271428571428571530e+01,5.500000000000000000e+01
nan,nan,nan,nan,nan,3.013816666666665967e+01,3.052749999999999986e+01,2.963697713817805557e+00,2.810624999999999929e+01,3.236249999999999716e+01,9.770864831298023745e+00,9.726389284696494997e+00,1.631475729219356574e-01,9.675910636231179751e+00,9.833333333333333925e+00,2.052394919664690320e+01,2.033202898550724314e+01,2.087855295241291653e+00,1.935634848138844433e+01,2.119944479199249443e+01,1.521047372695569422e+01,1.502014492753623287e+01,1.436394724697243497e+00,1.439479759350806809e+01,1.562230215827338142e+01,-6.655695772445078262e+01,-6.655695772445078262e+01,0.000000000000000000e+00,-6.655695772445078262e+01,-6.655695772445078262e+01,5.731000000000000227e+02,5.730000000000000000e+02,3.228967843341480659e+01,5.530000000000000000e+02,5.972500000000000000e+02,7.770000000000000284e+01,7.850000000000000000e+01,1.161364140425674840e+01,7.000000000000000000e+01,8.550000000000000000e+01,1.383333333333333393e+01,1.400000000000000000e+01,1.185561282918582648e+00,1.300000000000000000e+01,1.500000000000000000e+01,6.543333333333333712e+01,6.550000000000000000e+01,1.396109674138182299e+01,5.025000000000000000e+01,7.950000000000000000e+01,4.556666666666666998e+01,4.650000000000000000e+01,9.759382949528905726e+00,3.525000000000000000e+01,5.600000000000000000e+01,5.000000000000000000e+00,5.500000000000000000e+00,2.160246899469286941e+00,3.000000000000000000e+00,6.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.710123697916666741e-01,1.018284559249877375e-01,2.843583104630811875e-01,6.410384178161619706e-02,1.311127543449401578e-01,2.035776305198669434e+01,1.024800050258636475e+01,2.130419449915300945e+01,8.764456272125244141e+00,1.394560891389846802e+01,7.366000000000000227e+02,7.325000000000000000e+02,3.227548088978173979e+01,7.232500000000000000e+02,7.535000000000000000e+02,5.396249999999999858e+01,5.421875000000000000e+01,2.017217555611358293e+00,5.290625000000000000e+01,5.479687500000000000e+01
nan,nan,nan,nan,nan,3.100050000000000239e+01,3.142500000000000071e+01,3.049815117347279614e+00,2.865875000000000128e+01,3.364625000000000199e+01,9.786844553533354585e+00,9.765123060195708860e+00,1.805295553560488653e-01,9.677506744604317035e+00,9.870535714285715301e+00,2.069144084956353424e+01,2.011039208222306840e+01,2.300392380180413365e+00,1.943818221830986204e+01,2.139525572784077667e+01,1.532812804861939071e+01,1.490959269128283182e+01,1.579374083326421374e+00,1.449393214633714244e+01,1.584081375838926142e+01,-3.744577889273891458e+01,-3.744577889273891458e+01,0.000000000000000000e+00,-3.744577889273891458e+01,-3.744577889273891458e+01,6.301666666666666288e+02,6.295000000000000000e+02,3.772628025955145858e+01,6.060000000000000000e+02,6.595000000000000000e+02,8.316666666666667140e+01,8.450000000000000000e+01,1.402398738669648814e+01,7.450000000000000000e+01,8.900000000000000000e+01,1.373333333333333250e+01,1.400000000000000000e+01,9.637888196533973550e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.470000000000000284e+01,6.800000000000000000e+01,1.607513608029493568e+01,5.525000000000000000e+01,7.375000000000000000e+01,4.500000000000000000e+01,4.700000000000000000e+01,1.113552872566004304e+01,3.825000000000000000e+01,5.175000000000000000e+01,5.166666666666666963e+00,5.000000000000000000e+00,1.694763175851488279e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.576983372370402148e-01,1.021729707717895508e-01,1.717070682982365371e-01,6.210404634475707314e-02,1.790713071823119840e-01,2.051546138922373430e+01,1.039929354190826416e+01,2.139978061154609890e+01,8.933617651462554932e+00,1.410407704114913940e+01,8.308999999999999773e+02,8.280000000000000000e+02,3.910187548784158196e+01,8.135000000000000000e+02,8.505000000000000000e+02,5.383888888888888147e+01,5.400000000000000000e+01,2.172326415991199688e+00,5.275000000000000000e+01,5.480555555555555713e+01
nan,nan,nan,nan,nan,3.190566666666666507e+01,3.179999999999999716e+01,3.643576021194318226e+00,2.995374999999999943e+01,3.331625000000000369e+01,9.832393274142335216e+00,9.809505309505309967e+00,2.080314332816323164e-01,9.703629637036296884e+00,9.920492941448738833e+00,2.108624669540017038e+01,2.054136081309994211e+01,2.710564464366643556e+00,1.964346744804491252e+01,2.205764400708197925e+01,1.560423106183444197e+01,1.518531937734836390e+01,1.886692200929118046e+00,1.463455045340536387e+01,1.618797093095071560e+01,-3.744577889273891458e+01,-3.744577889273891458e+01,0.000000000000000000e+00,-3.744577889273891458e+01,-3.744577889273891458e+01,6.828333333333333712e+02,6.790000000000000000e+02,4.198736582460119848e+01,6.572500000000000000e+02,7.107500000000000000e+02,8.396666666666666856e+01,8.400000000000000000e+01,1.555095566909706584e+01,7.375000000000000000e+01,9.100000000000000000e+01,1.369999999999999929e+01,1.350000000000000000e+01,8.999999999999998002e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.540000000000000568e+01,6.300000000000000000e+01,1.444437606821423081e+01,5.500000000000000000e+01,7.075000000000000000e+01,4.560000000000000142e+01,4.400000000000000000e+01,9.786385100400114112e+00,3.900000000000000000e+01,5.000000000000000000e+01,5.700000000000000178e+00,6.000000000000000000e+00,2.035517952102936956e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.541212240854899218e-01,1.058202981948852539e-01,1.569614263630948747e-01,8.182942867279047183e-02,1.589409112930297574e-01,2.066958261330922397e+01,1.054505801200866877e+01,2.146653767128959700e+01,9.042727768421173096e+00,1.420271068811416804e+01,9.282000000000000455e+02,9.265000000000000000e+02,4.411001398019880071e+01,9.077500000000000000e+02,9.555000000000000000e+02,5.358999999999999631e+01,5.367499999999999716e+01,2.205500699009938614e+00,5.222500000000000142e+01,5.461249999999999716e+01
