# ave_fitness_mean,ave_fitness_median,ave_fitness_std,ave_fitness_quantile1,ave_fitness_quantile2,ave_genome_length_mean,ave_genome_length_median,ave_genome_length_std,ave_genome_length_quantile1,ave_genome_length_quantile2,ave_tree_depth_mean,ave_tree_depth_median,ave_tree_depth_std,ave_tree_depth_quantile1,ave_tree_depth_quantile2,ave_tree_nodes_mean,ave_tree_nodes_median,ave_tree_nodes_std,ave_tree_nodes_quantile1,ave_tree_nodes_quantile2,ave_used_codons_mean,ave_used_codons_median,ave_used_codons_std,ave_used_codons_quantile1,ave_used_codons_quantile2,best_fitness_mean,best_fitness_median,best_fitness_std,best_fitness_quantile1,best_fitness_quantile2,invalids_mean,invalids_median,invalids_std,invalids_quantile1,invalids_quantile2,max_genome_length_mean,max_genome_length_median,max_genome_length_std,max_genome_length_quantile1,max_genome_length_quantile2,max_tree_depth_mean,max_tree_depth_median,max_tree_depth_std,max_tree_depth_quantile1,max_tree_depth_quantile2,max_tree_nodes_mean,max_tree_nodes_median,max_tree_nodes_std,max_tree_nodes_quantile1,max_tree_nodes_quantile2,max_used_codons_mean,max_used_codons_median,max_used_codons_std,max_used_codons_quantile1,max_used_codons_quantile2,min_genome_length_mean,min_genome_length_median,min_genome_length_std,min_genome_length_quantile1,min_genome_length_quantile2,min_tree_depth_mean,min_tree_depth_median,min_tree_depth_std,min_tree_depth_quantile1,min_tree_depth_quantile2,min_tree_nodes_mean,min_tree_nodes_median,min_tree_nodes_std,min_tree_nodes_quantile1,min_tree_nodes_quantile2,min_used_codons_mean,min_used_codons_median,min_used_codons_std,min_used_codons_quantile1,min_used_codons_quantile2,runtime_error_mean,runtime_error_median,runtime_error_std,runtime_error_quantile1,runtime_error_quantile2,time_taken_mean,time_taken_median,time_taken_std,time_taken_quantile1,time_taken_quantile2,total_time_mean,total_time_median,total_time_std,total_time_quantile1,total_time_quantile2,unique_inds_mean,unique_inds_median,unique_inds_std,unique_inds_quantile1,unique_inds_quantile2,unused_search_mean,unused_search_median,unused_search_std,unused_search_quantile1,unused_search_quantile2
nan,nan,nan,nan,nan,3.336433333333333451e+01,3.358749999999999858e+01,5.970186112863001826e-01,3.289999999999999858e+01,3.383124999999999716e+01,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,3.041550000000000153e+01,3.060000000000000142e+01,5.928931185298070838e-01,2.994624999999999915e+01,3.077500000000000213e+01,2.240899999999999892e+01,2.254749999999999943e+01,3.988429097610568519e-01,2.209250000000000114e+01,2.272125000000000128e+01,nan,nan,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.423333333333333428e+01,7.500000000000000000e+01,2.836468853267307466e+00,7.225000000000000000e+01,7.600000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.193333333333333712e+01,7.200000000000000000e+01,3.255081497528987455e+00,6.925000000000000000e+01,7.400000000000000000e+01,4.966666666666666430e+01,5.000000000000000000e+01,1.867856763482920179e+00,4.825000000000000000e+01,5.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.494505754311879286e+01,8.553185582160949707e+00,6.662535137509148342e+01,7.725426554679870605e+00,1.107755029201507568e+01,4.494505754311879286e+01,8.553185582160949707e+00,6.662535137509148342e+01,7.725426554679870605e+00,1.107755029201507568e+01,1.948000000000000114e+02,1.945000000000000000e+02,2.103964511741266197e+00,1.932500000000000000e+02,1.967500000000000000e+02,2.600000000000000089e+00,2.750000000000000000e+00,1.051982255870633320e+00,1.625000000000000000e+00,3.375000000000000000e+00
nan,nan,nan,nan,nan,3.286166666666665748e+01,3.269249999999999545e+01,1.906216730128613479e+00,3.166375000000000028e+01,3.413875000000000171e+01,9.568399674084483664e+00,9.556466302367940813e+00,1.098720816670167716e-01,9.491914045192732630e+00,9.629774305555555358e+00,2.022508253127915978e+01,1.990661276948590341e+01,1.544795470438787621e+00,1.943095238095238031e+01,2.122564935064934843e+01,1.514375875373232638e+01,1.490851449275362306e+01,1.088906284076197606e+00,1.455595238095238031e+01,1.578785030758714925e+01,-1.264194249837072164e+02,-1.264194249837072164e+02,0.000000000000000000e+00,-1.264194249837072164e+02,-1.264194249837072164e+02,1.309000000000000057e+02,1.330000000000000000e+02,6.273489193954723042e+00,1.272500000000000000e+02,1.350000000000000000e+02,9.043333333333333712e+01,8.900000000000000000e+01,8.507578321055227377e+00,8.525000000000000000e+01,9.500000000000000000e+01,1.246666666666666679e+01,1.200000000000000000e+01,8.844332774281062903e-01,1.200000000000000000e+01,1.300000000000000000e+01,7.006666666666666288e+01,7.450000000000000000e+01,1.585756041206282951e+01,5.775000000000000000e+01,8.150000000000000000e+01,5.023333333333333428e+01,5.250000000000000000e+01,1.092606465699745222e+01,4.225000000000000000e+01,5.775000000000000000e+01,4.466666666666666785e+00,4.000000000000000000e+00,2.093375795747677959e+00,3.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.679752906163533677e-01,1.369893550872802457e-01,4.698835195862671177e-01,7.267928123474121094e-02,3.106974959373473566e-01,4.531303283373515001e+01,8.675839066505432129e+00,6.705841789801675645e+01,7.811681985855102539e+00,1.115924674272537231e+01,2.457666666666666799e+02,2.470000000000000000e+02,6.031491431552306715e+00,2.415000000000000000e+02,2.497500000000000000e+02,3.855833333333333002e+01,3.824999999999999289e+01,1.507872857888076235e+00,3.756250000000000000e+01,3.962500000000000000e+01
nan,nan,nan,nan,nan,2.699849999999999994e+01,2.621999999999999886e+01,2.333727758330007784e+00,2.523624999999999829e+01,2.880000000000000071e+01,9.635349513670016464e+00,9.642857142857142350e+00,1.202556601604261310e-01,9.562647521636506553e+00,9.698213156230234944e+00,1.999003670314435155e+01,1.982860465116279158e+01,1.388364223361569172e+00,1.896280927027873275e+01,2.049184782608695699e+01,1.492271319505174709e+01,1.487406593406593558e+01,9.679810939552260241e-01,1.417843720638897587e+01,1.528536242083040086e+01,-1.264194249837072164e+02,-1.264194249837072164e+02,0.000000000000000000e+00,-1.264194249837072164e+02,-1.264194249837072164e+02,2.331333333333333258e+02,2.335000000000000000e+02,1.287823314313298617e+01,2.292500000000000000e+02,2.390000000000000000e+02,8.483333333333332860e+01,8.450000000000000000e+01,1.018522895613490320e+01,7.725000000000000000e+01,9.200000000000000000e+01,1.293333333333333357e+01,1.300000000000000000e+01,1.289271973720914621e+00,1.200000000000000000e+01,1.300000000000000000e+01,6.879999999999999716e+01,7.000000000000000000e+01,1.722091751330340514e+01,5.650000000000000000e+01,7.600000000000000000e+01,4.856666666666666998e+01,5.000000000000000000e+01,1.164669719515174684e+01,3.925000000000000000e+01,5.475000000000000000e+01,3.733333333333333393e+00,3.500000000000000000e+00,1.896195020443718793e+00,3.000000000000000000e+00,4.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.025061766306559319e-01,8.879685401916499743e-02,4.822034391710319223e-01,5.934518575668329410e-02,2.684924602508544367e-01,4.561553901036580072e+01,8.739503502845764160e+00,6.742627185731461736e+01,7.900681376457214355e+00,1.142997980117797674e+01,3.079333333333333371e+02,3.090000000000000000e+02,1.107228772908090519e+01,3.030000000000000000e+02,3.137500000000000000e+02,4.867777777777778425e+01,4.850000000000000000e+01,1.845381288180149904e+00,4.770833333333333570e+01,4.950000000000000000e+01
nan,nan,nan,nan,nan,2.545633333333333681e+01,2.554500000000000171e+01,1.910293142135229383e+00,2.394125000000000014e+01,2.661124999999999829e+01,9.652325045173968832e+00,9.630063006300630946e+00,1.249199007440943976e-01,9.558918918918919871e+00,9.731539575289575694e+00,1.968890989313401008e+01,1.942707010414020630e+01,1.368217617985345802e+00,1.871562393162393079e+01,2.058745575933075855e+01,1.467657513881271569e+01,1.441862458724917317e+01,9.391906464593657855e-01,1.399558974358974339e+01,1.530001653439153486e+01,-1.147277633244588202e+02,-1.147277633244588202e+02,0.000000000000000000e+00,-1.147277633244588202e+02,-1.147277633244588202e+02,3.153666666666666742e+02,3.160000000000000000e+02,1.910232679253731192e+01,3.032500000000000000e+02,3.270000000000000000e+02,8.003333333333333144e+01,7.900000000000000000e+01,1.481999400209805096e+01,7.025000000000000000e+01,8.600000000000000000e+01,1.350000000000000000e+01,1.300000000000000000e+01,1.335415041600675368e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.926666666666666572e+01,6.800000000000000000e+01,1.527728888106641847e+01,6.100000000000000000e+01,7.775000000000000000e+01,4.853333333333333144e+01,4.750000000000000000e+01,1.022654497971930887e+01,4.225000000000000000e+01,5.450000000000000000e+01,3.200000000000000178e+00,3.000000000000000000e+00,1.492201952373292784e+00,2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.979402939478556500e-01,1.020516157150268000e-01,5.045457519029376003e-01,7.075029611587523026e-02,2.336502671241759976e-01,4.591347930431366109e+01,8.834294080734252930e+00,6.776365191589417236e+01,7.978124678134918213e+00,1.159633684158325195e+01,3.838666666666666742e+02,3.865000000000000000e+02,1.580871770750415806e+01,3.742500000000000000e+02,3.920000000000000000e+02,5.201666666666666572e+01,5.168750000000000000e+01,1.976089713438019535e+00,5.100000000000000000e+01,5.321875000000000000e+01
nan,nan,nan,nan,nan,2.577466666666666484e+01,2.545250000000000057e+01,1.997332777035970564e+00,2.386749999999999972e+01,2.746499999999999986e+01,9.689493310396260384e+00,9.680890369473047485e+00,1.149046811131385348e-01,9.616452991452991483e+00,9.781796874999999503e+00,1.984824382956746902e+01,1.986153846153846203e+01,1.369523111472165988e+00,1.885826771653542977e+01,2.065110153256705061e+01,1.477332141255788223e+01,1.471923076923076934e+01,9.300566993652312764e-01,1.414763779527559073e+01,1.534341397849462396e+01,-1.002633698307614196e+02,-1.002633698307614196e+02,0.000000000000000000e+00,-1.002633698307614196e+02,-1.002633698307614196e+02,3.874666666666666401e+02,3.860000000000000000e+02,2.141141959069713252e+01,3.730000000000000000e+02,4.037500000000000000e+02,7.640000000000000568e+01,7.300000000000000000e+01,1.200444362170386725e+01,7.000000000000000000e+01,8.600000000000000000e+01,1.343333333333333357e+01,1.300000000000000000e+01,1.430229196861661611e+00,1.225000000000000000e+01,1.400000000000000000e+01,6.650000000000000000e+01,6.000000000000000000e+01,1.856295594277305128e+01,5.425000000000000000e+01,7.800000000000000000e+01,4.623333333333333428e+01,4.250000000000000000e+01,1.201300221519259637e+01,3.825000000000000000e+01,5.275000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,1.648231375343482075e+00,3.000000000000000000e+00,5.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.158274650573730469e-01,1.068745851516723494e-01,2.542845505167855014e-01,6.683391332626339998e-02,2.264208793640136719e-01,4.612930676937103414e+01,8.990832090377807617e+00,6.797219972721953241e+01,8.048683345317840576e+00,1.179253983497619629e+01,4.646666666666666856e+02,4.645000000000000000e+02,1.910904381583640443e+01,4.545000000000000000e+02,4.742500000000000000e+02,5.353333333333333144e+01,5.354999999999999716e+01,1.910904381583640621e+00,5.257500000000000284e+01,5.454999999999999716e+01
nan,nan,nan,nan,nan,2.740933333333332911e+01,2.675999999999999801e+01,2.693755969315376309e+00,2.532625000000000171e+01,2.936625000000000085e+01,9.706434653182380856e+00,9.703079178885630540e+00,1.260765428948699696e-01,9.646485888212506410e+00,9.765115567120771445e+00,2.001227506158436142e+01,1.995201048951049216e+01,1.663465545005036850e+00,1.904347160569416531e+01,2.068456572769952828e+01,1.486089744925183354e+01,1.481364155251141490e+01,1.127266630914193657e+00,1.423886422776672411e+01,1.532739143192488385e+01,-8.044569984252230199e+01,-8.044569984252230199e+01,0.000000000000000000e+00,-8.044569984252230199e+01,-8.044569984252230199e+01,4.525666666666666629e+02,4.530000000000000000e+02,2.335192116769457726e+01,4.362500000000000000e+02,4.707500000000000000e+02,7.386666666666666003e+01,7.350000000000000000e+01,1.199092249254502640e+01,6.500000000000000000e+01,8.375000000000000000e+01,1.356666666666666643e+01,1.350000000000000000e+01,1.116044602852213741e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.623333333333333428e+01,6.250000000000000000e+01,1.533988990254565898e+01,5.700000000000000000e+01,7.800000000000000000e+01,4.576666666666666572e+01,4.400000000000000000e+01,1.071037918200015149e+01,3.900000000000000000e+01,5.300000000000000000e+01,4.866666666666666252e+00,4.500000000000000000e+00,1.726911179598482837e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.100064913431803126e-01,1.418764591217041016e-01,7.172470290592571907e-01,7.359373569488522615e-02,2.260396480560302734e-01,4.643931326071421495e+01,9.061408162117004395e+00,6.829033214880297464e+01,8.298885405063629150e+00,1.190701401233673096e+01,5.540000000000000000e+02,5.510000000000000000e+02,2.316462820767905129e+01,5.350000000000000000e+02,5.677500000000000000e+02,5.383333333333334281e+01,5.408333333333333570e+01,1.930385683973255162e+00,5.268750000000000000e+01,5.541666666666667140e+01
nan,nan,nan,nan,nan,2.857449999999999690e+01,2.807999999999999829e+01,2.726910446518794551e+00,2.678750000000000142e+01,3.103500000000000014e+01,9.799131950522935952e+00,9.805218855218857499e+00,1.551913700240825922e-01,9.671878483835003593e+00,9.908198184793928220e+00,2.080218071927223988e+01,2.057913669064748063e+01,2.125632801784206993e+00,1.974423076923076792e+01,2.173252128666035787e+01,1.539399216302147799e+01,1.521582733812949684e+01,1.476122450151980514e+00,1.472158555729984286e+01,1.601590586565751906e+01,-8.044569984252230199e+01,-8.044569984252230199e+01,0.000000000000000000e+00,-8.044569984252230199e+01,-8.044569984252230199e+01,5.146333333333333258e+02,5.090000000000000000e+02,2.837426455238776768e+01,4.985000000000000000e+02,5.385000000000000000e+02,7.743333333333333712e+01,7.850000000000000000e+01,1.116447739733282418e+01,7.200000000000000000e+01,8.300000000000000000e+01,1.373333333333333250e+01,1.400000000000000000e+01,1.030641655582687166e+00,1.300000000000000000e+01,1.400000000000000000e+01,6.856666666666666288e+01,6.300000000000000000e+01,1.808255758704749283e+01,5.350000000000000000e+01,8.200000000000000000e+01,4.743333333333333002e+01,4.400000000000000000e+01,1.265617986949019702e+01,3.800000000000000000e+01,5.550000000000000000e+01,4.799999999999999822e+00,5.500000000000000000e+00,2.055885859347903466e+00,3.250000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.044178406397501591e-01,1.169564723968505582e-01,2.006071278532258750e-01,7.285535335540768709e-02,2.448574304580688477e-01,4.664373110135396416e+01,9.123382568359375000e+00,6.842178341522934204e+01,8.422555267810821533e+00,1.231425815820693970e+01,6.459333333333332803e+02,6.430000000000000000e+02,2.776920756681560221e+01,6.300000000000000000e+02,6.620000000000000000e+02,5.386190476190476772e+01,5.407142857142856940e+01,1.983514826201113967e+00,5.271428571428571530e+01,5.500000000000000000e+01
nan,nan,nan,nan,nan,3.013816666666666322e+01,3.052749999999999986e+01,2.963697713817805557e+00,2.810624999999999929e+01,3.236249999999999716e+01,9.770864831298029074e+00,9.726389284696494997e+00,1.631475729219356574e-01,9.675910636231179751e+00,9.833333333333333925e+00,2.052394919664691031e+01,2.033202898550724314e+01,2.087855295241291653e+00,1.935634848138844433e+01,2.119944479199249443e+01,1.521047372695569422e+01,1.502014492753623287e+01,1.436394724697243275e+00,1.439479759350806809e+01,1.562230215827338142e+01,-6.614426258751005605e+01,-6.614426258751005605e+01,0.000000000000000000e+00,-6.614426258751005605e+01,-6.614426258751005605e+01,5.731000000000000227e+02,5.730000000000000000e+02,3.228967843341480659e+01,5.530000000000000000e+02,5.972500000000000000e+02,7.770000000000000284e+01,7.850000000000000000e+01,1.161364140425674840e+01,7.000000000000000000e+01,8.550000000000000000e+01,1.383333333333333393e+01,1.400000000000000000e+01,1.185561282918582648e+00,1.300000000000000000e+01,1.500000000000000000e+01,6.543333333333333712e+01,6.550000000000000000e+01,1.396109674138182477e+01,5.025000000000000000e+01,7.950000000000000000e+01,4.556666666666666998e+01,4.650000000000000000e+01,9.759382949528907503e+00,3.525000000000000000e+01,5.600000000000000000e+01,5.000000000000000000e+00,5.500000000000000000e+00,2.160246899469286941e+00,3.000000000000000000e+00,6.750000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.947944164276123047e-01,1.321845054626464289e-01,1.784371969514164935e-01,8.223390579223627261e-02,2.646879553794860840e-01,4.683852551778157647e+01,9.305955529212951660e+00,6.852711450140664340e+01,8.557319164276123047e+00,1.250402432680130005e+01,7.366000000000000227e+02,7.325000000000000000e+02,3.227548088978173979e+01,7.232500000000000000e+02,7.535000000000000000e+02,5.396249999999999858e+01,5.421875000000000000e+01,2.017217555611358293e+00,5.290625000000000000e+01,5.479687500000000000e+01
nan,nan,nan,nan,nan,3.100049999999999883e+01,3.142500000000000071e+01,3.049815117347280058e+00,2.865875000000000128e+01,3.364625000000000199e+01,9.786749036184740902e+00,9.765123060195708860e+00,1.802307769298648887e-01,9.677506744604317035e+00,9.870535714285715301e+00,2.069074112945157395e+01,2.011039208222306840e+01,2.297689609417693735e+00,1.943818221830986204e+01,2.139525572784077667e+01,1.532796144859273468e+01,1.490959269128283182e+01,1.578711055215534120e+00,1.449393214633714244e+01,1.584081375838926142e+01,-5.035801961607778310e+01,-5.035801961607778310e+01,0.000000000000000000e+00,-5.035801961607778310e+01,-5.035801961607778310e+01,6.301333333333333258e+02,6.295000000000000000e+02,3.766318567985926080e+01,6.060000000000000000e+02,6.595000000000000000e+02,8.316666666666667140e+01,8.450000000000000000e+01,1.402398738669648992e+01,7.450000000000000000e+01,8.900000000000000000e+01,1.373333333333333250e+01,1.400000000000000000e+01,9.637888196533973550e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.470000000000000284e+01,6.800000000000000000e+01,1.607513608029493568e+01,5.525000000000000000e+01,7.375000000000000000e+01,4.500000000000000000e+01,4.700000000000000000e+01,1.113552872566004304e+01,3.825000000000000000e+01,5.175000000000000000e+01,5.166666666666666963e+00,5.000000000000000000e+00,1.694763175851488279e+00,4.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.889726003011067690e-01,1.575145721435546597e-01,1.174267911013018584e-01,8.816730976104734940e-02,2.764840126037597656e-01,4.702749811808268277e+01,9.374486565589904785e+00,6.863057508881341562e+01,8.666153967380523682e+00,1.262385296821594238e+01,8.309333333333332803e+02,8.280000000000000000e+02,3.904948427600833583e+01,8.135000000000000000e+02,8.505000000000000000e+02,5.383703703703702814e+01,5.400000000000000000e+01,2.169415793111574509e+00,5.275000000000000000e+01,5.480555555555555713e+01
nan,nan,nan,nan,nan,3.187899999999999778e+01,3.179999999999999716e+01,3.597263404311671575e+00,2.995374999999999943e+01,3.331625000000000369e+01,9.827812196912358189e+00,9.809505309505309967e+00,1.916943902066829131e-01,9.703629637036296884e+00,9.920492941448738833e+00,2.101514619193289946e+01,2.054136081309994211e+01,2.398949144509313847e+00,1.964346744804491252e+01,2.205764400708197925e+01,1.555143824336764169e+01,1.518531937734836390e+01,1.651335627082190394e+00,1.463455045340536387e+01,1.618797093095071560e+01,-1.414555975732026916e+01,-1.414555975732026916e+01,0.000000000000000000e+00,-1.414555975732026916e+01,-1.414555975732026916e+01,6.829666666666666970e+02,6.790000000000000000e+02,4.230404498652843870e+01,6.572500000000000000e+02,7.107500000000000000e+02,8.383333333333332860e+01,8.300000000000000000e+01,1.555867032307781095e+01,7.375000000000000000e+01,9.100000000000000000e+01,1.366666666666666607e+01,1.300000000000000000e+01,9.067647005823625816e-01,1.300000000000000000e+01,1.400000000000000000e+01,6.540000000000000568e+01,6.300000000000000000e+01,1.444437606821423259e+01,5.500000000000000000e+01,7.075000000000000000e+01,4.563333333333333286e+01,4.400000000000000000e+01,9.826777475630327885e+00,3.900000000000000000e+01,5.000000000000000000e+01,5.700000000000000178e+00,6.000000000000000000e+00,2.035517952102936956e+00,4.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.960343678792317579e-01,1.427134275436400812e-01,1.581414492128625504e-01,8.202975988388055972e-02,2.360878586769104004e-01,4.722353248596191122e+01,9.489774227142333984e+00,6.875178931973974272e+01,8.757461369037628174e+00,1.271212071180343806e+01,9.282333333333333485e+02,9.265000000000000000e+02,4.404897526869634561e+01,9.077500000000000000e+02,9.555000000000000000e+02,5.358833333333333826e+01,5.367499999999999716e+01,2.202448763434816215e+00,5.222500000000000142e+01,5.461249999999999716e+01
