ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	34.12	9.5	31.235	22.915	-108.16581317820251	0	0	76	10	74	51	13	9	11	9	0	0	9.910671949386597	200	9.910671949386597	193	3.5	
-inf	36.38	9.53968253968254	20.825396825396826	15.634920634920634	-108.16581317820251	1	137	108	12.0	65.0	46.0	4	9.0	11.0	9.0	0	0	0.37165212631225586	400	10.282324075698853	235	41.25	
-inf	31.655	9.81578947368421	24.644736842105264	18.210526315789473	-9.985180781951001	2	261	92	15.0	80.0	55.0	1	9.0	11.0	9.0	0	0	0.09440398216247559	600	10.376728057861328	283	52.83333333333333	
-inf	32.965	9.884210526315789	25.557894736842105	18.894736842105264	-9.985180781951001	3	366	91	13.0	86.0	62.0	3	9.0	11.0	9.0	0	0	0.11864304542541504	800	10.495371103286743	347	56.625	
-inf	36.615	9.932692307692308	26.442307692307693	19.60576923076923	-9.271441544869464	4	462	112	13.0	96.0	70.0	2	9.0	11.0	9.0	0	0	0.31012988090515137	1000	10.805500984191895	413	58.7	
-inf	41.73	10.110091743119266	28.541284403669724	21.009174311926607	-9.271441544869464	5	553	119	13.0	82.0	58.0	4	9.0	11.0	9.0	0	0	0.16770100593566895	1200	10.973201990127563	485	59.583333333333336	
-inf	45.27	10.078125	26.703125	19.59375	-9.271441544869464	6	625	117	13.0	82.0	60.0	6	9.0	11.0	9.0	0	0	0.44147205352783203	1400	11.414674043655396	574	59.0	
-inf	46.455	10.310077519379846	29.11627906976744	21.286821705426355	-9.271441544869464	7	696	118	17.0	118.0	85.0	8	9.0	11.0	9.0	0	0	0.1860668659210205	1600	11.600740909576416	660	58.75	
-inf	47.64	10.25	28.8515625	21.2734375	-9.271441544869464	8	768	112	15.0	88.0	64.0	13	9.0	11.0	9.0	0	0	0.12388920783996582	1800	11.724630117416382	745	58.611111111111114	
-inf	52.77	10.521428571428572	33.0	24.17142857142857	-8.684113504359177	9	828	130	15.0	88.0	64.0	6	9.0	11.0	9.0	0	0	0.2422327995300293	2000	11.966862916946411	827	58.650000000000006	
-inf	61.61	10.921875	40.6875	29.7109375	-8.684113504359177	10	900	137	15.0	84.0	59.0	5	9.0	11.0	9.0	0	0	0.27325892448425293	2200	12.240121841430664	914	58.45454545454545	
-inf	65.795	11.306306306306306	47.4954954954955	34.81981981981982	-8.684113504359177	11	989	137	14.0	94.0	69.0	11	9.0	11.0	9.0	0	0	0.49669408798217773	2400	12.736815929412842	986	58.916666666666664	
-inf	71.565	11.194915254237289	45.45762711864407	33.42372881355932	-8.530560712753667	12	1071	132	18.0	113.0	78.0	15	9.0	11.0	9.0	0	0	0.13637185096740723	2600	12.873187780380249	1067	58.96153846153846	
-inf	70.04	11.229508196721312	42.549180327868854	30.983606557377048	-8.530560712753667	13	1149	142	15.0	116.0	81.0	13	9.0	11.0	9.0	0	0	0.27523040771484375	2800	13.148418188095093	1142	59.214285714285715	
-inf	78.68	11.205128205128204	41.23931623931624	29.897435897435898	-8.530560712753667	14	1232	166	16.0	117.0	85.0	14	9.0	11.0	9.0	0	0	0.23055267333984375	3000	13.378970861434937	1217	59.43333333333333	
-inf	76.495	11.124031007751938	39.50387596899225	28.651162790697676	-8.530560712753667	15	1303	139	15.0	112.0	79.0	5	9.0	11.0	9.0	0	0	0.39531493186950684	3200	13.774285793304443	1305	59.21875	
-inf	73.565	11.1	40.16153846153846	29.26923076923077	-8.191043474028339	16	1373	146	15.0	107.0	75.0	18	9.0	11.0	9.0	0	0	0.3971073627471924	3400	14.171393156051636	1396	58.94117647058824	
-inf	76.72	11.216	42.376	31.048	-8.191043474028339	17	1448	176	17.0	140.0	98.0	14	9.0	11.0	9.0	0	0	0.24079585075378418	3600	14.41218900680542	1468	59.22222222222222	
-inf	78.93	11.163636363636364	45.32727272727273	33.24545454545454	-8.191043474028339	18	1538	196	16.0	117.0	83.0	14	9.0	11.0	9.0	0	0	0.11464095115661621	3800	14.526829957962036	1544	59.36842105263158	
-inf	78.055	11.0	41.470588235294116	30.42016806722689	-8.191043474028339	19	1619	181	16.0	128.0	88.0	17	9.0	11.0	9.0	0	0	0.2057650089263916	4000	14.732594966888428	1608	59.8	
-inf	80.155	11.026315789473685	41.54385964912281	30.526315789473685	-8.191043474028339	20	1705	182	16.0	128.0	88.0	14	9.0	11.0	9.0	0	0	0.45126914978027344	4200	15.183864116668701	1671	60.214285714285715	
-inf	78.435	11.038095238095238	40.27619047619048	29.64761904761905	-8.191043474028339	21	1800	167	16.0	117.0	85.0	5	9.0	11.0	9.0	0	0	0.09798407554626465	4400	15.281848192214966	1739	60.47727272727273	
-inf	75.805	10.767441860465116	36.713178294573645	26.984496124031008	-8.191043474028339	22	1871	169	14.0	117.0	85.0	5	9.0	11.0	9.0	0	0	0.3966047763824463	4600	15.678452968597412	1817	60.5	
-inf	79.53	10.9	36.676923076923075	26.76923076923077	-8.191043474028339	23	1941	194	15.0	100.0	71.0	9	9.0	11.0	9.0	0	0	0.3201868534088135	4800	15.998639822006226	1913	60.14583333333333	
-inf	81.965	10.796992481203008	33.954887218045116	24.924812030075188	-7.875568869897002	24	2008	201	18.0	111.0	75.0	17	9.0	11.0	9.0	0	0	0.2551302909851074	5000	16.253770112991333	1997	60.06	
-inf	81.585	10.929133858267717	34.75590551181102	25.26771653543307	-7.875568869897002	25	2081	220	19.0	119.0	87.0	16	9.0	11.0	9.0	0	0	0.22940373420715332	5200	16.483173847198486	2083	59.94230769230769	
-inf	86.24	10.635761589403973	31.90066225165563	23.29139072847682	-7.875568869897002	26	2130	221	18.0	117.0	84.0	16	9.0	11.0	9.0	0	0	0.5643551349639893	5400	17.047528982162476	2175	59.72222222222222	
-inf	83.845	10.844961240310077	34.95348837209303	25.333333333333332	-7.875568869897002	27	2201	251	18.0	109.0	74.0	17	9.0	11.0	9.0	0	0	0.3633568286895752	5600	17.41088581085205	2247	59.875	
-inf	92.7	11.06015037593985	38.21052631578947	27.654135338345863	-6.6245631166831425	28	2268	251	21.0	163.0	108.0	21	9.0	11.0	9.0	0	0	0.6205403804779053	5800	18.031426191329956	2339	59.672413793103445	
-inf	94.48	11.243243243243244	39.50675675675676	28.594594594594593	-6.6245631166831425	29	2320	275	21.0	163.0	109.0	29	9.0	11.0	9.0	0	0	0.25640273094177246	6000	18.28782892227173	2431	59.483333333333334	
-inf	96.95	11.49618320610687	43.61832061068702	31.374045801526716	-6.6245631166831425	30	2389	282	21.0	163.0	109.0	12	9.0	11.0	9.0	0	0	0.15982389450073242	6200	18.44765281677246	2517	59.403225806451616	
-inf	95.1	10.857142857142858	33.75396825396825	24.53968253968254	-6.6245631166831425	31	2463	237	17.0	97.0	69.0	18	9.0	11.0	9.0	0	0	0.13986515998840332	6400	18.587517976760864	2590	59.53125	
-inf	92.82	10.905109489051094	34.77372262773723	25.21897810218978	-6.6245631166831425	32	2526	237	15.0	95.0	66.0	12	9.0	11.0	9.0	0	0	0.17876005172729492	6600	18.76627802848816	2672	59.515151515151516	
-inf	85.095	10.72340425531915	33.53191489361702	24.347517730496453	-6.6245631166831425	33	2585	200	15.0	138.0	97.0	26	9.0	11.0	9.0	0	0	0.1285848617553711	6800	18.89486289024353	2769	59.279411764705884	
-inf	86.71	10.637037037037038	31.77037037037037	23.251851851851853	-6.6245631166831425	34	2650	232	15.0	118.0	81.0	6	9.0	11.0	9.0	0	0	0.15121912956237793	7000	19.046082019805908	2848	59.31428571428572	
-inf	81.705	10.86861313868613	34.197080291970806	24.89051094890511	-6.6245631166831425	35	2713	180	17.0	121.0	88.0	12	9.0	11.0	9.0	0	0	0.19031500816345215	7200	19.23639702796936	2934	59.25	
-inf	85.5	10.781021897810218	33.956204379562045	24.817518248175183	-6.6245631166831425	36	2776	157	14.0	117.0	82.0	10	9.0	11.0	9.0	0	0	0.22706890106201172	7400	19.463465929031372	3030	59.054054054054056	
-inf	92.785	11.159663865546218	40.45378151260504	29.310924369747898	-6.6245631166831425	37	2857	143	16.0	140.0	94.0	10	9.0	11.0	9.0	0	0	0.12346196174621582	7600	19.586927890777588	3100	59.21052631578947	
-inf	95.22	11.227642276422765	41.300813008130085	29.853658536585368	-6.6245631166831425	38	2934	166	16.0	140.0	94.0	25	9.0	11.0	9.0	0	0	0.25447916984558105	7800	19.84140706062317	3191	59.089743589743584	
-inf	98.15	11.28	40.74666666666667	29.573333333333334	-6.6245631166831425	39	2984	164	19.0	152.0	104.0	27	9.0	11.0	9.0	0	0	0.321422815322876	8000	20.162829875946045	3292	58.85	
-inf	97.845	11.21551724137931	39.12931034482759	28.50862068965517	-6.6245631166831425	40	3068	215	19.0	161.0	110.0	23	9.0	11.0	9.0	0	0	0.23385214805603027	8200	20.396682024002075	3366	58.951219512195124	
-inf	96.78	11.240384615384615	40.30769230769231	29.442307692307693	-6.6245631166831425	41	3164	163	16.0	117.0	82.0	18	9.0	11.0	9.0	0	0	0.3317687511444092	8400	20.728450775146484	3438	59.07142857142857	
-inf	102.89	11.20754716981132	37.924528301886795	27.971698113207548	-6.6245631166831425	42	3258	209	17.0	118.0	82.0	19	9.0	11.0	9.0	0	0	0.16501402854919434	8600	20.89346480369568	3508	59.2093023255814	
-inf	104.755	11.353846153846154	42.07692307692308	30.746153846153845	-6.6245631166831425	43	3328	249	19.0	148.0	101.0	20	9.0	11.0	9.0	0	0	0.3447601795196533	8800	21.238224983215332	3591	59.19318181818182	
-inf	103.675	11.715447154471544	47.34146341463415	34.292682926829265	-6.6245631166831425	44	3405	206	20.0	171.0	117.0	27	9.0	11.0	9.0	0	0	0.14567112922668457	9000	21.383896112442017	3674	59.17777777777778	
-inf	102.36	11.65137614678899	46.80733944954128	34.22935779816514	-6.6245631166831425	45	3496	197	19.0	150.0	106.0	25	9.0	11.0	9.0	0	0	0.21863579750061035	9200	21.602531909942627	3743	59.31521739130435	
-inf	99.915	11.811881188118813	50.396039603960396	36.56435643564357	-6.6245631166831425	46	3595	202	17.0	163.0	113.0	29	9.0	11.0	9.0	0	0	0.31515002250671387	9400	21.91768193244934	3821	59.35106382978723	
-inf	97.5	11.733333333333333	47.91428571428571	34.78095238095238	-6.6245631166831425	47	3690	267	20.0	197.0	133.0	10	9.0	11.0	9.0	0	0	0.21872687339782715	9600	22.136408805847168	3889	59.489583333333336	
-inf	104.1	11.663551401869158	46.47663551401869	33.925233644859816	-6.6245631166831425	48	3783	267	20.0	197.0	133.0	21	9.0	11.0	9.0	0	0	0.25917720794677734	9800	22.395586013793945	3948	59.714285714285715	
-inf	108.65	11.188524590163935	39.40163934426229	28.975409836065573	-6.6245631166831425	49	3861	312	15.0	138.0	97.0	29	9.0	11.0	9.0	0	0	0.44009876251220703	10000	22.835684776306152	4028	59.72	
-inf	115.93	11.47107438016529	43.40495867768595	31.75206611570248	-6.6245631166831425	50	3940	257	17.0	160.0	109.0	43	9.0	11.0	9.0	0	0	0.2250833511352539	10200	23.060768127441406	4104	59.76470588235294	
-inf	111.68	11.46218487394958	44.142857142857146	32.134453781512605	-6.6245631166831425	51	4021	256	17.0	164.0	113.0	42	9.0	11.0	9.0	0	0	0.2309868335723877	10400	23.291754961013794	4181	59.79807692307692	
-inf	117.06	11.475806451612904	45.733870967741936	33.24193548387097	-6.6245631166831425	52	4097	265	18.0	186.0	127.0	31	9.0	11.0	9.0	0	0	0.26326680183410645	10600	23.5550217628479	4262	59.79245283018868	
-inf	112.94	11.252252252252251	41.44144144144144	30.35135135135135	-6.6245631166831425	53	4186	243	17.0	119.0	83.0	38	9.0	11.0	9.0	0	0	0.13821125030517578	10800	23.693233013153076	4332	59.88888888888889	
-inf	116.64	11.376068376068377	42.47008547008547	30.94017094017094	-6.6245631166831425	54	4269	360	18.0	123.0	85.0	23	9.0	11.0	9.0	0	0	0.11299800872802734	11000	23.806231021881104	4405	59.95454545454545	
-inf	115.68	11.318181818181818	42.472727272727276	31.01818181818182	-6.6245631166831425	55	4359	320	16.0	121.0	85.0	17	9.0	11.0	9.0	0	0	0.20594382286071777	11200	24.01217484474182	4466	60.125	
-inf	113.9	11.859375	51.5703125	37.1796875	-6.6245631166831425	56	4431	320	16.0	165.0	115.0	26	9.0	13.0	10.0	0	0	0.23516321182250977	11400	24.24733805656433	4542	60.1578947368421	
-inf	109.87	11.798245614035087	52.026315789473685	37.43859649122807	-6.6245631166831425	57	4517	372	21.0	232.0	162.0	16	9.0	15.0	12.0	0	0	0.40854692459106445	11600	24.655884981155396	4611	60.25	
-inf	111.67	11.879310344827585	51.939655172413794	37.33620689655172	-6.6245631166831425	58	4601	410	21.0	232.0	162.0	9	9.0	11.0	9.0	0	0	0.24488520622253418	11800	24.90077018737793	4685	60.29661016949153	
-inf	100.31	11.51923076923077	45.10576923076923	32.95192307692308	-6.6245631166831425	59	4697	435	16.0	121.0	84.0	12	9.0	11.0	9.0	0	0	0.20215487480163574	12000	25.102925062179565	4740	60.5	
-inf	101.055	11.68	48.53	35.21	-6.6245631166831425	60	4797	435	20.0	197.0	135.0	18	9.0	11.0	9.0	0	0	0.20236706733703613	12200	25.3052921295166	4801	60.647540983606554	
-inf	96.38	11.42056074766355	44.77570093457944	32.63551401869159	-6.6245631166831425	61	4890	223	15.0	130.0	94.0	28	9.0	11.0	9.0	0	0	0.18643689155578613	12400	25.491729021072388	4867	60.75	
-inf	95.535	11.417391304347825	42.87826086956522	31.286956521739132	-6.6245631166831425	62	4975	221	18.0	127.0	87.0	16	9.0	11.0	9.0	0	0	0.2554459571838379	12600	25.747174978256226	4937	60.81746031746032	
-inf	97.22	11.564885496183207	44.534351145038165	32.52671755725191	-6.6245631166831425	63	5044	226	18.0	127.0	87.0	31	9.0	11.0	9.0	0	0	0.2741701602935791	12800	26.021345138549805	5011	60.8515625	
-inf	103.885	11.775862068965518	48.9051724137931	35.61206896551724	-6.6245631166831425	64	5128	234	21.0	201.0	137.0	35	9.0	11.0	9.0	0	0	0.5102908611297607	13000	26.531635999679565	5088	60.86153846153846	
-inf	99.69	11.577981651376147	47.137614678899084	34.440366972477065	-6.6245631166831425	65	5219	235	17.0	157.0	108.0	10	9.0	11.0	9.0	0	0	0.201185941696167	13200	26.732821941375732	5154	60.95454545454545	
-inf	103.93	11.726415094339623	47.783018867924525	34.764150943396224	-6.6245631166831425	66	5313	222	19.0	157.0	108.0	21	9.0	11.0	9.0	0	0	0.2921130657196045	13400	27.024935007095337	5215	61.082089552238806	
-inf	101.79	11.688172043010752	47.86021505376344	34.924731182795696	-6.6245631166831425	67	5420	192	19.0	163.0	113.0	18	9.0	11.0	9.0	0	0	0.15723800659179688	13600	27.182173013687134	5274	61.220588235294116	
-inf	103.185	11.81981981981982	48.567567567567565	35.468468468468465	-6.6245631166831425	68	5509	214	17.0	143.0	100.0	14	9.0	11.0	9.0	0	0	0.16581201553344727	13800	27.34798502922058	5348	61.2463768115942	
-inf	103.225	11.742857142857142	48.819047619047616	35.6	-6.6245631166831425	69	5604	214	18.0	146.0	103.0	30	9.0	13.0	10.0	0	0	0.27141594886779785	14000	27.61940097808838	5411	61.35	
-inf	104.55	11.70796460176991	48.02654867256637	35.02654867256637	-6.6245631166831425	70	5691	249	17.0	200.0	138.0	9	9.0	11.0	9.0	0	0	0.22661399841308594	14200	27.846014976501465	5485	61.37323943661972	
-inf	104.615	11.640350877192983	45.74561403508772	33.44736842105263	-6.6245631166831425	71	5777	238	17.0	138.0	97.0	26	9.0	15.0	12.0	0	0	0.16121602058410645	14400	28.00723099708557	5554	61.43055555555556	
-inf	101.67	11.5	45.64545454545455	33.27272727272727	-6.6245631166831425	72	5867	270	19.0	191.0	129.0	13	9.0	11.0	9.0	0	0	0.3865931034088135	14600	28.393824100494385	5626	61.465753424657535	
-inf	99.015	11.779661016949152	49.97457627118644	36.28813559322034	-6.6245631166831425	73	5949	270	20.0	191.0	129.0	17	9.0	11.0	9.0	0	0	0.32680392265319824	14800	28.720628023147583	5697	61.50675675675676	
