ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.3	9.5	29.4	21.71	-51.9324233347407	0	0	73	10	72	49	13	9	11	9	0	0	302.0299551486969	200	302.0299551486969	194	3.0	
-inf	31.34	9.425	19.8625	14.9	-51.9324233347407	1	120	92	12.0	64.0	47.0	4	9.0	11.0	9.0	0	0	1.118237018585205	400	303.1481921672821	252	37.0	
-inf	27.4	9.537735849056604	19.29245283018868	14.49056603773585	-51.9324233347407	2	214	73	12.0	64.0	47.0	4	9.0	11.0	9.0	0	0	0.7364909648895264	600	303.88468313217163	329	45.166666666666664	
-inf	26.38	9.531531531531531	19.18918918918919	14.333333333333334	-51.9324233347407	3	303	85	12.0	56.0	40.0	5	9.0	11.0	9.0	0	0	0.7003889083862305	800	304.58507204055786	415	48.12499999999999	
-inf	28.935	9.3984375	18.3046875	13.7578125	-51.9324233347407	4	375	66	13.0	56.0	40.0	6	9.0	11.0	9.0	0	0	5.9761481285095215	1000	310.5612201690674	502	49.8	
-inf	29.07	9.450331125827814	18.814569536423843	14.112582781456954	-51.9324233347407	5	424	69	12.0	56.0	40.0	3	9.0	11.0	9.0	0	0	0.9772129058837891	1200	311.5384330749512	609	49.25000000000001	
-inf	31.97	9.613793103448275	20.627586206896552	15.241379310344827	-51.9324233347407	6	479	75	13.0	62.0	42.0	6	9.0	11.0	9.0	0	0	0.7849318981170654	1400	312.32336497306824	709	49.357142857142854	
-inf	31.665	9.86231884057971	22.5	16.52173913043478	-51.9324233347407	7	541	72	14.0	63.0	44.0	3	9.0	11.0	9.0	0	0	0.6655211448669434	1600	312.9888861179352	807	49.5625	
-inf	33.455	9.751724137931035	21.089655172413792	15.53103448275862	-51.9324233347407	8	596	73	13.0	56.0	40.0	11	9.0	11.0	9.0	0	0	0.4076569080352783	1800	313.39654302597046	909	49.5	
-inf	35.775	9.905063291139241	22.620253164556964	16.582278481012658	-51.9324233347407	9	638	77	14.0	69.0	49.0	6	9.0	11.0	9.0	0	0	0.9223980903625488	2000	314.318941116333	1016	49.2	
-inf	38.165	9.871621621621621	22.72972972972973	16.635135135135137	-51.9324233347407	10	690	85	13.0	60.0	41.0	9	9.0	11.0	9.0	0	0	0.7332839965820312	2200	315.05222511291504	1117	49.227272727272734	
-inf	38.83	9.792857142857143	21.835714285714285	16.014285714285716	-51.9324233347407	11	750	85	14.0	77.0	53.0	4	9.0	11.0	9.0	0	0	0.41107797622680664	2400	315.46330308914185	1202	49.916666666666664	
-inf	43.335	9.77124183006536	21.366013071895424	15.712418300653594	-51.9324233347407	12	797	81	13.0	62.0	42.0	10	9.0	11.0	9.0	0	0	0.9860820770263672	2600	316.4493851661682	1305	49.80769230769231	
-inf	44.965	9.86875	22.575	16.54375	-51.9324233347407	13	837	84	14.0	83.0	58.0	6	9.0	11.0	9.0	0	0	0.7485947608947754	2800	317.197979927063	1405	49.82142857142857	
-inf	45.48	9.829268292682928	21.99390243902439	16.182926829268293	-51.9324233347407	14	873	87	14.0	67.0	46.0	3	9.0	11.0	9.0	0	0	0.6472420692443848	3000	317.8452219963074	1506	49.8	
-inf	42.82	9.938650306748466	22.809815950920246	16.773006134969325	-51.9324233347407	15	910	104	14.0	85.0	63.0	4	9.0	11.0	9.0	0	0	0.7010791301727295	3200	318.5463011264801	1619	49.40624999999999	
-inf	41.815	9.939597315436242	23.812080536912752	17.469798657718123	-51.9324233347407	16	961	115	14.0	85.0	63.0	5	9.0	11.0	9.0	0	0	0.8430478572845459	3400	319.38934898376465	1713	49.617647058823536	
-inf	42.235	9.850340136054422	22.775510204081634	16.74829931972789	-51.9324233347407	17	1014	91	14.0	85.0	63.0	7	9.0	11.0	9.0	0	0	0.6072502136230469	3600	319.9965991973877	1802	49.94444444444445	
-inf	42.315	10.0625	24.479166666666668	17.895833333333332	-51.9324233347407	18	1070	113	14.0	87.0	64.0	8	9.0	11.0	9.0	0	0	0.5073668956756592	3800	320.50396609306335	1893	50.18421052631579	
-inf	46.425	9.967105263157896	24.467105263157894	17.94078947368421	-13.394728617144768	19	1118	101	15.0	94.0	67.0	4	9.0	11.0	9.0	0	0	0.9486429691314697	4000	321.4526090621948	1994	50.15	
-inf	48.28	9.796178343949045	22.8343949044586	16.821656050955415	-13.394728617144768	20	1161	128	14.0	94.0	67.0	11	9.0	11.0	9.0	0	0	0.6953108310699463	4200	322.14791989326477	2096	50.095238095238095	
-inf	42.205	9.845588235294118	22.25735294117647	16.36764705882353	-13.394728617144768	21	1225	128	15.0	94.0	67.0	4	9.0	11.0	9.0	0	0	0.2655301094055176	4400	322.4134500026703	2177	50.52272727272727	
-inf	41.745	9.986577181208053	24.12751677852349	17.644295302013422	-13.394728617144768	22	1276	130	14.0	94.0	67.0	3	9.0	11.0	9.0	0	0	0.930974006652832	4600	323.3444240093231	2278	50.47826086956522	
-inf	54.715	10.177631578947368	28.289473684210527	20.644736842105264	-13.394728617144768	23	1324	140	15.0	125.0	87.0	11	9.0	11.0	9.0	0	0	0.9955930709838867	4800	324.340017080307	2385	50.3125	
-inf	58.555	10.422535211267606	32.556338028169016	23.711267605633804	-13.394728617144768	24	1382	124	14.0	125.0	87.0	9	9.0	11.0	9.0	0	0	0.8103079795837402	5000	325.15032505989075	2480	50.4	
-inf	60.23	10.514285714285714	33.621428571428574	24.464285714285715	-13.394728617144768	25	1442	137	17.0	125.0	87.0	3	9.0	11.0	9.0	0	0	0.7751181125640869	5200	325.92544317245483	2556	50.84615384615385	
-inf	67.185	10.563758389261745	35.87248322147651	26.093959731543624	-11.559393225755121	26	1493	148	14.0	146.0	107.0	11	9.0	11.0	9.0	0	0	3.018131971359253	5400	328.9435751438141	2653	50.870370370370374	
-inf	72.465	10.702702702702704	37.13513513513514	26.885135135135137	-11.559393225755121	27	1545	169	17.0	166.0	118.0	6	9.0	11.0	9.0	0	0	1.1292717456817627	5600	330.07284688949585	2747	50.94642857142857	
-inf	78.355	10.778523489932885	37.80536912751678	27.261744966442954	-9.158655227573679	28	1596	197	17.0	166.0	118.0	7	9.0	11.0	9.0	0	0	1.0238311290740967	5800	331.09667801856995	2845	50.94827586206897	
-inf	82.49	11.316546762589928	48.05035971223022	34.597122302158276	-8.522037014921107	29	1657	150	20.0	177.0	128.0	4	9.0	11.0	9.0	0	0	1.195828914642334	6000	332.2925069332123	2934	51.1	
-inf	85.945	11.5	54.26229508196721	38.97540983606557	-8.522037014921107	30	1735	171	16.0	142.0	102.0	23	9.0	11.0	9.0	0	0	1.1793582439422607	6200	333.47186517715454	3012	51.41935483870968	
-inf	90.005	11.716981132075471	55.5188679245283	39.764150943396224	-8.522037014921107	31	1829	179	16.0	122.0	84.0	12	9.0	11.0	9.0	0	0	1.2811427116394043	6400	334.75300788879395	3080	51.875	
-inf	89.01	11.1875	44.9375	32.473214285714285	-8.522037014921107	32	1917	181	15.0	133.0	93.0	8	9.0	11.0	9.0	0	0	0.5809102058410645	6600	335.333918094635	3151	52.25757575757576	
-inf	88.17	11.274809160305344	47.23664122137404	34.030534351145036	-8.474619302809275	33	1986	231	15.0	149.0	109.0	7	9.0	11.0	9.0	0	0	0.8794097900390625	6800	336.2133278846741	3239	52.36764705882353	
-inf	100.885	11.379032258064516	47.62096774193548	34.314516129032256	-8.474619302809275	34	2062	269	16.0	149.0	109.0	23	9.0	11.0	9.0	0	0	0.3822593688964844	7000	336.59558725357056	3310	52.714285714285715	
-inf	108.46	11.433823529411764	47.63235294117647	34.30882352941177	-8.474619302809275	35	2126	267	16.0	161.0	113.0	20	9.0	11.0	9.0	0	0	0.8750977516174316	7200	337.470685005188	3400	52.77777777777778	
-inf	111.715	11.338709677419354	46.57258064516129	33.63709677419355	-7.998772286891117	36	2202	273	18.0	241.0	174.0	22	9.0	11.0	9.0	0	0	7.390281915664673	7400	344.86096692085266	3471	53.0945945945946	
-inf	109.935	11.420634920634921	48.03968253968254	34.62698412698413	-7.998772286891117	37	2276	347	18.0	241.0	174.0	10	9.0	11.0	9.0	0	0	1.0306110382080078	7600	345.89157795906067	3537	53.46052631578947	
-inf	108.37	11.423076923076923	50.62307692307692	36.50769230769231	-7.261004175578698	38	2346	266	17.0	115.0	81.0	23	9.0	11.0	9.0	0	0	1.5899381637573242	7800	347.481516122818	3620	53.58974358974359	
-inf	114.855	11.362903225806452	51.24193548387097	36.935483870967744	-7.261004175578698	39	2422	269	18.0	129.0	90.0	21	9.0	11.0	9.0	0	0	1.3334219455718994	8000	348.8149380683899	3694	53.825	
-inf	114.015	11.018181818181818	45.50909090909091	32.90909090909091	-7.261004175578698	40	2512	224	17.0	172.0	123.0	15	9.0	11.0	9.0	0	0	1.5824921131134033	8200	350.3974301815033	3766	54.073170731707314	
-inf	114.73	10.940677966101696	42.94915254237288	31.10169491525424	-7.261004175578698	41	2594	251	17.0	172.0	123.0	7	9.0	11.0	9.0	0	0	1.1193337440490723	8400	351.51676392555237	3842	54.26190476190476	
-inf	118.405	11.165413533834586	46.2406015037594	33.42857142857143	-7.261004175578698	42	2661	248	17.0	172.0	123.0	6	9.0	11.0	9.0	0	0	1.4426701068878174	8600	352.9594340324402	3916	54.46511627906977	
-inf	121.05	10.969465648854962	42.83206106870229	31.0381679389313	-7.261004175578698	43	2730	278	17.0	172.0	123.0	11	9.0	11.0	9.0	0	0	0.7211110591888428	8800	353.680545091629	3996	54.59090909090909	
-inf	129.415	11.0	46.275	33.50833333333333	-7.250368527879169	44	2810	351	17.0	172.0	123.0	6	9.0	11.0	9.0	0	0	1.1725718975067139	9000	354.85311698913574	4063	54.855555555555554	
-inf	119.11	11.325	50.583333333333336	36.583333333333336	-7.250368527879169	45	2890	271	17.0	136.0	95.0	14	9.0	11.0	9.0	0	0	0.9258410930633545	9200	355.7789580821991	4134	55.06521739130435	
-inf	136.415	11.339130434782609	52.017391304347825	37.74782608695652	-7.250368527879169	46	2975	250	15.0	123.0	88.0	12	9.0	11.0	9.0	0	0	1.0852339267730713	9400	356.86419200897217	4200	55.319148936170215	
-inf	142.765	11.276785714285714	49.964285714285715	36.1875	-7.250368527879169	47	3063	294	16.0	132.0	92.0	16	9.0	11.0	9.0	0	0	1.1161401271820068	9600	357.9803321361542	4259	55.635416666666664	
-inf	139.525	11.64406779661017	56.94915254237288	41.0	-7.2209332089435065	48	3145	313	17.0	161.0	115.0	9	9.0	11.0	9.0	0	0	1.4204490184783936	9800	359.40078115463257	4333	55.78571428571429	
-inf	138.18	11.361344537815127	52.3109243697479	37.69747899159664	-7.220904104132566	49	3226	311	18.0	188.0	131.0	10	9.0	11.0	9.0	0	0	0.9625627994537354	10000	360.3633439540863	4405	55.95	
-inf	134.96	11.319672131147541	49.69672131147541	35.9344262295082	-7.189087815899067	50	3304	314	18.0	257.0	180.0	9	9.0	11.0	9.0	0	0	3.2739131450653076	10200	363.6372570991516	4471	56.166666666666664	
-inf	142.72	11.170370370370371	47.68888888888889	34.45185185185185	-7.187279599296965	51	3369	325	16.0	149.0	106.0	4	9.0	11.0	9.0	0	0	0.9833159446716309	10400	364.62057304382324	4549	56.25961538461539	
-inf	141.88	11.279411764705882	47.838235294117645	34.536764705882355	-7.145361660282158	52	3433	289	17.0	126.0	88.0	17	9.0	11.0	9.0	0	0	0.7712628841400146	10600	365.39183592796326	4628	56.339622641509436	
-inf	148.04	11.333333333333334	49.372093023255815	35.72868217054263	-7.145361660282158	53	3504	334	16.0	146.0	108.0	14	9.0	11.0	9.0	0	0	1.2406501770019531	10800	366.6324861049652	4710	56.388888888888886	
-inf	149.98	11.37007874015748	48.59055118110236	35.196850393700785	-7.114309547762172	54	3577	334	18.0	182.0	128.0	23	9.0	11.0	9.0	0	0	1.2005648612976074	11000	367.8330509662628	4795	56.40909090909091	
-inf	156.135	11.796296296296296	60.21296296296296	43.425925925925924	-7.114309547762172	55	3669	307	18.0	272.0	193.0	28	9.0	11.0	9.0	0	0	0.9818460941314697	11200	368.8148970603943	4852	56.67857142857143	
-inf	162.535	11.93	64.06	46.23	-7.114309547762172	56	3769	306	19.0	235.0	170.0	7	9.0	11.0	9.0	0	0	1.1665210723876953	11400	369.981418132782	4909	56.93859649122807	
-inf	172.695	11.885416666666666	62.270833333333336	44.822916666666664	-7.114309547762172	57	3873	327	19.0	235.0	170.0	52	9.0	11.0	9.0	0	0	1.6741917133331299	11600	371.6556098461151	4967	57.18103448275862	
-inf	167.165	11.57943925233645	56.66355140186916	41.00934579439252	-7.114309547762172	58	3966	340	18.0	178.0	125.0	25	9.0	11.0	9.0	0	0	0.9667761325836182	11800	372.62238597869873	5038	57.30508474576271	
-inf	170.695	11.517857142857142	53.86607142857143	39.080357142857146	-7.114309547762172	59	4054	354	17.0	180.0	131.0	49	9.0	11.0	9.0	0	0	14.49710202217102	12000	387.11948800086975	5099	57.50833333333333	
-inf	159.865	11.75609756097561	58.203252032520325	41.97560975609756	-7.114309547762172	60	4131	269	24.0	308.0	216.0	40	9.0	11.0	9.0	0	0	1.702759027481079	12200	388.82224702835083	5169	57.631147540983605	
