ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	37.685	9.5	34.53	25.3	-inf	0	0	94	10	91	63	13	9	11	9	0	0	81.2412428855896	200	81.2412428855896	199	0.5	
-inf	37.52	9.551724137931034	20.224137931034484	15.172413793103448	-inf	1	142	100	14.0	105.0	75.0	8	9.0	11.0	9.0	0	0	0.32305908203125	400	81.56430196762085	247	38.24999999999999	
-inf	31.115	9.670103092783505	21.061855670103093	15.68041237113402	-inf	2	245	100	14.0	105.0	75.0	6	9.0	11.0	9.0	0	0	0.6593351364135742	600	82.22363710403442	309	48.5	
-inf	30.415	9.71900826446281	21.082644628099175	15.62809917355372	-inf	3	324	115	15.0	100.0	70.0	4	9.0	11.0	9.0	0	0	0.25293970108032227	800	82.47657680511475	398	50.25	
-inf	28.845	9.625	19.9375	14.8125	-inf	4	396	86	14.0	78.0	52.0	5	9.0	11.0	9.0	0	0	0.6477973461151123	1000	83.12437415122986	476	52.400000000000006	
-inf	30.51	9.682170542635658	20.496124031007753	15.224806201550388	-inf	5	467	89	14.0	79.0	54.0	3	9.0	11.0	9.0	0	0	0.7515568733215332	1200	83.87593102455139	567	52.75	
-inf	31.02	9.660130718954248	20.424836601307188	15.15032679738562	-inf	6	514	86	14.0	83.0	56.0	10	9.0	11.0	9.0	0	0	0.6587488651275635	1400	84.53467988967896	670	52.14285714285714	
-inf	31.195	9.784313725490197	21.18300653594771	15.673202614379084	-inf	7	561	91	14.0	73.0	49.0	6	9.0	11.0	9.0	0	0	0.5803189277648926	1600	85.11499881744385	784	51.0	
-inf	31.365	9.651612903225807	19.954838709677418	14.851612903225806	-inf	8	606	93	14.0	65.0	44.0	5	9.0	11.0	9.0	0	0	0.5594570636749268	1800	85.67445588111877	900	50.0	
-inf	29.52	9.569620253164556	19.069620253164558	14.278481012658228	-inf	9	648	76	13.0	57.0	39.0	11	9.0	11.0	9.0	0	0	0.1769871711730957	2000	85.85144305229187	1011	49.45	
-inf	28.945	9.58041958041958	19.02097902097902	14.20979020979021	-inf	10	705	78	13.0	51.0	35.0	7	9.0	11.0	9.0	0	0	0.617480993270874	2200	86.46892404556274	1103	49.86363636363637	
-inf	30.155	9.577181208053691	19.395973154362416	14.48993288590604	-inf	11	756	82	14.0	75.0	52.0	6	9.0	11.0	9.0	0	0	0.25556492805480957	2400	86.72448897361755	1204	49.83333333333333	
-inf	30.475	9.537414965986395	18.857142857142858	14.122448979591837	-inf	12	809	82	13.0	53.0	37.0	5	9.0	11.0	9.0	0	0	0.22406697273254395	2600	86.9485559463501	1305	49.80769230769231	
-inf	28.02	9.547445255474452	18.635036496350367	13.97080291970803	-inf	13	872	78	13.0	57.0	39.0	8	9.0	11.0	9.0	0	0	0.5715949535369873	2800	87.52015089988708	1402	49.92857142857143	
-inf	28.76	9.496815286624203	17.85987261146497	13.394904458598726	-inf	14	915	79	11.0	39.0	28.0	8	9.0	11.0	9.0	0	0	0.2809269428253174	3000	87.8010778427124	1493	50.233333333333334	
-inf	28.895	9.5578231292517	18.0	13.53061224489796	-inf	15	968	81	11.0	41.0	29.0	5	9.0	11.0	9.0	0	0	0.5686812400817871	3200	88.36975908279419	1586	50.4375	
-inf	31.375	9.54	17.826666666666668	13.433333333333334	-inf	16	1018	81	13.0	51.0	36.0	6	9.0	11.0	9.0	0	0	0.3042917251586914	3400	88.67405080795288	1690	50.294117647058826	
-inf	32.95	9.490322580645161	17.44516129032258	13.167741935483871	-inf	17	1063	64	13.0	51.0	36.0	9	9.0	11.0	9.0	0	0	0.43403005599975586	3600	89.10808086395264	1785	50.416666666666664	
-inf	30.67	9.45	17.3	13.1	-inf	18	1123	68	12.0	41.0	29.0	6	9.0	11.0	9.0	0	0	0.49399518966674805	3800	89.60207605361938	1882	50.473684210526315	
-inf	32.2	9.586206896551724	18.23448275862069	13.662068965517241	-inf	19	1178	76	12.0	48.0	33.0	3	9.0	11.0	9.0	0	0	0.09279203414916992	4000	89.69486808776855	1976	50.6	
-inf	31.53	9.570422535211268	19.260563380281692	14.366197183098592	-inf	20	1236	75	15.0	77.0	52.0	7	9.0	11.0	9.0	0	0	0.411287784576416	4200	90.10615587234497	2073	50.642857142857146	
-inf	34.69	9.726114649681529	20.656050955414013	15.261146496815286	-inf	21	1279	84	15.0	77.0	52.0	7	9.0	11.0	9.0	0	0	0.5825510025024414	4400	90.68870687484741	2184	50.36363636363637	
-inf	37.085	9.703947368421053	20.539473684210527	15.223684210526315	-inf	22	1327	86	15.0	81.0	55.0	5	9.0	11.0	9.0	0	0	0.3429100513458252	4600	91.03161692619324	2279	50.45652173913043	
-inf	35.36	9.736486486486486	21.006756756756758	15.527027027027026	-inf	23	1379	85	13.0	59.0	40.0	6	9.0	11.0	9.0	0	0	0.5724048614501953	4800	91.60402178764343	2388	50.25	
-inf	37.41	9.935897435897436	23.21794871794872	16.96794871794872	-inf	24	1423	96	14.0	59.0	41.0	10	9.0	11.0	9.0	0	0	0.6465411186218262	5000	92.25056290626526	2506	49.88	
-inf	38.355	9.807692307692308	22.0	16.21794871794872	-inf	25	1467	99	14.0	65.0	45.0	1	9.0	11.0	9.0	0	0	0.4237549304962158	5200	92.67431783676147	2618	49.653846153846146	
-inf	35.895	9.730263157894736	20.848684210526315	15.421052631578947	-inf	26	1515	94	13.0	53.0	38.0	5	9.0	11.0	9.0	0	0	0.5284500122070312	5400	93.2027678489685	2726	49.51851851851852	
-inf	37.89	9.719178082191782	20.41780821917808	15.191780821917808	-inf	27	1569	119	13.0	51.0	36.0	7	9.0	11.0	9.0	0	0	0.1683950424194336	5600	93.37116289138794	2832	49.42857142857143	
-inf	36.6	9.77124183006536	20.836601307189543	15.431372549019608	-inf	28	1616	92	13.0	51.0	36.0	6	9.0	11.0	9.0	0	0	0.3619961738586426	5800	93.73315906524658	2934	49.41379310344828	
-inf	40.815	9.865853658536585	21.871951219512194	16.146341463414632	-inf	29	1652	97	13.0	63.0	46.0	8	9.0	11.0	9.0	0	0	0.34814000129699707	6000	94.08129906654358	3039	49.35000000000001	
-inf	40.15	9.828947368421053	21.79605263157895	16.17105263157895	-inf	30	1700	89	14.0	70.0	52.0	9	9.0	11.0	9.0	0	0	0.3836069107055664	6200	94.46490597724915	3143	49.306451612903224	
-inf	43.375	9.66470588235294	20.32941176470588	15.117647058823529	-inf	31	1730	94	14.0	70.0	52.0	10	9.0	11.0	9.0	0	0	0.7299740314483643	6400	95.19488000869751	3266	48.96875000000001	
-inf	43.975	9.786585365853659	22.085365853658537	16.29268292682927	-inf	32	1766	94	14.0	67.0	46.0	8	9.0	11.0	9.0	0	0	0.6686549186706543	6600	95.86353492736816	3383	48.74242424242424	
-inf	43.465	9.76	21.166666666666668	15.66	-inf	33	1816	102	14.0	59.0	41.0	9	9.0	11.0	9.0	0	0	0.41442203521728516	6800	96.27795696258545	3495	48.602941176470594	
-inf	42.63	9.857142857142858	21.652173913043477	15.993788819875776	-inf	34	1855	99	14.0	63.0	44.0	7	9.0	11.0	9.0	0	0	0.45978212356567383	7000	96.73773908615112	3606	48.48571428571429	
