median	q1	q3
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-inf
-inf	-inf	-88.2287776977548
-inf	-inf	-88.2287776977548
-inf	-inf	-35.34134835522489
-inf	-inf	-24.894174445971945
-inf	-inf	-23.50259306613384
-inf	-inf	-23.24649779703737
-inf	-inf	-23.054969854823845
-inf	-inf	-19.675122270295866
-inf	-inf	-19.473167516160835
-inf	-inf	-17.346329743580483
-inf	-inf	-16.207161897803864
-inf	-inf	-16.207161897803864
-inf	-inf	-16.116987915973453
-inf	-inf	-16.093697816987323
-inf	-inf	-16.093697816987323
-inf	-inf	-15.844515979348362
-inf	-inf	-14.222884188728077
-inf	-inf	-13.859587905064423
-inf	-inf	-13.859587905064423
-inf	-inf	-13.859587905064423
-inf	-inf	-13.073387384880487
-5234.833744061058	-inf	-12.620043978657812
-5234.833744061058	-inf	-12.620043978657812
-5234.833744061058	-inf	-12.620043978657812
-5234.833744061058	-inf	-12.620043978657812
-271.4025967174485	-inf	-11.787424336232649
-231.42256228138257	-inf	-11.787424336232649
-196.74087870844136	-inf	-11.787424336232649
-196.0489674636591	-inf	-11.787424336232649
-70.81089873435997	-inf	-11.787424336232649
-67.35574700548302	-inf	-11.450563233148696
-55.91776809031303	-inf	-11.444976158198147
-55.91776809031303	-inf	-11.063625443128807
-54.94934285175046	-inf	-11.063625443128807
-52.13710171304261	-inf	-10.758284280150697
-31.259098408908223	-inf	-10.758284280150697
-31.259098408908223	-inf	-10.446385889394186
-31.259098408908223	-inf	-10.446385889394186
-15.314332890918815	-inf	-10.446385889394186
-14.908634975409377	-inf	-10.446385889394186
-14.908634975409377	-inf	-10.446385889394186
-14.49599025345817	-inf	-10.429795478645872
-13.778437920953909	-inf	-10.429795478645872
-13.766742979126029	-inf	-10.396339863868327
-13.614203987724075	-inf	-10.396339863868327
-13.520597151331751	-inf	-10.264447155603518
-12.85848071964963	-inf	-10.264447155603518
-12.84124675122849	-inf	-10.264447155603518
-12.704764229568754	-inf	-10.264447155603518
-12.664149150343881	-inf	-10.204190209379277
-12.540448734921991	-inf	-10.204190209379277
-12.505133755584108	-inf	-9.862277797826305
-12.358556405176236	-inf	-9.724920957931243
-12.349287606974006	-inf	-9.724920957931243
-12.054067218262034	-inf	-9.61289175435336
-12.054067218262034	-7513.850493677841	-9.61289175435336
-12.054067218262034	-388.485027272716	-9.586061802801662
-11.486289298144065	-388.485027272716	-9.586061802801662
-11.486289298144065	-388.485027272716	-9.382678991341832
-11.463094316413162	-49.191495388928914	-9.382678991341832
-11.287942245011802	-49.191495388928914	-9.379807397679151
-11.118377664195645	-49.109658189516125	-9.057426385022008
-11.055292116796824	-48.57974914579491	-9.057426385022008
-11.055292116796824	-25.403715069849916	-9.057426385022008
-10.997106224370336	-23.573903320213525	-8.940412595917595
-10.86391440709067	-22.001285401582127	-8.940412595917595
-10.553695839118099	-14.636481614535052	-8.796675350663753
-10.553695839118099	-14.102178593485103	-8.796675350663753
-10.553695839118099	-14.102178593485103	-8.79632439682944
-10.54099537113282	-14.102178593485103	-8.79632439682944
-10.54080718833542	-14.102178593485103	-8.604370811054562
-10.325164856518171	-13.474167255912716	-8.604370811054562
-10.325164856518171	-13.474167255912716	-8.604370811054562
-10.291907789056197	-12.986396258765705	-8.604370811054562
-10.291907789056197	-12.986396258765705	-8.604370811054562
-10.279582912939656	-12.986396258765705	-8.604370811054562
-10.279582912939656	-12.986396258765705	-8.594349426835208
-10.172378923835858	-12.50298142840673	-8.587699932950128
-10.048128594122018	-12.378591522255249	-8.587699932950128
-9.885602514126273	-12.378591522255249	-8.587699932950128
-9.720951172253962	-11.978612606543603	-8.587699932950128
-9.695033414714544	-11.978612606543603	-8.587699932950128
-9.695033414714544	-11.978612606543603	-8.587699932950128
-9.620184310930352	-11.978612606543603	-8.587699932950128
-9.608899929858847	-11.978612606543603	-8.587699932950128
-9.552058986463344	-11.868433675975734	-8.582268912776732
-9.491567907908168	-11.868433675975734	-8.507949079024176
-9.476436251361392	-11.868433675975734	-8.507949079024176
-9.476436251361392	-11.868433675975734	-8.507949079024176
-9.476436251361392	-11.849117045532726	-8.504507622412842
-9.432819812906935	-11.849117045532726	-8.504507622412842
-9.426476137126874	-11.849117045532726	-8.500084800919172
-9.295374240930485	-11.667163845456326	-8.500084800919172
-9.295374240930485	-11.667163845456326	-8.500084800919172
-9.295374240930485	-11.667163845456326	-8.499032657033052
-9.293548722789918	-11.621640424874313	-8.499032657033052
-9.008813372404354	-11.436497230147065	-8.49172605486432
-9.008813372404354	-10.7101521673681	-8.49172605486432
-8.882257463580022	-10.7101521673681	-8.317274854902077
-8.882257463580022	-10.7101521673681	-8.308792867977989
-8.882257463580022	-10.7101521673681	-8.308792867977989
-8.805496220498776	-10.627432485032006	-8.269337062320465
-8.791530591958747	-10.620433544421264	-8.269337062320465
-8.791530591958747	-10.620433544421264	-8.258894996906989
-8.757551328294394	-10.528608313486181	-8.258894996906989
-8.662990133331537	-10.445217652277648	-8.203850743913051
-8.637210143443868	-10.415421408195268	-8.203850743913051
-8.61801779684674	-10.323691701413415	-8.203850743913051
-8.61801779684674	-10.270906574415186	-8.203850743913051
-8.61801779684674	-10.270906574415186	-7.953629253630483
-8.511396708989906	-10.270906574415186	-7.953629253630483
-8.511396708989906	-10.21627884418109	-7.953629253630483
-8.486617899103607	-10.21627884418109	-7.919284684554717
-8.47199353234423	-9.481896859596066	-7.706908184248613
-8.47199353234423	-9.206806656749087	-7.706908184248613
-8.47199353234423	-9.165147387524756	-7.706908184248613
-8.47199353234423	-9.157132367269444	-7.706908184248613
-8.424925105188567	-9.149726684738209	-7.706908184248613
-8.424925105188567	-9.149726684738209	-7.706908184248613
-8.373701010281854	-9.149726684738209	-7.706908184248613
