median	q1	q3
-18.283381469423464	-22.58931184779243	-16.361742822907388
-16.91140559662169	-18.703791170652465	-15.060951134683673
-16.208852096631908	-17.563878918632856	-14.215161782692391
-15.08794326780465	-17.335697268462695	-13.896382909271463
-14.381478013230334	-16.625164412317545	-13.301914928091836
-13.808990676767088	-14.771056030649195	-13.109719753171111
-13.574616856026203	-14.651803336778507	-12.829486292078904
-13.15145637346978	-14.387106893193703	-12.397517523546561
-12.937317993231805	-13.927650078698536	-12.13293042474295
-12.801899419642353	-13.558764168770384	-11.520819039050298
-12.716678737568504	-13.500670325820494	-11.448603597446107
-12.446252475398476	-13.216046975698244	-11.231667170415356
-12.330430585767154	-12.946508842252117	-11.228999318679245
-12.309258787007185	-12.723520223198967	-11.216900895223521
-11.66616879283216	-12.314491884498912	-11.074413841649237
-11.449565826040448	-12.226438991472175	-10.872089521230302
-11.178997465719284	-11.957261255153604	-10.471407795532565
-10.994212810379569	-11.607903684378332	-10.442011011265615
-10.855960337468119	-11.45114291360743	-10.409010138363298
-10.68851023620742	-11.45114291360743	-10.360716232018646
-10.60003954805565	-11.146356347295022	-10.205231391030358
-10.427066625542661	-11.118482462579589	-9.88135704163463
-10.298032194044925	-10.936572277557264	-9.810922807017878
-10.198861176962453	-10.892329161718866	-9.675747915377372
-10.13845352877976	-10.892329161718866	-9.52709146919205
-9.999975259638388	-10.451516895201655	-9.52709146919205
-9.907484005983944	-10.39103888296033	-9.3070857135785
-9.883543698837219	-10.250577981859026	-9.3070857135785
-9.863930929923528	-10.250577981859026	-9.3070857135785
-9.855474141311971	-10.250577981859026	-9.3070857135785
-9.761069911980215	-10.115090847728638	-9.276601607685405
-9.655671603365043	-9.980392312992107	-9.276601607685405
-9.655671603365043	-9.94533143279649	-9.276601607685405
-9.483289434912653	-9.848637116310154	-8.604930995161524
-9.3579406422385	-9.816946133435046	-8.595715258446415
-9.198510249914513	-9.798114434926227	-8.534705165511799
-9.198510249914513	-9.771253118290335	-8.533965617195562
-9.109927421997966	-9.771253118290335	-8.516379823107826
-9.088815517252314	-9.771253118290335	-8.47424242124835
-8.96269265845541	-9.724727959388414	-8.305962107592038
-8.96269265845541	-9.724727959388414	-8.305962107592038
-8.906810194439037	-9.599454202491119	-8.300191456735929
-8.906810194439037	-9.593330239317687	-8.29862473750612
-8.690508547438661	-9.208199556936385	-8.19002435400202
-8.578032986662734	-9.046522765142546	-8.183854266210716
-8.578032986662734	-9.030984005829591	-8.183854266210716
-8.578032986662734	-9.006354550018951	-8.176356421704812
-8.578032986662734	-8.956928661124104	-8.07242306477013
-8.549268864033834	-8.956928661124104	-7.972338689181658
-8.493327398821123	-8.956928661124104	-7.972338689181658
-8.43896093322145	-8.956928661124104	-7.972338689181658
-8.43896093322145	-8.946086122326728	-7.882039520572474
-8.363359549829934	-8.930003934983574	-7.876645125431413
-8.28669151341428	-8.930003934983574	-7.7968352281222595
-8.28669151341428	-8.930003934983574	-7.7968352281222595
-8.229572518946307	-8.872666347790624	-7.792428288636895
-8.229572518946307	-8.803735705983085	-7.792428288636895
-8.16902162294097	-8.737686206740083	-7.792428288636895
-8.124291800573385	-8.734036844293406	-7.792428288636895
-8.124291800573385	-8.646874054008245	-7.792428288636895
-8.095024114379171	-8.646874054008245	-7.693954067900357
-8.083557481460327	-8.63529457176973	-7.693954067900357
-8.083557481460327	-8.50456143905125	-7.583695450583396
-8.083557481460327	-8.454625803707374	-7.583452186833709
-8.083557481460327	-8.43862114906079	-7.583452186833709
-8.083557481460327	-8.327652487991998	-7.583452186833709
-8.038460630750926	-8.327652487991998	-7.558919062837134
-8.023003148584937	-8.327652487991998	-7.542827007182392
-7.9938725826951345	-8.325121917313002	-7.542827007182392
-7.9144384773876535	-8.325121917313002	-7.530598320391839
-7.895684148153778	-8.247402505249333	-7.448100036875899
-7.895684148153778	-8.247402505249333	-7.448100036875899
-7.895684148153778	-8.247402505249333	-7.443152058258452
-7.735616259095145	-8.103010504782873	-7.384022381044822
-7.735616259095145	-8.077985682861556	-7.3812134286183895
-7.735616259095145	-8.074438063459866	-7.376493074290846
-7.719316302937772	-8.074438063459866	-7.262609008162369
-7.719316302937772	-8.01748583168986	-7.262609008162369
-7.6458575091248	-8.01748583168986	-7.262609008162369
-7.6458575091248	-8.01748583168986	-7.262609008162369
-7.634207177459187	-7.940220555194675	-7.2464182405091915
-7.634207177459187	-7.940220555194675	-7.226660820487378
-7.591271404861239	-7.940220555194675	-7.140555364055466
-7.591271404861239	-7.940220555194675	-7.140555364055466
-7.591271404861239	-7.923965925158299	-7.140555364055466
-7.576449918877795	-7.923965925158299	-7.13081356971277
-7.5103284486234685	-7.921607649373073	-7.075631679373147
-7.5103284486234685	-7.907260262255114	-7.075631679373147
-7.5103284486234685	-7.907260262255114	-7.075631679373147
-7.5103284486234685	-7.907260262255114	-7.075631679373147
-7.5103284486234685	-7.907260262255114	-7.075631679373147
-7.5103284486234685	-7.907260262255114	-7.063484200409437
-7.5103284486234685	-7.89817959488583	-7.063484200409437
-7.477329959455326	-7.893685259050435	-7.035110190674815
-7.477329959455326	-7.8867149654756545	-7.035110190674815
-7.477329959455326	-7.853080950292826	-7.035110190674815
-7.477329959455326	-7.853080950292826	-7.013534991885148
-7.456647344755941	-7.83000898223316	-6.9854819612020265
-7.447361569125096	-7.802565905625778	-6.9854819612020265
-7.447361569125096	-7.802565905625778	-6.9854819612020265
-7.447361569125096	-7.802565905625778	-6.9854819612020265
-7.447361569125096	-7.802565905625778	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.716919208294509	-6.9854819612020265
-7.447361569125096	-7.714107545369757	-6.9854819612020265
-7.447361569125096	-7.714107545369757	-6.9854819612020265
-7.447361569125096	-7.714107545369757	-6.9854819612020265
-7.447361569125096	-7.706271322734342	-6.9854819612020265
-7.445307885204533	-7.705908369941303	-6.9854819612020265
-7.445307885204533	-7.705908369941303	-6.9854819612020265
-7.40332872275114	-7.705908369941303	-6.9854819612020265
-7.40332872275114	-7.705908369941303	-6.9854819612020265
-7.40332872275114	-7.696715082356441	-6.9854819612020265
-7.40332872275114	-7.696715082356441	-6.9854819612020265
-7.40332872275114	-7.696715082356441	-6.9854819612020265
-7.40332872275114	-7.696715082356441	-6.933631266159693
-7.382863444063624	-7.695780688249745	-6.933631266159693
-7.382863444063624	-7.695780688249745	-6.933631266159693
-7.382863444063624	-7.695780688249745	-6.921098816266323
-7.382863444063624	-7.657700244706351	-6.921098816266323
-7.382863444063624	-7.657700244706351	-6.921098816266323
-7.382863444063624	-7.657700244706351	-6.921098816266323
-7.382863444063624	-7.657700244706351	-6.921098816266323
-7.382863444063624	-7.627262668531226	-6.921098816266323
-7.382863444063624	-7.627262668531226	-6.921098816266323
-7.33498047382953	-7.621586723028808	-6.900576175176026
-7.2706392298311435	-7.486451623932875	-6.868495749036369
